campus,full_train_p95,n_full_train_wk,y2016_p95,n_2016_wk,y2016_p50,y2017_p95,n_2017_wk,y2017_p50,test_p50,test_p95,n_test_wk
1,2727.75,221,2754.4255200000107,53,1661.8648000000044,2711.6484800000107,53,1630.8648000000044,1534.5370000000112,2695.8814000000248,106
2,857.7228000000035,69,590.5647200000282,17,48.620000000000005,833.3658000000038,52,177.22240000000224,1708.008800000027,3900.714000000022,121
