method,n,mean_rel_gap_pct,median_rel_gap_pct,ratio_of_means_pct
edd,740,2.1498965121748532,0.0,16.149498811416525
wspt,740,4.821863875328443,0.0,6.481687937051853
atc,740,0.8624409480946169,0.0,1.2926083999811633
pfifo,740,2.11456981630226,0.0,15.7618810375357
mor,740,63.46602635211881,0.0,180.0902253731386
random,740,23.116499209285696,0.0,56.727385005414355
v2rl301,740,11.166106304159227,0.0,71.89506995852003
v2rl302,740,5.731577449765759,0.0,37.39523535908644
v2rl303,740,17.595109098273817,0.0,103.41124026219894
