subset,n_all,n_nonzero_best,mean_best_known,median_best_known,edd_mean_wwt,mean_rel_gap_pct,median_rel_gap_pct,ratio_of_means_pct
EDD vs best-PDR | all replay-default,1101,740,805.7715504054053,316.0,628.096386557675,1.9677104398871899,0.0,15.976491011572064
EDD vs best-online(incl policy) | all replay-default,1101,740,804.5713320270269,316.0,628.096386557675,2.1498965121748532,0.0,16.149498811416525
"EDD vs best-PDR | verdict campuses {5,9,10,12}",763,468,513.719523076923,266.7296,315.52033604193974,0.08011773623605391,0.0,0.13363223334072538
EDD vs best-online(incl policy) | verdict campuses,763,468,513.5630512820512,266.7296,315.52033604193974,0.20863011314267102,0.0,0.16414083228191814
