month,sum,count
2012-12,3.0,1
2013-01,77.5,5
2013-02,1.0,1
2013-03,19.5,2
2013-04,6.0,1
2013-05,2.5,1
2013-06,23.5,2
2013-11,3.0,2
2013-12,45.5,5
2014-01,88.0,15
2014-02,132.0,5
2014-03,1216.3240000000224,29
2014-04,287.8648000000045,33
2014-05,183.5,31
2014-06,326.0,40
2014-07,109.5,26
2014-08,74.5,15
2014-09,473.72960000000893,42
2014-10,811.0,112
2014-11,1068.5,259
2014-12,2099.959200000018,377
2015-01,9559.398000000045,2599
2015-02,8812.803600000032,2290
2015-03,10008.701600000077,2644
2015-04,7846.2628000000495,1877
2015-05,6614.803600000031,1822
2015-06,8159.242400000058,2376
2015-07,7235.398000000045,1958
2015-08,5410.803600000031,1742
2015-09,8355.28320000004,2304
2015-10,7624.053600000031,1979
2015-11,7593.7628000000495,2239
2015-12,5001.188800000027,1197
2016-01,8275.574000000022,2148
2016-02,8266.53320000004,2324
2016-03,9716.370000000112,2146
2016-04,9279.722000000067,2341
2016-05,7525.78320000004,1989
2016-06,7684.398000000045,2019
2016-07,6410.5128000000495,1598
2016-08,6867.53320000004,2046
2016-09,8324.28320000004,2052
2016-10,7631.853600000031,2260
2016-11,7906.638800000027,2271
2016-12,5505.229600000009,1659
2017-01,8556.648000000045,2494
2017-02,5744.324000000022,1886
2017-03,9295.79600000009,2156
2017-04,9104.168400000035,2428
2017-05,7615.648000000045,2008
2017-06,7888.242400000058,2280
2017-07,7001.8776000000535,1900
2017-08,6362.688800000027,1934
2017-09,7997.344400000014,2278
2017-10,7437.053600000031,2225
2017-11,7168.668400000036,2173
2017-12,4598.188800000027,1214
2018-01,10142.918400000035,3046
2018-02,6636.4592000000175,1943
2018-03,8363.357200000062,2237
2018-04,9339.377600000054,2451
2018-05,7723.472000000067,1896
2018-06,6770.918400000036,1905
2018-07,7387.398000000045,2056
2018-08,6274.303600000031,1997
2018-09,7084.78320000004,2029
2018-10,8172.803600000031,2459
2018-11,6630.053600000031,2159
2018-12,4035.9388000000267,1118
2019-01,8307.553600000032,2807
2019-02,6732.898000000045,1858
2019-03,8151.7628000000495,2308
2019-04,8917.04600000009,2157
2019-05,7628.667200000063,2009
2019-06,7129.3776000000535,2123
2019-07,6544.398000000045,2059
2019-08,5642.168400000036,1814
2019-09,7073.938800000027,2327
2019-10,6755.83320000004,2016
2019-11,5082.074000000022,1829
2019-12,3057.0944000000136,1171
2020-01,15.0,3
