panel,method,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wwt,n
replay-default,edd,77.89891585845346,4.999028283202271,0.012378768020969842,0.13700827205722838,0.024057445418869762,0.0027284432751268914,0.0,315.52033604193974,763
replay-default,wspt,78.4169500655308,4.634748342835299,0.012431192660550447,0.1371847930883249,0.024332492434109617,0.002712318332285637,0.0,317.537970904325,763
replay-default,atc,78.01193014416776,4.709206711118393,0.012385321100917418,0.13706770791020997,0.024057445418869762,0.002712318332285637,0.0,316.2566982961992,763
replay-default,pfifo,77.89891585845346,4.999028283202271,0.012378768020969842,0.13700827205722838,0.024057445418869762,0.0027284432751268914,0.0,315.52033604193974,763
replay-default,mor,77.27953499344692,5.450255363805154,0.012763215377894262,0.14585977050292098,0.02426153569282496,0.0031658680192569334,0.0,321.5008823066841,763
replay-default,random,77.86534731323722,4.936678542704239,0.01259938837920488,0.146300639267759,0.02430469557568917,0.002718469605614404,0.0,318.78945740498034,763
replay-default,v2rl_mean3,77.29977147225863,5.364755848332604,0.012481432940148524,0.1369758603640282,0.024057445418869765,0.0030578689499950276,0.0,315.6290215814766,763
replay-tight-m0.6,edd,83.01718964613369,6.384933864132809,0.013456749672345992,0.1394026373088855,0.024782351097712794,0.0032426685863186765,0.0008457834849618508,331.3168737876802,763
replay-tight-m0.6,wspt,84.17144809960682,5.402881491480996,0.013271079073831354,0.1439191949356898,0.02565221894733148,0.0029625800699873833,0.00027266347758062053,335.5390825688074,763
replay-tight-m0.6,atc,83.16150655307995,5.716844158912188,0.013022062035823491,0.1396894187011558,0.024730667145544928,0.002863201379383962,0.000314544201279526,328.9946252948886,763
replay-tight-m0.6,pfifo,83.01718964613369,6.384933864132809,0.013456749672345992,0.1394026373088855,0.024782351097712794,0.0032426685863186765,0.0008457834849618508,331.3168737876802,763
replay-tight-m0.6,mor,81.56613931847969,7.58871157481433,0.017021625163826985,0.17764273677888387,0.03140488985776189,0.005695247201964439,0.0013515604749119682,414.2806117955439,763
replay-tight-m0.6,random,83.0957863695937,6.257838586173002,0.014505242463958049,0.16427474514019058,0.028258131951567615,0.0037365853365243893,0.0005370816299085156,356.1765667103539,763
replay-tight-m0.6,v2rl_mean3,81.735924071647,7.271264114496869,0.014104776467161776,0.14157146534066758,0.024861572906691966,0.0038273507812658643,0.0011133853504810217,339.9044730449978,763
