id,base_instance_id,campus,size,crew_q,n_wos,window_bh,n_technicians,n_technicians_base,u_realized,u_realized_base,u_shift,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,edd,301,1,424.2592,96.95870000000001,6.408414666666666,0.02,0.0004429110558703542
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,pfifo,301,1,424.2592,96.95870000000001,6.408414666666666,0.02,0.0006216540932655334
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,wspt,301,1,429.87120000000004,96.95870000000001,5.8602799999999995,0.02666666666666667,0.0006161729106679559
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,atc,301,1,424.2592,96.95870000000001,6.222854000000001,0.02,0.0008459310047328472
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,wmdd,301,1,424.2592,96.95870000000001,6.408414666666666,0.02,0.0004307309864088893
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,lpt,301,1,424.2592,96.95870000000001,6.729128,0.02,0.0003242859384045005
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,random,301,1,424.2592,96.95870000000001,6.296314666666667,0.02,0.0003267120337113738
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl301,301,1,424.2592,96.95870000000001,6.689128,0.02,0.02767722005955875
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl302,302,1,424.2592,96.95870000000001,6.575856000000001,0.02,0.02663681993726641
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl303,303,1,424.2592,96.95870000000001,6.577135333333333,0.02,0.027058321982622147
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl304,304,1,424.2592,96.95870000000001,6.199066666666667,0.02,0.027331248973496258
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl305,305,1,424.2592,96.95870000000001,6.490025333333333,0.02,0.027032018057070673
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl306,306,1,424.2592,96.95870000000001,6.616946666666667,0.02,0.027043838053941727
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl307,307,1,424.2592,96.95870000000001,6.2279713333333335,0.02,0.026897567906416953
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl308,308,1,424.2592,96.95870000000001,6.230341333333334,0.02,0.02695668302476406
c01_final_150_0000_q75,c01_final_150_0000,1,150,0.75,150,13.8719,60,94,0.946433,0.604106,0.342327,v2rl309,309,1,427.87120000000004,96.95870000000001,5.941890666666667,0.02666666666666667,0.026730419020168483
