scope,regime,arm,arm_kind,level,level_bh,n_configs,n_clusters,mean_control,mean_level,mean_diff,pct_of_control,ci_lo,ci_hi,pct_ci_lo,pct_ci_hi,margin,wilcoxon_p,holm_p,verdict
gen|ALL,vis-gen,atc_la,rule,8,8.0,540,540,2562.336031111111,2559.7669833333334,-2.569047777777739,-0.10026193858202578,-4.979260935185196,-0.6106270740740757,-0.19432505630520402,-0.02383087411877388,25.62336031111111,0.0852661331418109,0.2557983994254327,equivalent
gen|ALL,vis-gen,atc_la,rule,40,40.0,540,540,2562.336031111111,2556.65853037037,-5.677500740740729,-0.22157518263827336,-10.572247629629606,-1.6886196481481077,-0.4126019187672719,-0.0659015690231647,25.62336031111111,0.22846716510429377,0.45693433020858754,equivalent
gen|ALL,vis-gen,atc_la,rule,full,inf,540,540,2562.336031111111,2556.65853037037,-5.677500740740729,-0.22157518263827336,-10.45742336111111,-1.7165207222222418,-0.40812068495857806,-0.06699046110193062,25.62336031111111,0.22846716510429377,0.45693433020858754,equivalent
gen|ALL,vis-gen,vispool,policy,8,8.0,540,540,3411.4070241481477,3455.574081888889,44.16705774074075,1.2946874245171487,27.01566519537037,60.92047507777778,0.7919214858894292,1.7857873495171703,34.11407024148148,1.5539579301586827e-17,4.661873790476048e-17,inconclusive
gen|ALL,vis-gen,vispool,policy,40,40.0,540,540,3411.4070241481477,3346.8483227037036,-64.55870144444445,-1.8924361997104469,-128.87122595925922,-8.061269012037071,-3.7776561121855368,-0.23630334800198832,34.11407024148148,1.0389889472817551e-11,1.289482715159824e-11,inconclusive
gen|ALL,vis-gen,vispool,policy,full,inf,540,540,3411.4070241481477,3351.353111148148,-60.05391300000004,-1.7603854531253398,-121.6327121203703,-4.501532704629616,-3.565470530469546,-0.13195530972308062,34.11407024148148,6.44741357579912e-12,1.289482715159824e-11,inconclusive
gen|ALL,vis-gen,visseed501,policy,8,8.0,540,540,2595.2924988888894,3113.6535103703704,518.3610114814815,19.973124867559434,281.506602324074,794.7829874814819,10.846816011859707,30.62402360511382,25.952924988888896,5.823659387057862e-22,1.7470978161173586e-21,worse
gen|ALL,vis-gen,visseed501,policy,40,40.0,540,540,2595.2924988888894,2544.0328607407405,-51.25963814814821,-1.9751006166007787,-77.33739035185194,-28.33478121296302,-2.979910371758175,-1.0917760223594781,25.952924988888896,0.7693630623590282,1.0,better
gen|ALL,vis-gen,visseed501,policy,full,inf,540,540,2595.2924988888894,2555.245904074074,-40.046594814814895,-1.5430474534935794,-62.65131397222231,-20.595135277777874,-2.414036722220903,-0.7935573846337234,25.952924988888896,0.8529124223815756,1.0,inconclusive
gen|ALL,vis-gen,visseed502,policy,8,8.0,540,540,2549.5786133333336,2535.272701111111,-14.305912222222178,-0.5611088886378187,-23.759761249999983,-6.3072863055554595,-0.9319093408512843,-0.24738544136551557,25.495786133333336,2.7452242337171785e-13,5.490448467434357e-13,equivalent
gen|ALL,vis-gen,visseed502,policy,40,40.0,540,540,2549.5786133333336,2533.3754614814816,-16.20315185185181,-0.6355227396054958,-24.916509648148043,-8.981430138888829,-0.9772795205389669,-0.35227115931704717,25.495786133333336,4.6898841073116974e-17,1.4069652321935093e-16,equivalent
