method,level,n_rows,n_configs,expected_configs,constant_by_construction,n_gen,n_emp,mean_wwt
vis8rl504,40,0,0,0,0,0,0,
vis8rl504,full,0,0,0,0,0,0,
vis8rl505,0,0,0,0,0,0,0,
vis8rl505,8,1080,1080,1080,0,540,540,2877.0821389814805
vis8rl505,40,0,0,0,0,0,0,
vis8rl505,full,0,0,0,0,0,0,
visfullrl501,0,0,0,0,0,0,0,
visfullrl501,8,0,0,0,0,0,0,
visfullrl501,40,0,0,0,0,0,0,
visfullrl501,full,1080,1080,1080,0,540,540,1501.2180875925926
visfullrl502,0,0,0,0,0,0,0,
visfullrl502,8,0,0,0,0,0,0,
visfullrl502,40,0,0,0,0,0,0,
visfullrl502,full,1080,1080,1080,0,540,540,1493.4683209259258
visfullrl503,0,0,0,0,0,0,0,
visfullrl503,8,0,0,0,0,0,0,
visfullrl503,40,0,0,0,0,0,0,
visfullrl503,full,1080,1080,1080,0,540,540,1494.4636887037036
visfullrl504,0,0,0,0,0,0,0,
visfullrl504,8,0,0,0,0,0,0,
visfullrl504,40,0,0,0,0,0,0,
visfullrl504,full,1080,1080,1080,0,540,540,2132.5434612962963
visfullrl505,0,0,0,0,0,0,0,
visfullrl505,8,0,0,0,0,0,0,
visfullrl505,40,0,0,0,0,0,0,
visfullrl505,full,1080,1080,1080,0,540,540,2878.994130277777
wmdd,0,1080,1080,1080,1,540,540,1510.1994937037036
wmdd,8,1080,1080,1080,1,540,540,1510.1994937037036
wmdd,40,1080,1080,1080,1,540,540,1510.1994937037036
wmdd,full,1080,1080,1080,1,540,540,1510.1994937037036
