scope,level,regime,n_configs,n_clusters,mean_v2,mean_vis,mean_diff,pct_of_v2,ci_lo,ci_hi,pct_ci_lo,pct_ci_hi,margin,wilcoxon_p,verdict
gen|ALL,0,vis-gen,540,540,2672.7300940000005,3411.4070241481477,738.6769301481478,27.63754304283849,583.8404278768518,905.2940578388888,21.844346692077604,33.871510627697845,26.727300940000006,1.9219952143980567e-53,worse
gen|u=0.7,0,vis-gen,180,180,1996.140111555556,2007.014375111111,10.874263555555583,0.5447645429599361,6.903778933333376,15.618479822222191,0.34585643028601765,0.7824340451758666,19.96140111555556,3.0442998810407364e-14,equivalent
gen|u=0.9,0,vis-gen,180,180,2493.2604200000005,2878.7394104444443,385.4789904444444,15.460839443496411,294.74915004722214,485.78308472222216,11.82183568482678,19.48384857135068,24.932604200000007,3.7052181948389235e-22,worse
gen|u=1.1,0,vis-gen,180,180,3528.789750444444,5348.467286888887,1819.6775364444436,51.56661816463446,1409.8179766777766,2259.2111560638878,39.95188368760743,64.0222658711629,35.287897504444445,1.368743147475018e-22,worse
gen|pm=0.2|u=0.7,0,vis-gen,60,60,3216.9716913333336,3241.441644666667,24.46995333333341,0.7606518080111356,14.344502350000012,37.14407721666669,0.4459007951063028,1.154628662624993,32.16971691333334,4.819366516924861e-08,inconclusive
gen|pm=0.2|u=0.9,0,vis-gen,60,60,3999.920787000001,4732.509253333334,732.5884663333331,18.31507435632957,512.3269515583335,971.1929990000001,12.808427437448984,24.28030580396591,39.99920787000001,1.0498943771641807e-09,worse
gen|pm=0.2|u=1.1,0,vis-gen,60,60,6206.106205999999,10037.186709333331,3831.0805033333327,61.730824065329145,2869.7783737916657,4843.690169083334,46.24120629803586,78.04716851929645,62.06106205999999,7.699600184405373e-11,worse
gen|pm=0.5|u=0.7,0,vis-gen,60,60,2015.8419360000003,2022.3697986666666,6.527862666666679,0.32382810130539313,2.8034504500000064,11.327624500000017,0.1390709459871067,0.5619301939157603,20.158419360000003,5.432238297958553e-06,equivalent
gen|pm=0.5|u=0.9,0,vis-gen,60,60,2487.540282,2755.147560666667,267.60727866666656,10.757907343374091,167.35140195000005,379.270591725,6.72758560578759,15.246812060468976,24.87540282,6.366438946211754e-09,worse
gen|pm=0.5|u=1.1,0,vis-gen,60,60,3099.53395,4069.279741333333,969.7457913333325,31.28682592211427,571.1175306666662,1387.0138916583317,18.42591627901563,44.74911112550748,30.9953395,1.215704884173435e-07,worse
gen|pm=0.8|u=0.7,0,vis-gen,60,60,755.6067073333332,757.2316819999999,1.6249746666666525,0.21505561701555947,-0.49996565000002974,3.7714026333333233,-0.06616744467032261,0.49912243985277144,7.556067073333333,0.008254343433611614,equivalent
gen|pm=0.8|u=0.9,0,vis-gen,60,60,992.3201910000001,1148.5614173333333,156.2412263333333,15.745041545096734,87.48146662500002,233.65572198333322,8.815850712141765,23.54640408433785,9.923201910000001,9.407414495096694e-06,worse
gen|pm=0.8|u=1.1,0,vis-gen,60,60,1280.7290953333331,1938.9354099999994,658.2063146666659,51.39309453224811,380.0075691583329,957.3677105749989,29.671190460417314,74.7517733503061,12.807290953333332,1.810099071924746e-06,worse
emp|ALL,0,vis-empirical,540,180,447.52578411111114,448.7822357037038,1.2564515925925903,0.2807551290230554,0.47402460370370286,2.2662537351851815,0.10592118276385448,0.5063962380818976,4.4752578411111115,1.2521463332993508e-10,equivalent
emp|m=1.0,0,vis-empirical,180,180,444.76927444444453,445.0146264444445,0.24535200000000174,0.0551638825110992,0.053736755555556466,0.48783102777778586,0.012081939702934367,0.10968181837361163,4.447692744444446,0.03560071215888041,equivalent
emp|m=0.8,0,vis-empirical,180,180,446.48986288888887,447.03332222222235,0.5434593333333335,0.12171817962831911,0.2070422555555531,0.9752382555555508,0.046371098823149895,0.21842338127131086,4.464898628888888,0.0005448185651913482,equivalent
emp|m=0.6,0,vis-empirical,180,180,451.31821500000007,454.29875844444445,2.9805434444444354,0.6604084092738058,1.1173541388888906,5.509139069444426,0.2475756798091764,1.2206773151055792,4.5131821500000004,7.129606382585977e-07,inconclusive
gen|ALL,8,vis-gen,540,540,2672.7300940000005,3455.574081888889,782.8439878888885,29.29005026157678,627.4708932055551,949.2801256583327,23.47677734516334,35.51724612183502,26.727300940000006,4.3697233996857264e-60,worse
gen|u=0.7,8,vis-gen,180,180,1996.140111555556,2007.8290317777778,11.688920222222237,0.5855761403999478,7.733114449999997,16.07221297777779,0.38740338943310554,0.8051645716017903,19.96140111555556,1.5167306880534922e-14,equivalent
gen|u=0.9,8,vis-gen,180,180,2493.2604200000005,2902.250428,408.99000799999976,16.403822268995057,316.10999690833313,512.0154333749998,12.678579195844012,20.535978884026875,24.932604200000007,1.5338643332105967e-23,worse
gen|u=1.1,8,vis-gen,180,180,3528.789750444444,5456.642785888887,1927.8530354444438,54.63213089421478,1511.6228264027764,2361.1395791277773,42.83686287097129,66.91074691628756,35.287897504444445,2.1788774148440414e-26,worse
gen|pm=0.2|u=0.7,8,vis-gen,60,60,3216.9716913333336,3240.6637806666668,23.692089333333374,0.7364718003941697,14.503168966666738,34.21085903333349,0.45083296833910375,1.063449178788209,32.16971691333334,3.260234129953183e-07,inconclusive
gen|pm=0.2|u=0.9,8,vis-gen,60,60,3999.920787000001,4712.219114666667,712.2983276666663,17.807810844196755,492.68559481666654,960.1979094416662,12.317383794647293,24.005423121437076,39.99920787000001,1.245192975865562e-09,worse
gen|pm=0.2|u=1.1,8,vis-gen,60,60,6206.106205999999,10002.594502333332,3796.4882963333334,61.173434200383625,2827.1871220833323,4816.954330525,45.55492652301112,77.61636959850959,62.06106205999999,3.5559781156110877e-10,worse
gen|pm=0.5|u=0.7,8,vis-gen,60,60,2015.8419360000003,2023.4575613333334,7.615625333333342,0.3777888135636712,2.9430105833333515,13.988320666666676,0.14599411445785854,0.6939195190285332,20.158419360000003,6.660326758646149e-06,equivalent
gen|pm=0.5|u=0.9,8,vis-gen,60,60,2487.540282,2804.729769333333,317.1894873333332,12.751129685357723,202.44233653333316,441.4904055749997,8.138253599277117,17.74807060491251,24.87540282,4.021325745880773e-09,worse
gen|pm=0.5|u=1.1,8,vis-gen,60,60,3099.53395,4292.793902666666,1193.2599526666659,38.49804428393713,779.6124272749997,1648.1373130333322,25.152569381438774,53.173713842796666,30.9953395,7.031291491175325e-10,worse
gen|pm=0.8|u=0.7,8,vis-gen,60,60,755.6067073333332,759.3657533333335,3.7590459999999934,0.4974871138010827,0.9264683666666742,7.0658552,0.12261251226002762,0.935123408967163,7.556067073333333,0.00041955098606127764,equivalent
gen|pm=0.8|u=0.9,8,vis-gen,60,60,992.3201910000001,1189.8024000000003,197.48220899999993,19.901057218334874,114.27435880833333,290.7321635749999,11.515875605954824,29.298221099584566,9.923201910000001,2.274933323370808e-07,worse
gen|pm=0.8|u=1.1,8,vis-gen,60,60,1280.7290953333331,2074.539952666666,793.8108573333326,61.98116840054522,488.73752829166625,1118.0332123083324,38.160882740347475,87.29662005666732,12.807290953333332,1.9791055568801153e-09,worse
emp|ALL,8,vis-empirical,540,180,447.52578411111114,448.9323268148148,1.4065427037036964,0.3142931097249319,0.5125977740740687,2.5574929740740613,0.11454038901740723,0.5714738825951289,4.4752578411111115,7.75231850152817e-10,equivalent
emp|m=1.0,8,vis-empirical,180,180,444.76927444444453,444.98465844444445,0.2153839999999974,0.04842600700532444,0.058321338888884036,0.4214523888888893,0.013112717590875057,0.09475753229926234,4.447692744444446,0.01760723870924757,equivalent
emp|m=0.8,8,vis-empirical,180,180,446.48986288888887,447.1311584444444,0.6412955555555521,0.14363048500277853,0.30194026666666884,1.0534833055555586,0.06762533525689655,0.23594786648442295,4.464898628888888,0.00016200673790262157,equivalent
emp|m=0.6,8,vis-empirical,180,180,451.31821500000007,454.68116355555554,3.3629485555555396,0.74513911554745,1.091257416666658,6.474185527777757,0.2417933467778733,1.4345057018755063,4.5131821500000004,2.5202854472589612e-05,inconclusive
gen|ALL,40,vis-gen,540,540,2672.7300940000005,3346.8483227037036,674.1182287037033,25.22208397387481,557.2607071527777,795.6069167055551,20.84986839500815,29.767574305075154,26.727300940000006,3.358236495389904e-61,worse
gen|u=0.7,40,vis-gen,180,180,1996.140111555556,2007.2397257777775,11.099614222222215,0.5560538640532846,7.263000872222243,15.249644855555532,0.3638522581745185,0.7639566364743685,19.96140111555556,2.6445137863711277e-14,equivalent
gen|u=0.9,40,vis-gen,180,180,2493.2604200000005,2892.9015553333334,399.64113533333324,16.028856517657033,315.8202529944444,492.33883603611105,12.666958110795514,19.746787462984347,24.932604200000007,5.632090606988212e-24,worse
gen|u=1.1,40,vis-gen,180,180,3528.789750444444,5140.403686999999,1611.613936555555,45.67044370814598,1310.0442511388887,1919.4176141333328,37.12446316683762,54.393085161607765,35.287897504444445,1.2644519506366651e-26,worse
gen|pm=0.2|u=0.7,40,vis-gen,60,60,3216.9716913333336,3239.4568026666666,22.485111333333307,0.6989527260656103,13.790428816666655,32.136471016666675,0.4286773444049473,0.9989665468068548,32.16971691333334,1.2722570293669692e-07,equivalent
gen|pm=0.2|u=0.9,40,vis-gen,60,60,3999.920787000001,4669.203108,669.2823209999999,16.732389380689998,477.9739361666669,877.5227827416662,11.949585044786708,21.938504022221426,39.99920787000001,1.245192975865562e-09,worse
gen|pm=0.2|u=1.1,40,vis-gen,60,60,6206.106205999999,9018.900411666666,2812.794205666666,45.32301111681406,2185.954017441666,3466.306720424999,35.22263307914886,55.85316469566393,62.06106205999999,3.732561687950067e-10,worse
