scope,level,level_bh,n_configs,mean_replans,mean_replan_s,median_replan_s,max_replan_s,budget_s,share_saturated,mean_wall_s,d_replans,d_replans_lo,d_replans_hi,d_replan_s,d_replan_s_lo,d_replan_s_hi
emp|ALL,0,0.0,144,62.65277777777778,0.44689009223395904,0.10690843219168189,2.064309282053728,2.0,0.05555555555555555,18.777151039653592,0.0,0.0,0.0,0.0,0.0,0.0
emp|ALL,8,8.0,144,75.83333333333333,0.8623052722904085,0.432975138295555,2.128920777198139,2.0,0.25,49.911053704903075,13.180555555555555,9.819444444444445,16.8125,0.41541518005644945,0.24802201925660225,0.5971638064613886
emp|ALL,40,40.0,144,71.52083333333333,0.9047954568764397,0.5315328970138135,2.15609693802738,2.0,0.2708333333333333,50.90027738285991,8.868055555555555,6.541666666666667,11.38888888888889,0.45790536464248066,0.2781276039606263,0.6483555534708171
emp|ALL,full,inf,144,71.60416666666667,0.9248233473592017,0.5371603797139964,2.179763501873822,2.0,0.2847222222222222,50.99564937165269,8.95138888888889,6.645659722222222,11.569444444444445,0.4779332551252426,0.30621273053425496,0.6680694141999698
emp|m=1.0,0,0.0,48,62.1875,0.37134113794092993,0.04877512077100135,2.064309282053728,2.0,0.041666666666666664,12.332986059882387,0.0,0.0,0.0,0.0,0.0,0.0
emp|m=1.0,8,8.0,48,75.33333333333333,0.7625955019713676,0.1256636568572595,2.128920777198139,2.0,0.22916666666666666,40.20877923696389,13.145833333333334,9.75,16.833333333333332,0.3912543640304376,0.22192512611161858,0.5783997842512768
emp|m=1.0,40,40.0,48,71.35416666666667,0.78636229314491,0.1546809833383227,2.15609693802738,2.0,0.25,41.22678640435819,9.166666666666666,6.7078125,11.916666666666666,0.41502115520398003,0.22574882455656123,0.6246116151466314
emp|m=1.0,full,inf,48,71.35416666666667,0.8223467833702447,0.15278170972491428,2.179763501873822,2.0,0.2916666666666667,41.28853132685375,9.166666666666666,6.708333333333333,12.041666666666666,0.4510056454293148,0.2702003007381232,0.6552699163501067
emp|m=0.8,0,0.0,48,62.604166666666664,0.4243985007109396,0.09438659881218905,2.0465535323213166,2.0,0.0625,16.624701155633375,0.0,0.0,0.0,0.0,0.0,0.0
emp|m=0.8,8,8.0,48,75.83333333333333,0.8228027091314667,0.4000276258039386,2.089810129729277,2.0,0.22916666666666666,46.93296249592337,13.229166666666666,9.958333333333334,16.833333333333332,0.3984042084205271,0.2185530939727391,0.5925861025526485
emp|m=0.8,40,40.0,48,71.47916666666667,0.8510320060388672,0.43742881000839906,2.115362238288591,2.0,0.2708333333333333,46.4726943063215,8.875,6.708333333333333,11.354166666666666,0.4266335053279276,0.23685733410036228,0.628361555050632
emp|m=0.8,full,inf,48,71.6875,0.8809896412572065,0.4436926123478083,2.1343299509691342,2.0,0.2916666666666667,46.91227785265801,9.083333333333334,6.770833333333333,11.583333333333334,0.45659114054626687,0.28048333073097653,0.645398721934506
emp|m=0.6,0,0.0,48,63.166666666666664,0.5449306380500074,0.2623638442289692,2.040614786965307,2.0,0.0625,27.37376590344502,0.0,0.0,0.0,0.0,0.0,0.0
emp|m=0.6,8,8.0,48,76.33333333333333,1.0015176057683912,0.9008591592990949,2.095130956188465,2.0,0.2916666666666667,62.59141938182196,13.166666666666666,9.75,16.791666666666668,0.45658696771838364,0.29389117346138616,0.6291656014398783
emp|m=0.6,40,40.0,48,71.72916666666667,1.0769920714455419,1.201153130055867,2.0560668121007355,2.0,0.2916666666666667,65.00135143790006,8.5625,6.25,11.125,0.5320614333955346,0.3548902496470979,0.7251968032189918
emp|m=0.6,full,inf,48,71.77083333333333,1.0711336174501533,1.183428085832061,2.059651317130572,2.0,0.2708333333333333,64.78613893544632,8.604166666666666,6.333333333333333,11.145833333333334,0.526202979400146,0.34969047362044836,0.7142284494296137
