region,region_label,pm_shares,u_targets,arm,level,n_configs,n_clusters,mean_control,mean_diff,pct_of_control,ci_lo,ci_hi,pct_ci_lo,pct_ci_hi,verdict,n_seeds,n_seeds_improved,n_seeds_better,n_seeds_worse,seed_pct_min,seed_pct_max
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",vispool,8,120,120,7384.847981333333,-27.44117283333331,-0.37158751138407065,-90.68987594583338,31.864078087499365,-1.2280533895223031,0.4314791335995289,inconclusive,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",atc_la,8,120,120,4672.380836666666,-11.68275333333329,-0.2500385508315694,-21.99691658333333,-3.1460256249995857,-0.47078603718925877,-0.06733238866812918,equivalent,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed501,8,120,120,4818.285105,2309.053146666666,47.92271723959486,1267.093475958333,3467.842001999998,26.297602743421162,71.97253641967701,worse,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed502,8,120,120,4603.380515000001,-57.5783816666665,-1.2507847543571247,-97.79618800000009,-22.069332124999924,-2.1244428454552833,-0.47941576963033045,inconclusive,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed503,8,120,120,7458.317016666666,-2905.9916533333335,-38.96310182095349,-4268.539808166665,-1718.0362344999999,-57.23194386385037,-23.035173091473645,better,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed504,8,120,120,10275.631663333334,-289.750701666666,-2.819784818685036,-487.8413912916666,-106.85053712499882,-4.747556230848923,-1.039843978704248,better,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed505,8,120,120,9768.625606666665,807.0617258333327,8.261773542457682,621.7726434374996,1005.1760470208336,6.364996146573236,10.289841043092535,worse,5,3,2,2,-38.96310182095349,47.92271723959486
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",vispool,40,120,120,7384.847981333333,-540.7962214999999,-7.32305150853436,-798.8830945208331,-303.89860092499936,-10.81786783614461,-4.115163936930906,better,5,4,2,1,-38.98455742096473,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",atc_la,40,120,120,4672.380836666666,-26.900969999999894,-0.5757443783026766,-47.99077499999989,-9.107325624999461,-1.0271160823062766,-0.19491830703373786,inconclusive,5,4,2,1,-38.98455742096473,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed501,40,120,120,4818.285105,-239.53910333333337,-4.97145972297821,-349.52000391666706,-144.5111422083335,-7.254033256644888,-2.999223563138103,better,5,4,2,1,-38.98455742096473,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed502,40,120,120,4603.380515000001,-66.04480333333319,-1.4347022393245106,-104.20227270833334,-34.697241166666394,-2.2636032882529005,-0.7537339364757334,inconclusive,5,4,2,1,-38.98455742096473,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed503,40,120,120,7458.317016666666,-2907.5918799999995,-38.98455742096473,-4219.925272916667,-1723.4235757500005,-56.58012744010004,-23.107405757877636,better,5,4,2,1,-38.98455742096473,8.205373574964753
win,"low preventive share near and above capacity (pm share 0.2, target utilization 0.9 and 1.1)",0.2,"0.9,1.1",visseed504,40,120,120,10275.631663333334,-292.3575450000005,-2.845153997133078,-521.2286392916661,-89.85985749999986,-5.072472976542872,-0.8744947312645306,inconclusive,5,4,2,1,-38.98455742096473,8.205373574964753
