id,base_instance_id,campus,size,transform,backdate_seed,max_shift_frac,n_wos,n_corrective,corrective_share,mean_delta_bh,max_delta_bh,n_clamped_at_zero,window_bh,u_realized,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl301,301,1,0.0,91.1517,3.6434773333333337,0.0,0.028995663044042885
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl302,302,1,0.0,91.1517,3.643477333333333,0.0,0.02789001096971333
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl303,303,1,0.0,91.1517,3.6434773333333337,0.0,0.027806092984974384
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl304,304,1,0.0,91.1517,3.366405333333333,0.0,0.02803511603269726
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl305,305,1,0.0,91.1517,3.643477333333333,0.0,0.027590353973209858
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl306,306,1,0.0,91.1517,3.6434773333333337,0.0,0.028245519963093102
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl307,307,1,0.0,91.1517,3.360235333333333,0.0,0.028332664049230516
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl308,308,1,0.0,91.1517,3.6334773333333334,0.0,0.028708460042253137
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl309,309,1,0.0,91.1517,3.6434773333333337,0.0,0.028581699007190764
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl310,310,1,0.0,91.1517,3.4023686666666664,0.0,0.028361398028209805
c01_final_150_0002_bd,c01_final_150_0002,1,150,backdate,424242,0.5,150,123,0.82,9.86,71.5984,78,16.0,0.268451,edd,301,1,8.0,26.0,2.946899333333333,0.006666666666666667,0.0007623779820278287
