id,campus,track,size,method,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,status,objective_bh,best_bound_bh,reused_from_60
c01_gen_150_0003,1,generator,150,atc,1,0.0,37.4748,3.185513333333333,0.0,,0.0,0.0,0.0,0.00047938304487615824,150,,,,False
c01_gen_150_0003,1,generator,150,pfifo,1,0.0,37.4748,3.185513333333333,0.0,,0.0,0.0,0.0,0.00035994802601635456,150,,,,False
c01_gen_150_0003,1,generator,150,lpt,1,0.0,37.4748,3.185513333333333,0.0,,0.0,0.0,0.0,0.00035655603278428316,150,,,,False
c01_gen_150_0003,1,generator,150,wmdd,1,0.0,37.4748,3.185513333333333,0.0,,0.0,0.0,0.0,0.0003738399827852845,150,,,,False
c01_gen_150_0003,1,generator,150,random,1,0.0,37.4748,3.185513333333333,0.0,,0.0,0.0,0.0,0.00034869194496423006,150,,,,False
c01_gen_150_0003,1,generator,150,ga,1,0.0,37.4748,3.185513333333333,0.0,,0.0,0.0,0.0,2.133656724006869,19700,,,,False
c01_gen_150_0003,1,generator,150,cpsat60,1,0.0,37.4825,3.1907626666666666,0.0,,0.0,0.0,0.0,0.12244754796847701,5094,OPTIMAL,0.0,0.0,False
c01_gen_150_0003,1,generator,150,cpsat300,1,0.0,37.4825,3.1907626666666666,0.0,,0.0,0.0,0.0,0.12244754796847701,5094,OPTIMAL,0.0,0.0,True
c01_gen_150_0004,1,generator,150,edd,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.000372197013348341,150,,,,False
c01_gen_150_0004,1,generator,150,wspt,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.00035333691630512476,150,,,,False
c01_gen_150_0004,1,generator,150,atc,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.0004344220506027341,150,,,,False
c01_gen_150_0004,1,generator,150,pfifo,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.00034649798180907965,150,,,,False
c01_gen_150_0004,1,generator,150,lpt,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.0003406309988349676,150,,,,False
c01_gen_150_0004,1,generator,150,wmdd,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.00037015904672443867,150,,,,False
c01_gen_150_0004,1,generator,150,random,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,0.00033468694891780615,150,,,,False
c01_gen_150_0004,1,generator,150,ga,1,0.0,37.650099999999995,2.813614,0.0,,0.0,0.0,0.0,1.7555984819773585,19700,,,,False
c01_gen_150_0004,1,generator,150,cpsat60,1,0.0,37.6586,2.818397333333333,0.0,,0.0,0.0,0.0,0.11573917604982853,4711,OPTIMAL,0.0,0.0,False
c01_gen_150_0004,1,generator,150,cpsat300,1,0.0,37.6586,2.818397333333333,0.0,,0.0,0.0,0.0,0.11573917604982853,4711,OPTIMAL,0.0,0.0,True
c01_gen_150_0005,1,generator,150,edd,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.0003735109930858016,150,,,,False
c01_gen_150_0005,1,generator,150,wspt,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.0003585630329325795,150,,,,False
c01_gen_150_0005,1,generator,150,atc,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.00045903294812887907,150,,,,False
c01_gen_150_0005,1,generator,150,pfifo,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.000344914966262877,150,,,,False
c01_gen_150_0005,1,generator,150,lpt,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.00034319295082241297,150,,,,False
c01_gen_150_0005,1,generator,150,wmdd,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.0003633069572970271,150,,,,False
c01_gen_150_0005,1,generator,150,random,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,0.0003462759777903557,150,,,,False
c01_gen_150_0005,1,generator,150,ga,1,0.0,65.15899999999999,3.0288993333333325,0.0,,0.0,0.0,0.0,1.8589698639698327,19700,,,,False
c01_gen_150_0005,1,generator,150,cpsat60,1,0.0,65.1598,3.0339273333333328,0.0,,0.0,0.0,0.0,0.11851674295030534,5536,OPTIMAL,0.0,0.0,False
c01_gen_150_0005,1,generator,150,cpsat300,1,0.0,65.1598,3.0339273333333328,0.0,,0.0,0.0,0.0,0.11851674295030534,5536,OPTIMAL,0.0,0.0,True
