update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-2.142072,421.727650,510.316825,0.514682,0.862023,115.772
1,-2.373300,421.727650,510.316825,0.493425,1.837315,5.568
2,-6.279962,421.727650,510.316825,0.722759,9.591538,5.850
3,-2.010966,421.727650,510.316825,0.655519,1.339127,5.991
4,-3.859029,421.727650,510.316825,0.664309,1.128340,6.577
5,-4.934481,421.727650,510.316825,0.760843,3.004369,5.848
6,-3.692572,421.727650,510.316825,0.773239,1.697664,5.577
7,-1.971168,421.727650,510.316825,0.430120,1.412076,6.495
8,-3.608406,421.727650,510.316825,0.942731,1.373575,5.720
9,-1.560707,421.727650,510.316825,0.834912,1.487240,5.363
10,-4.410262,421.727650,510.316825,0.613722,1.305121,5.326
11,-3.827422,421.727650,510.316825,0.692092,1.279616,5.239
12,-2.973857,421.727650,510.316825,0.884474,1.903928,6.022
13,-3.317013,421.727650,510.316825,1.011904,1.878534,5.619
14,-2.963826,421.727650,510.316825,0.389550,1.665003,5.187
15,-1.163747,421.727650,510.316825,1.126923,0.364310,5.533
16,-2.560276,421.727650,510.316825,0.588273,1.311344,6.202
17,-3.834598,421.727650,510.316825,0.662932,1.332652,5.997
18,-1.831077,421.727650,510.316825,0.768139,0.503662,5.823
19,-2.491050,421.727650,510.316825,0.844530,1.164953,6.320
20,-3.222008,409.684388,432.251175,0.778333,1.063508,115.034
21,-3.454104,409.684388,432.251175,0.523917,1.722735,5.821
22,-3.939562,409.684388,432.251175,0.567036,1.512878,6.074
23,-5.543462,409.684388,432.251175,0.282483,2.640340,5.335
24,-3.339663,409.684388,432.251175,0.588375,1.168906,4.914
25,-1.857003,409.684388,432.251175,0.562020,0.908682,5.836
26,-3.549922,409.684388,432.251175,0.747079,1.384493,5.402
27,-3.082201,409.684388,432.251175,0.917141,1.910321,5.904
28,-2.779597,409.684388,432.251175,0.848429,1.451127,5.337
29,-2.017157,409.684388,432.251175,0.961000,1.395933,5.800
30,-4.656816,409.684388,432.251175,0.622697,1.828005,5.129
31,-5.909176,409.684388,432.251175,0.866437,16.538992,5.966
32,-3.458269,409.684388,432.251175,0.485913,1.799176,5.209
33,-4.896671,409.684388,432.251175,0.704676,2.719580,5.700
34,-3.504354,409.684388,432.251175,0.890382,1.875884,5.517
35,-2.162000,409.684388,432.251175,1.035415,0.713144,6.187
