update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-4.308686,414.029725,486.704213,0.861370,3.273990,2.752
1,-6.706137,414.029725,486.704213,0.743745,2.006177,0.894
2,-2.312030,414.029725,486.704213,0.770892,1.086095,0.792
3,-3.010676,414.029725,486.704213,0.563195,1.198077,0.897
4,-3.662924,414.029725,486.704213,0.411451,1.112990,0.831
5,-0.492264,414.029725,486.704213,0.539913,1.043617,0.924
6,-5.459154,414.029725,486.704213,0.508090,1.405319,1.042
7,-3.406400,414.029725,486.704213,0.645677,2.124189,0.845
8,-5.321065,414.029725,486.704213,0.599688,2.124722,0.996
9,-3.201031,414.029725,486.704213,0.373525,1.671442,0.742
10,-2.403409,414.029725,486.704213,0.495982,1.504250,0.931
11,-3.153932,414.029725,486.704213,0.620702,1.936962,0.967
12,-2.777071,414.029725,486.704213,0.847352,0.988757,0.890
13,-2.946374,414.029725,486.704213,0.855045,1.358690,1.031
14,-4.251450,414.029725,486.704213,0.737501,1.625140,1.055
15,-2.991014,414.029725,486.704213,0.885729,2.392905,1.080
16,-5.370783,414.029725,486.704213,0.706673,1.457600,1.087
17,-3.635812,414.029725,486.704213,0.849959,12.959752,1.102
18,-12.192834,414.029725,486.704213,0.669526,15.824314,1.054
19,-2.530383,414.029725,486.704213,0.503040,1.469537,1.022
20,-3.873298,410.680213,440.804200,0.477487,1.631079,2.875
21,-2.992253,410.680213,440.804200,0.460838,1.068388,0.833
22,-3.828955,410.680213,440.804200,0.391799,2.214531,1.073
23,-3.241550,410.680213,440.804200,0.343573,1.995423,1.058
24,-4.368206,410.680213,440.804200,0.546600,1.817802,1.088
25,-3.769962,410.680213,440.804200,0.544601,1.758612,1.055
26,-2.144034,410.680213,440.804200,0.668025,1.227590,1.094
27,-2.453195,410.680213,440.804200,0.578140,2.445608,0.755
28,-7.063132,410.680213,440.804200,0.398079,3.060808,1.016
29,-4.605012,410.680213,440.804200,1.007676,2.048978,0.935
30,-4.730117,410.680213,440.804200,0.686720,1.225763,1.093
31,-2.304206,410.680213,440.804200,0.520908,1.038524,0.742
32,-4.062168,410.680213,440.804200,0.355157,1.851441,1.057
33,-2.823237,410.680213,440.804200,0.454363,1.570944,0.663
34,-2.274749,410.680213,440.804200,0.737223,1.120018,0.957
35,-1.917721,410.680213,440.804200,0.813993,1.470421,0.835
36,-3.345651,410.680213,440.804200,0.767545,1.398071,0.985
37,-3.285053,410.680213,440.804200,0.498817,0.903306,0.861
38,-2.740769,410.680213,440.804200,0.521290,1.203753,0.958
39,-3.955697,410.680213,440.804200,0.643571,1.646251,0.785
40,-3.093565,410.867713,442.941175,0.786108,1.187864,2.806
41,-2.064914,410.867713,442.941175,0.793941,0.910552,0.803
42,-3.067066,410.867713,442.941175,0.603509,1.229053,0.988
43,-5.420532,410.867713,442.941175,0.798741,1.809683,0.874
44,-2.396062,410.867713,442.941175,0.738212,0.655540,1.076
45,-4.508912,410.867713,442.941175,0.508591,1.897713,0.724
46,-3.553704,410.867713,442.941175,0.641737,0.918375,1.047
47,-0.894061,410.867713,442.941175,0.832127,1.920108,0.739
48,-2.978218,410.867713,442.941175,0.483537,1.710184,1.036
49,-4.481205,410.867713,442.941175,0.626123,2.130471,0.762
50,-1.872961,410.867713,442.941175,0.438913,1.782639,1.019
51,-4.779100,410.867713,442.941175,0.720380,1.116750,0.753
52,-1.261284,410.867713,442.941175,0.770036,1.570563,1.018
53,-7.362515,410.867713,442.941175,0.346213,2.157901,0.715
54,-1.916071,410.867713,442.941175,0.626020,0.819888,1.019
55,-2.634088,410.867713,442.941175,0.677154,4.320782,0.896
56,-2.277485,410.867713,442.941175,0.631911,1.359243,0.955
57,-2.049787,410.867713,442.941175,0.994012,1.662555,1.087
58,-4.019890,410.867713,442.941175,0.983208,2.399733,0.858
59,-3.180005,410.867713,442.941175,0.469179,1.150227,0.936
60,-2.009651,410.867713,441.596650,0.631136,0.944322,2.640
61,-2.309282,410.867713,441.596650,0.697855,1.685946,1.003
62,-3.065982,410.867713,441.596650,0.494527,0.857731,0.776
63,-2.453975,410.867713,441.596650,0.443534,1.176214,1.072
64,-2.469721,410.867713,441.596650,0.608564,0.723729,0.732
65,-2.145592,410.867713,441.596650,0.740526,1.213462,1.056
66,-4.330202,410.867713,441.596650,0.811233,2.455351,0.862
67,-4.312800,410.867713,441.596650,0.704791,1.129496,1.000
68,-3.558599,410.867713,441.596650,0.599544,1.149027,0.872
