id,base_id,campus,size,condition,sla_multiplier,crew_multiplier,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,atc,301,1,0.0,49.1439,4.272306,0.0,,,0.0,0.0,0.0004653839860111475
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,pfifo,301,1,0.0,49.1439,4.304105333333333,0.0,,,0.0,0.0,0.00033976510167121887
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,lpt,301,1,0.0,49.1439,4.351604000000001,0.0,,,0.0,0.0,0.00031922897323966026
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,random,301,1,0.0,49.1439,4.280772,0.0,,,0.0,0.0,0.00031993293669074774
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,rl301,301,1,0.0,49.1439,4.2536206666666665,0.0,,,0.0,0.0,0.13646289194002748
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,rl302,302,1,0.0,49.1439,4.348270666666667,0.0,,,0.0,0.0,0.053132602013647556
c05_replay_150_0100_m0.75,c05_replay_150_0100,5,150,crew0.75,1.0,0.75,rl303,303,1,0.0,49.1439,4.315639333333333,0.0,,,0.0,0.0,0.05266288493294269
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,edd,301,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.00043378002010285854
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,wspt,301,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.0003854080568999052
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,atc,301,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.0004974929615855217
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,pfifo,301,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.0003633759915828705
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,lpt,301,1,0.0,49.1439,4.164644666666667,0.0,,,0.0,0.0,0.00035602098796516657
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,random,301,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.0003328339662402868
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,rl301,301,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.3051002329448238
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,rl302,302,1,0.0,49.1439,4.164644666666667,0.0,,,0.0,0.0,0.056004045996814966
c05_replay_150_0100_m1.25,c05_replay_150_0100,5,150,crew1.25,1.0,1.25,rl303,303,1,0.0,49.1439,4.150316666666667,0.0,,,0.0,0.0,0.0540681229904294
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,edd,301,1,0.0,22.0,3.4677026666666673,0.0,,,0.0,0.0,0.0006426949985325336
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,wspt,301,1,0.0,22.0,3.2183446666666664,0.0,,,0.0,0.0,0.0006253119790926576
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,atc,301,1,0.0,22.0,3.2407706666666667,0.0,,,0.0,0.0,0.0011178270215168595
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,pfifo,301,1,0.0,22.0,3.4677026666666673,0.0,,,0.0,0.0,0.0005269750254228711
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,lpt,301,1,0.0,22.0,3.940078,0.0,,,0.0,0.0,0.0005276290467008948
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,random,301,1,0.0,22.0,3.5235579999999995,0.0,,,0.0,0.0,0.0003442460438236594
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,rl301,301,1,0.0,22.0,3.23582,0.0,,,0.0,0.0,0.10362762794829905
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,rl302,302,1,0.0,22.0,3.940078,0.0,,,0.0,0.0,0.04769388597924262
c05_replay_150_0101,c05_replay_150_0101,5,150,baseline,1.0,1.0,rl303,303,1,0.0,22.0,3.4136386666666665,0.0,,,0.0,0.0,0.02911691798362881
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,edd,301,1,0.0,22.0,3.4677026666666673,0.0,,,0.0,0.0,0.000595416990108788
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,wspt,301,1,0.0,22.0,3.2183446666666664,0.0,,,0.0,0.0,0.0006319269305095077
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,atc,301,1,0.0,22.0,3.2407706666666667,0.0,,,0.0,0.0,0.0010984570253640413
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,pfifo,301,1,0.0,22.0,3.4677026666666673,0.0,,,0.0,0.0,0.0004953190218657255
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,lpt,301,1,0.0,22.0,3.940078,0.0,,,0.0,0.0,0.0005089089972898364
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,random,301,1,0.0,22.0,3.5235579999999995,0.0,,,0.0,0.0,0.00033972098026424646
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,rl301,301,1,0.0,22.0,3.940078,0.0,,,0.0,0.0,0.10707601101603359
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,rl302,302,1,0.0,22.0,3.936744666666667,0.0,,,0.0,0.0,0.059746787999756634
c05_replay_150_0101_sla0.5,c05_replay_150_0101,5,150,sla0.5,0.5,1.0,rl303,303,1,0.0,22.0,3.863868,0.0,,,0.0,0.0,0.05920208792667836
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,edd,301,1,0.0,22.0,3.4677026666666673,0.0,,,0.0,0.0,0.0005998760461807251
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,wspt,301,1,0.0,22.0,3.2183446666666664,0.0,,,0.0,0.0,0.00061576790176332
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,atc,301,1,0.0,22.0,3.2407706666666667,0.0,,,0.0,0.0,0.0011022330727428198
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,pfifo,301,1,0.0,22.0,3.4677026666666673,0.0,,,0.0,0.0,0.0005114150699228048
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,lpt,301,1,0.0,22.0,3.940078,0.0,,,0.0,0.0,0.0005130580393597484
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,random,301,1,0.0,22.0,3.5235579999999995,0.0,,,0.0,0.0,0.0003452309174463153
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,rl301,301,1,0.0,22.0,3.2191533333333333,0.0,,,0.0,0.0,0.09127567091491073
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,rl302,302,1,0.0,22.0,3.8467466666666663,0.0,,,0.0,0.0,0.06417151994537562
c05_replay_150_0101_sla1.5,c05_replay_150_0101,5,150,sla1.5,1.5,1.0,rl303,303,1,0.0,22.0,3.927626,0.0,,,0.0,0.0,0.05753147404175252
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,edd,301,1,0.0,22.0,4.079980666666666,0.0,,,0.0,0.0,0.0005432070465758443
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,wspt,301,1,0.0,23.9589,3.707061333333334,0.0,,,0.0,0.0,0.0006722680991515517
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,atc,301,1,0.0,22.0,3.783572666666667,0.0,,,0.0,0.0,0.0011491740588098764
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,pfifo,301,1,0.0,22.0,4.079980666666666,0.0,,,0.0,0.0,0.0005120730493217707
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,lpt,301,1,0.0,22.0,4.908455999999999,0.0,,,0.0,0.0,0.0005215869750827551
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,random,301,1,0.0,22.0,4.2684706666666665,0.0,,,0.0,0.0,0.0003186219837516546
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,rl301,301,1,0.0,23.7756,4.016935333333334,0.0,,,0.0,0.0,0.16341385804116726
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,rl302,302,1,0.0,22.0,4.908455999999999,0.0,,,0.0,0.0,0.09287599194794893
c05_replay_150_0101_m0.75,c05_replay_150_0101,5,150,crew0.75,1.0,0.75,rl303,303,1,0.0,22.0,4.3621360000000005,0.0,,,0.0,0.0,0.05994534806814045
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,edd,301,1,0.0,22.0,3.0591186666666657,0.0,,,0.0,0.0,0.0005344930104911327
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,wspt,301,1,0.0,22.0,2.9011326666666664,0.0,,,0.0,0.0,0.0005840170197188854
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,atc,301,1,0.0,22.0,2.9094206666666667,0.0,,,0.0,0.0,0.0009968160884454846
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,pfifo,301,1,0.0,22.0,3.0591186666666657,0.0,,,0.0,0.0,0.00047957198694348335
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,lpt,301,1,0.0,22.0,3.341817333333333,0.0,,,0.0,0.0,0.0004886009264737368
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,random,301,1,0.0,22.0,3.088346666666667,0.0,,,0.0,0.0,0.0003425399772822857
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,rl301,301,1,0.0,22.0,2.911936,0.0,,,0.0,0.0,0.3957123450236395
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,rl302,302,1,0.0,22.0,3.341817333333333,0.0,,,0.0,0.0,0.06617751705925912
c05_replay_150_0101_m1.25,c05_replay_150_0101,5,150,crew1.25,1.0,1.25,rl303,303,1,0.0,22.0,2.9952766666666664,0.0,,,0.0,0.0,0.058455632999539375
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,edd,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00041854893788695335
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,wspt,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00036401802208274603
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,atc,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00046513997949659824
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,pfifo,301,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.00033388903830200434
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,lpt,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.00033136107958853245
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,random,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.0003236329648643732
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,rl301,301,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.2757746920688078
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,rl302,302,1,0.0,74.2303,4.381565333333333,0.0,,,0.0,,0.12340966903138906
c05_replay_150_0102,c05_replay_150_0102,5,150,baseline,1.0,1.0,rl303,303,1,0.0,74.2303,4.358839333333334,0.0,,,0.0,,0.05991492490284145
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,edd,301,1,43.0,74.2303,4.358839333333334,0.006666666666666667,,,0.006666666666666667,,0.0004349990049377084
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,wspt,301,1,43.0,74.2303,4.358839333333334,0.006666666666666667,,,0.006666666666666667,,0.0003879290306940675
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,atc,301,1,43.0,74.2303,4.358839333333334,0.006666666666666667,,,0.006666666666666667,,0.00045876705553382635
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,pfifo,301,1,43.0,74.2303,4.358839333333334,0.006666666666666667,,,0.006666666666666667,,0.0003505710046738386
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,lpt,301,1,43.0,74.2303,4.381565333333333,0.006666666666666667,,,0.006666666666666667,,0.0003238279605284333
c05_replay_150_0102_sla0.5,c05_replay_150_0102,5,150,sla0.5,0.5,1.0,random,301,1,43.0,74.2303,4.381565333333333,0.006666666666666667,,,0.006666666666666667,,0.00033122405875474215
