arm,rule,n_drops,full_mean_diff,full_verdict,loo_min_diff,loo_max_diff,n_verdict_changes,verdict_changes_to,most_influential_cluster,most_influential_delta,most_influential_diff,most_influential_ci_lo,most_influential_ci_hi,most_influential_verdict
q0.95,wmdd,17,-93.09329411764713,inconclusive,-109.59787500000004,-37.50530000000004,0,none,c02_final_150_0016,55.58799411764709,-37.50530000000004,-131.4677159375001,28.55642812499994,inconclusive
q0.95,atc,17,-59.206423529411786,inconclusive,-78.22097500000001,-10.89510000000001,0,none,c02_final_150_0016,48.31132352941178,-10.89510000000001,-99.9128746875,52.35879124999991,inconclusive
q0.95,wspt,17,-20.083282352941236,inconclusive,-45.879287500000025,27.885737499999955,0,none,c02_final_150_0016,47.96901985294119,27.885737499999955,-74.92141312500003,108.82301406249994,inconclusive
q0.90,wmdd,17,-353.03628235294116,better,-382.33105000000006,-198.11580000000015,0,none,c02_final_150_0016,154.920482352941,-198.11580000000015,-425.02329562500034,-19.833272812499917,better
q0.90,atc,17,-289.87094117647064,inconclusive,-318.85367500000007,-136.46685000000008,2,better,c02_final_150_0016,153.40409117647056,-136.46685000000008,-345.3996100000002,23.786476874999995,inconclusive
q0.90,wspt,17,-250.6325882352942,inconclusive,-281.2995750000001,-96.43860000000019,0,none,c02_final_150_0016,154.193988235294,-96.43860000000019,-300.9583412500005,59.58362000000002,inconclusive
q0.75,wmdd,17,-2675.0009764705883,better,-2845.5329374999997,-2314.66425,0,none,c02_final_150_0007,360.3367264705885,-2314.66425,-3826.0885549999994,-953.5941209375,better
q0.75,atc,17,-2799.934005882353,better,-2982.94030625,-2442.9243937499996,0,none,c02_final_150_0016,357.0096121323536,-2442.9243937499996,-3948.9438553124996,-1089.4550290625007,better
q0.75,wspt,17,-2663.7775941176474,better,-2847.38539375,-2304.04486875,0,none,c02_final_150_0016,359.73272536764716,-2304.04486875,-3808.35102546875,-924.655553125,better
