scope,family,n_configs,n_clusters,mean_edd,mean_family,mean_diff,margin,ci_lo,ci_hi,verdict,alpha_adjusted,level_pct,ci_lo_bonf,ci_hi_bonf,verdict_bonf,width_ratio,verdict_changed
m=1.0,pfifo,180,180,444.8689277777778,444.8689277777778,0.0,4.4486892777777785,0.0,0.0,equivalent,0.001851851851851852,99.81481481481481,0.0,0.0,equivalent,,0
m=1.0,wspt,180,180,444.8689277777778,446.6459477777778,1.7770200000000016,4.4486892777777785,0.8064506111111106,2.9670826111111106,equivalent,0.001851851851851852,99.81481481481481,0.472516166666666,3.7619929444444553,equivalent,1.5224604549862213,0
m=1.0,atc,180,180,444.8689277777778,445.5551500000001,0.6862222222222215,4.4486892777777785,0.17484000000000038,1.3405241666666643,equivalent,0.001851851851851852,99.81481481481481,0.002562222222222014,1.7641528888888878,equivalent,1.511207509752859,0
m=1.0,wmdd,180,180,444.8689277777778,445.3319900000001,0.4630622222222251,4.4486892777777785,0.10517333333333327,0.9378005555555572,equivalent,0.001851851851851852,99.81481481481481,0.0,1.3125781851852023,equivalent,1.5764295835560393,0
m=1.0,lpt,180,180,444.8689277777778,445.5785988888889,0.70967111111111,4.4486892777777785,-0.07620227777778207,2.107501388888894,equivalent,0.001851851851851852,99.81481481481481,-0.19173250000000205,3.428486592592593,equivalent,1.657834415838434,0
m=1.0,random,180,180,444.8689277777778,446.3160666666667,1.4471388888888845,4.4486892777777785,0.4718036388888853,2.8144874166666654,equivalent,0.001851851851851852,99.81481481481481,0.2093651759259238,3.8266977962962914,equivalent,1.5440976945687874,0
m=1.0,mlp_pool,180,180,444.8689277777778,444.76927444444453,-0.09965333333333001,4.4486892777777785,-0.26032747777777454,0.024417238888889668,equivalent,0.001851851851851852,99.81481481481481,-0.38349945370370314,0.061359746296298465,equivalent,1.5623088821724305,0
m=1.0,attn_pool,180,180,444.8689277777778,445.26791222222226,0.39898444444444825,4.4486892777777785,0.06656556111111486,0.8345761055555554,equivalent,0.001851851851851852,99.81481481481481,-0.022184979629630005,1.136915720370383,equivalent,1.5092249818503174,0
m=1.0,v1_pool,180,180,444.8689277777778,444.80985370370377,-0.05907407407407703,4.4486892777777785,-0.20152188888889727,0.07346279629629461,equivalent,0.001851851851851852,99.81481481481481,-0.3097734567901269,0.16159333950616894,equivalent,1.7141565392227134,0
m=0.8,pfifo,180,180,446.6359855555555,446.6359855555555,0.0,4.466359855555555,0.0,0.0,equivalent,0.001851851851851852,99.81481481481481,0.0,0.0,equivalent,,0
m=0.8,wspt,180,180,446.6359855555555,450.36247,3.726484444444435,4.466359855555555,2.182704305555553,5.5673639999999915,inconclusive,0.001851851851851852,99.81481481481481,1.391625564814812,6.887928555555532,inconclusive,1.6238864426347857,0
m=0.8,atc,180,180,446.6359855555555,448.1663633333332,1.530377777777769,4.466359855555555,0.5274171666666684,2.756036583333318,equivalent,0.001851851851851852,99.81481481481481,0.14258774074073732,3.4795221666666483,equivalent,1.497310128849622,0
m=0.8,wmdd,180,180,446.6359855555555,447.546668888889,0.9106833333333355,4.466359855555555,0.32232688888888894,1.6625650277777875,equivalent,0.001851851851851852,99.81481481481481,0.08627987037037135,2.1574845925926014,equivalent,1.5454005240735254,0
m=0.8,lpt,180,180,446.6359855555555,455.3309055555556,8.69492,4.466359855555555,1.1445353055555556,20.200114749999987,inconclusive,0.001851851851851852,99.81481481481481,-0.017747555555555128,30.007192351851867,inconclusive,1.575650847823526,0
m=0.8,random,180,180,446.6359855555555,450.5859366666666,3.949951111111111,4.466359855555555,1.5798970555555576,7.260414305555555,inconclusive,0.001851851851851852,99.81481481481481,0.8533218703703692,9.916992148148154,inconclusive,1.5955712972754001,0
m=0.8,mlp_pool,180,180,446.6359855555555,446.48986288888887,-0.1461226666666645,4.466359855555555,-0.5080279944444414,0.27441538888889094,equivalent,0.001851851851851852,99.81481481481481,-0.7576174629629598,0.6316803944444453,equivalent,1.775588990846567,0
m=0.8,attn_pool,180,180,446.6359855555555,447.6883984444445,1.0524128888888917,4.466359855555555,0.3439700055555597,1.952417780555558,equivalent,0.001851851851851852,99.81481481481481,0.12071805648148619,2.6220219314814854,equivalent,1.5551041904360257,0
