arm,rule,cluster,id,wwt_rule,wwt_edd,paired_diff,share_of_total
q0.95,wspt,c02_final_150_0014,c02_final_150_0014,2657.756,2265.1032000000005,392.6527999999994,-1.1500721407737962
q0.95,wspt,c02_final_150_0015,c02_final_150_0015,738.9696,738.9696,0.0,-0.0
q0.95,wspt,c02_final_150_0016,c02_final_150_0016,2095.5736,2883.1612000000005,-787.5876000000003,2.3068282135741756
q0.90,wmdd,c02_final_150_0000,c02_final_150_0000_q90,1489.755,1480.555,9.200000000000045,-0.0015329202624199609
q0.90,wmdd,c02_final_150_0001,c02_final_150_0001_q90,992.2506,876.5706,115.67999999999995,-0.01927480608225436
q0.90,wmdd,c02_final_150_0002,c02_final_150_0002_q90,912.5524,864.8056,47.74680000000001,-0.007955656215838373
q0.90,wmdd,c02_final_150_0003,c02_final_150_0003_q90,182.5296,182.5296,0.0,-0.0
q0.90,wmdd,c02_final_150_0004,c02_final_150_0004_q90,600.7744000000001,600.7744000000001,0.0,-0.0
q0.90,wmdd,c02_final_150_0005,c02_final_150_0005_q90,17.279999999999987,14.399999999999991,2.8799999999999955,-0.00047987069084450636
q0.90,wmdd,c02_final_150_0006,c02_final_150_0006_q90,1643.77,2268.492,-624.7220000000002,0.10409228393255635
q0.90,wmdd,c02_final_150_0007,c02_final_150_0007_q90,2952.1416,4443.961400000001,-1491.8198000000011,0.24856965209774826
q0.90,wmdd,c02_final_150_0008,c02_final_150_0008_q90,1076.5442000000005,1055.9272,20.617000000000417,-0.0034352409837296537
q0.90,wmdd,c02_final_150_0009,c02_final_150_0009_q90,1314.8908,1255.0976,59.79319999999984,-0.009962848677709621
q0.90,wmdd,c02_final_150_0010,c02_final_150_0010_q90,472.6192000000001,472.6192000000001,0.0,-0.0
q0.90,wmdd,c02_final_150_0011,c02_final_150_0011_q90,2462.7954000000004,2673.5312,-210.73579999999947,0.03511317150405195
q0.90,wmdd,c02_final_150_0012,c02_final_150_0012_q90,1589.8766,1563.9566,25.920000000000073,-0.004318836217600576
q0.90,wmdd,c02_final_150_0013,c02_final_150_0013_q90,2077.2248,2855.403600000001,-778.178800000001,0.12966152720713542
q0.90,wmdd,c02_final_150_0014,c02_final_150_0014_q90,2949.45,3301.4034000000006,-351.9534000000008,0.058643097639956086
q0.90,wmdd,c02_final_150_0015,c02_final_150_0015_q90,751.7696,746.0496,5.719999999999914,-0.0009530765109828261
q0.90,wmdd,c02_final_150_0016,c02_final_150_0016_q90,2605.218800000001,5436.982799999999,-2831.763999999998,0.4718335232599319
q0.90,atc,c02_final_150_0000,c02_final_150_0000_q90,1500.1222,1480.555,19.567199999999957,-0.003970773200081325
q0.90,atc,c02_final_150_0001,c02_final_150_0001_q90,981.9038,876.5706,105.33320000000003,-0.02137527329606726
q0.90,atc,c02_final_150_0002,c02_final_150_0002_q90,940.0192000000002,864.8056,75.21360000000016,-0.015263100860707614
q0.90,atc,c02_final_150_0003,c02_final_150_0003_q90,182.5296,182.5296,0.0,-0.0
q0.90,atc,c02_final_150_0004,c02_final_150_0004_q90,600.7744000000001,600.7744000000001,0.0,-0.0
q0.90,atc,c02_final_150_0005,c02_final_150_0005_q90,14.399999999999991,14.399999999999991,0.0,-0.0
q0.90,atc,c02_final_150_0006,c02_final_150_0006_q90,1691.3436000000002,2268.492,-577.1484,0.11712076327680107
q0.90,atc,c02_final_150_0007,c02_final_150_0007_q90,3129.0484,4443.961400000001,-1314.913000000001,0.26683538272407653
q0.90,atc,c02_final_150_0008,c02_final_150_0008_q90,1082.2738000000002,1055.9272,26.34660000000008,-0.005346517293903226
q0.90,atc,c02_final_150_0009,c02_final_150_0009_q90,1428.9504000000002,1255.0976,173.85280000000012,-0.03527996029064458
q0.90,atc,c02_final_150_0010,c02_final_150_0010_q90,500.00640000000016,472.6192000000001,27.387200000000064,-0.005557686321255354
q0.90,atc,c02_final_150_0011,c02_final_150_0011_q90,2678.0554,2673.5312,4.524200000000292,-0.0009180962075212156
q0.90,atc,c02_final_150_0012,c02_final_150_0012_q90,1607.2362,1563.9566,43.27960000000007,-0.008782732112424894
q0.90,atc,c02_final_150_0013,c02_final_150_0013_q90,2144.7048,2855.403600000001,-710.698800000001,0.1442221548494403
q0.90,atc,c02_final_150_0014,c02_final_150_0014_q90,3239.7896,3301.4034000000006,-61.61380000000054,0.012503292540331444
q0.90,atc,c02_final_150_0015,c02_final_150_0015_q90,751.4496,746.0496,5.399999999999977,-0.0010958223598899748
q0.90,atc,c02_final_150_0016,c02_final_150_0016_q90,2692.6464,5436.982799999999,-2744.336399999999,0.5569083685518461
q0.90,wspt,c02_final_150_0000,c02_final_150_0000_q90,1562.6286,1480.555,82.07359999999994,-0.019262693880003373
q0.90,wspt,c02_final_150_0001,c02_final_150_0001_q90,981.9038,876.5706,105.33320000000003,-0.02472172765665419
q0.90,wspt,c02_final_150_0002,c02_final_150_0002_q90,958.3128000000002,864.8056,93.50720000000013,-0.02194616258061368
q0.90,wspt,c02_final_150_0003,c02_final_150_0003_q90,182.5296,182.5296,0.0,-0.0
q0.90,wspt,c02_final_150_0004,c02_final_150_0004_q90,600.7744000000001,600.7744000000001,0.0,-0.0
q0.90,wspt,c02_final_150_0005,c02_final_150_0005_q90,25.53319999999998,14.399999999999991,11.133199999999988,-0.002612964747554067
q0.90,wspt,c02_final_150_0006,c02_final_150_0006_q90,1689.1967999999997,2268.492,-579.2952000000005,0.13596072432250256
