scope_type,scope,family,n_configs_full,n_clusters_full,mean_edd_full,mean_family_full,mean_diff_full,ci_lo_full,ci_hi_full,margin_full,verdict_full,n_configs_subset,n_clusters_subset,mean_edd_subset,mean_family_subset,mean_diff_subset,ci_lo_subset,ci_hi_subset,margin_subset,verdict_subset,verdict_changed
emp_m,m=1.0,pfifo,180,180,444.8689277777778,444.8689277777778,0.0,0.0,0.0,4.4486892777777785,equivalent,115,115,593.1172643478261,593.1172643478261,0.0,0.0,0.0,5.931172643478261,equivalent,0
emp_m,m=1.0,wspt,180,180,444.8689277777778,446.6459477777778,1.7770200000000016,0.8064506111111106,2.9670826111111106,4.4486892777777785,equivalent,115,115,593.1172643478261,595.6986869565218,2.5814226086956547,1.1188202608695643,4.413296000000002,5.931172643478261,equivalent,0
emp_m,m=1.0,atc,180,180,444.8689277777778,445.5551500000001,0.6862222222222215,0.17484000000000038,1.3405241666666643,4.4486892777777785,equivalent,115,115,593.1172643478261,594.1913513043479,1.074086956521738,0.27363460869565276,2.0919463478260854,5.931172643478261,equivalent,0
emp_m,m=1.0,wmdd,180,180,444.8689277777778,445.3319900000001,0.4630622222222251,0.10517333333333327,0.9378005555555572,4.4486892777777785,equivalent,115,115,593.1172643478261,593.8420573913045,0.7247930434782653,0.16461913043478252,1.456890434782615,5.931172643478261,equivalent,0
emp_m,m=1.0,lpt,180,180,444.8689277777778,445.5785988888889,0.70967111111111,-0.07620227777778207,2.107501388888894,4.4486892777777785,equivalent,115,115,593.1172643478261,594.1410973913044,1.0238330434782592,-0.16465495652173934,3.1770264347826127,5.931172643478261,equivalent,0
emp_m,m=1.0,random,180,180,444.8689277777778,446.3160666666667,1.4471388888888845,0.4718036388888853,2.8144874166666654,4.4486892777777785,equivalent,115,115,593.1172643478261,595.2339478260869,2.116683478260863,0.6183706086956499,4.217804304347815,5.931172643478261,equivalent,0
emp_m,m=1.0,mlp_pool,180,180,444.8689277777778,444.76927444444453,-0.09965333333333001,-0.26032747777777454,0.024417238888889668,4.4486892777777785,equivalent,115,115,593.1172643478261,592.9612852173914,-0.15597913043477543,-0.40037057391303593,0.03423606086957919,5.931172643478261,equivalent,0
emp_m,m=1.0,attn_pool,180,180,444.8689277777778,445.26791222222226,0.39898444444444825,0.06656556111111486,0.8345761055555554,4.4486892777777785,equivalent,115,115,593.1172643478261,593.7417617391305,0.6244973913043558,0.10261599999999875,1.308832530434791,5.931172643478261,equivalent,0
emp_m,m=1.0,v1_pool,180,180,444.8689277777778,444.80985370370377,-0.05907407407407703,-0.20152188888889727,0.07346279629629461,4.4486892777777785,equivalent,115,115,593.1172643478261,593.0248005797102,-0.09246376811594469,-0.30632156521739623,0.12133739130434859,5.931172643478261,equivalent,0
emp_m,m=0.8,pfifo,180,180,446.6359855555555,446.6359855555555,0.0,0.0,0.0,4.466359855555555,equivalent,115,115,595.8830939130435,595.8830939130435,0.0,0.0,0.0,5.958830939130435,equivalent,0
emp_m,m=0.8,wspt,180,180,446.6359855555555,450.36247,3.726484444444435,2.182704305555553,5.5673639999999915,4.466359855555555,inconclusive,115,115,595.8830939130435,601.0851252173912,5.202031304347812,2.7937562608695674,8.016754608695633,5.958830939130435,inconclusive,0
emp_m,m=0.8,atc,180,180,446.6359855555555,448.1663633333332,1.530377777777769,0.5274171666666684,2.756036583333318,4.466359855555555,equivalent,115,115,595.8830939130435,598.2355669565216,2.352473043478247,0.8482761304347819,4.2183063478260765,5.958830939130435,equivalent,0
emp_m,m=0.8,wmdd,180,180,446.6359855555555,447.546668888889,0.9106833333333355,0.32232688888888894,1.6625650277777875,4.466359855555555,equivalent,115,115,595.8830939130435,597.2656104347825,1.3825165217391338,0.4602573913043473,2.5234362173912994,5.958830939130435,equivalent,0
emp_m,m=0.8,lpt,180,180,446.6359855555555,455.3309055555556,8.69492,1.1445353055555556,20.200114749999987,4.466359855555555,inconclusive,115,115,595.8830939130435,608.8316643478261,12.948570434782608,1.1999056086956539,31.495860043478242,5.958830939130435,inconclusive,0
emp_m,m=0.8,random,180,180,446.6359855555555,450.5859366666666,3.949951111111111,1.5798970555555576,7.260414305555555,4.466359855555555,inconclusive,115,115,595.8830939130435,601.3351913043477,5.452097391304348,1.841706478260868,10.51938260869565,5.958830939130435,inconclusive,0
emp_m,m=0.8,mlp_pool,180,180,446.6359855555555,446.48986288888887,-0.1461226666666645,-0.5080279944444414,0.27441538888889094,4.466359855555555,equivalent,115,115,595.8830939130435,595.654380173913,-0.22871373913042944,-0.7967141130434727,0.42140570434782804,5.958830939130435,equivalent,0
emp_m,m=0.8,attn_pool,180,180,446.6359855555555,447.6883984444445,1.0524128888888917,0.3439700055555597,1.952417780555558,4.466359855555555,equivalent,115,115,595.8830939130435,597.433811826087,1.5507179130434832,0.44871307826087226,2.983882365217399,5.958830939130435,equivalent,0
emp_m,m=0.8,v1_pool,180,180,446.6359855555555,446.3757633333334,-0.2602222222222278,-0.5545668240740702,-0.004339259259263195,4.466359855555555,equivalent,115,115,595.8830939130435,595.4757895652174,-0.40730434782609365,-0.8546450000000084,-0.012204028985506233,5.958830939130435,equivalent,0
emp_m,m=0.6,pfifo,180,180,451.7136088888889,451.7136088888889,0.0,0.0,0.0,4.517136088888889,equivalent,115,115,603.2848695652175,603.2848695652175,0.0,0.0,0.0,6.032848695652175,equivalent,0
emp_m,m=0.6,wspt,180,180,451.7136088888889,463.7768022222222,12.063193333333338,6.457269861111109,18.99051905555556,4.517136088888889,worse,115,115,603.2848695652175,620.5010434782608,17.21617391304348,8.541227391304368,27.753964608695654,6.032848695652175,worse,0
emp_m,m=0.6,atc,180,180,451.7136088888889,456.44054111111114,4.726932222222232,1.8405593333333345,8.070829722222243,4.517136088888889,inconclusive,115,115,603.2848695652175,610.5106747826089,7.225805217391319,2.6220352173913186,12.263179217391327,6.032848695652175,inconclusive,0
emp_m,m=0.6,wmdd,180,180,451.7136088888889,455.0836822222222,3.3700733333333304,1.6959803611111073,5.341586583333323,4.517136088888889,inconclusive,115,115,603.2848695652175,608.3147547826086,5.029885217391299,2.444063739130426,8.073069913043495,6.032848695652175,inconclusive,0
emp_m,m=0.6,lpt,180,180,451.7136088888889,536.7492233333334,85.03561444444443,19.51414861111111,190.06017444444439,4.517136088888889,worse,115,115,603.2848695652175,733.243756521739,129.9588869565217,27.129086608695662,291.9263709999999,6.032848695652175,worse,0
emp_m,m=0.6,random,180,180,451.7136088888889,479.31515777777776,27.60154888888888,7.746442999999997,64.16067377777777,4.517136088888889,worse,115,115,603.2848695652175,645.1528469565217,41.867977391304336,10.812923739130442,95.18904060869563,6.032848695652175,worse,0
