check,arm,stratum,n_configs,n_anchors,n_anchors_baseline,n_methods,best_method,best_mean,baseline_best_method,baseline_best_mean,n_tied_with_best,spread_pct,margin_pct_of_best,tau_method,tau_method_p,tau_family,tau_family_p,family_order,baseline_family_order,family_order_identical,top3_families,top3_is_leading_trio,set_size,baseline_set_size,set_intersection,set_jaccard,entered_set,left_set,set_members,in_set_edd,in_set_pfifo,in_set_wspt,in_set_atc,in_set_wmdd,in_set_lpt,in_set_random,n_policy_seeds_in_set,n_policy_seeds_in_set_baseline,families_in_set_duedate,families_in_set_weighted,families_in_set_processing,families_in_set_random,families_in_set_policy
capacity,q0.95,campus2,17,17,17,17,wmdd,1218.2288470588235,wmdd,1218.2288470588235,1,114.66507229801657,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
capacity,q0.90,verdict,180,180,180,17,v2rl301,446.13819888888884,v2rl302,444.68101666666666,1,0.7777629860925669,1.0,0.6444444444444445,0.0003308902599674504,0.7999999999999999,0.08333333333333333,policy>duedate>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,15,17,15,0.8823529411764706,-,lpt random,atc edd pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,0,0,10,10,1,1,1,0,1
capacity,q0.90,campus1,30,30,30,17,atc,80.41734666666666,atc,80.41734666666666,15,1.4526219135805032,1.2435128009694758,1.0,3.839161029485208e-05,0.7777777777777778,0.06851328928038379,policy>duedate>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,15,15,15,1.0,-,-,atc edd lpt pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,0,10,10,1,1,1,0,1
capacity,q0.90,campus2,17,17,17,17,wmdd,1417.143705882353,wmdd,1218.2288470588235,1,192.76463680486043,1.0,0.9111111111111112,3.8692434520984967e-07,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
capacity,q0.75,verdict,180,180,180,17,v2rl310,456.3031544444445,v2rl302,444.68101666666666,1,7.270994125813117,1.0,0.362962962962963,0.04319083806274649,0.39999999999999997,0.48333333333333334,weighted>policy>duedate>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,6,17,6,0.35294117647058826,-,edd lpt pfifo random v2rl301 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 wspt,atc v2rl302 v2rl303 v2rl304 v2rl310 wmdd,0,0,0,1,1,0,0,4,10,0,1,0,0,1
capacity,q0.75,campus1,30,30,30,17,v2rl304,80.47734666666666,atc,80.41734666666666,2,2.677357984466359,1.2425856982362409,0.5308655025693249,0.01691899021824332,0.3333333333333333,0.4349833603383296,duedate>weighted>policy>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,14,15,14,0.9333333333333333,-,lpt,atc edd pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,0,0,10,10,1,1,0,0,1
capacity,q0.75,campus2,17,17,17,17,atc,2830.0547470588235,wmdd,1218.2288470588235,1,454.15005077006333,1.0,0.7306322805705786,4.473934346637811e-05,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,0,0.0,atc,wmdd,atc,0,0,0,1,0,0,0,0,0,0,1,0,0,0
backdate,baseline,verdict,180,180,180,17,v2rl302,444.68101666666666,v2rl302,444.68101666666666,1,0.441874295835759,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,17,17,17,1.0,-,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,1,1,10,10,1,1,1,1,1
backdate,baseline,campus1,30,30,30,17,atc,80.41734666666666,atc,80.41734666666666,15,1.0940259821222578,1.2435128009694758,1.0,3.839161029485208e-05,1.0,0.019176729141549043,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,15,15,15,1.0,-,-,atc edd lpt pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,0,10,10,1,1,1,0,1
backdate,baseline,campus2,17,17,17,17,wmdd,1218.2288470588235,wmdd,1218.2288470588235,1,114.66507229801657,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
