stratum,n_configs,n_orders,n_corrective,corrective_share_mean,clamped_total,clamped_mean,clamped_median,clamped_min,clamped_max,clamp_share_corrective_pooled,clamp_share_corrective_mean,clamp_share_corrective_min,clamp_share_corrective_max,clamp_share_orders_mean,delta_bh_mean,delta_bh_max
verdict,180,42000,22371,0.5404537388888888,15040,83.55555555555556,81.5,0,267,0.6722989584730231,0.7248393319645561,0.0851063829787234,1.0,0.3802083333333333,15.466695000000001,85.6939
campus1,30,4500,2542,0.5648888333333334,1449,48.3,48.0,5,85,0.5700236034618411,0.6500088953046137,0.21476510067114093,1.0,0.32199999999999995,9.215983333333332,82.9925
campus2,17,2550,1930,0.7568627058823529,879,51.705882352941174,50.0,29,86,0.455440414507772,0.5001925792290427,0.3161764705882353,0.9210526315789473,0.34470588235294114,12.142258823529415,39.9922
