arm,stratum,n_configs,mean_technicians,u_mean,u_median,u_p25,u_p75,u_min,u_max,share_u_over_one,share_u_over_twelve,u_base_mean,u_base_median,share_u_base_over_one,u_shift_mean,u_shift_median,u_shift_max
q0.95,verdict,180,,0.7770166518115998,0.5209418359115812,0.340928196317712,0.7864503665753801,0.1199637827373296,5.98989898989899,0.16666666666666666,0.13333333333333333,0.7770166518115998,0.5209418359115812,0.16666666666666666,0.0,0.0,0.0
q0.95,campus1,30,,0.6874925830306939,0.4986920486816716,0.35275980031287196,0.7170754060346786,0.158720847800931,3.0106382978723403,0.13333333333333333,0.1,0.6874925830306939,0.4986920486816716,0.13333333333333333,0.0,0.0,0.0
q0.95,campus2,17,,1.3556726804961645,1.2328792297914763,1.02532079556217,1.409785961597011,0.7851173500654647,2.9026724662896903,0.7647058823529411,0.5882352941176471,1.3556726804961645,1.2328792297914763,0.7647058823529411,0.0,0.0,0.0
q0.90,verdict,180,124.66666666666667,0.9495649833333333,0.610134,0.43559825,0.9385782500000001,0.134417,7.231707,0.22777777777777777,0.17777777777777778,0.7770166555555555,0.520942,0.16666666666666666,0.17254832777777776,0.0868235,2.45336
q0.90,campus1,30,80.0,0.8078038333333334,0.5859635,0.4144925,0.8425635,0.186497,3.5375,0.16666666666666666,0.1,0.6874926,0.498692,0.13333333333333333,0.12031123333333334,0.0872715,0.526862
q0.90,campus2,17,30.0,1.7171854117647056,1.561647,1.29874,1.785729,0.994482,3.676718,0.9411764705882353,0.8823529411764706,1.3556726470588234,1.232879,0.7647058823529411,0.3615127647058824,0.328768,0.774046
q0.75,verdict,180,94.66666666666667,1.311586161111111,0.819967,0.617396,1.2334365,0.167769,10.981481,0.3611111111111111,0.2833333333333333,0.7770166555555555,0.520942,0.16666666666666666,0.5345695055555555,0.306332,7.093411
q0.75,campus1,30,60.0,1.0770716999999999,0.781284,0.55265725,1.12341825,0.248663,4.716667,0.3333333333333333,0.16666666666666666,0.6874926,0.498692,0.13333333333333333,0.38957910000000007,0.282592,1.706029
q0.75,campus2,17,19.0,2.7113453529411764,2.465758,2.050642,2.819572,1.570235,5.805345,1.0,1.0,1.3556726470588234,1.232879,0.7647058823529411,1.3556727058823532,1.232879,2.902673
