check,arm,stratum,mean_duedate,mean_weighted,mean_processing,mean_random,mean_policy,family_order
pmodel,sum,verdict,444.8689277777778,445.44356999999997,446.11227333333335,446.3160666666667,444.7692744444445,policy>duedate>weighted>processing>random
pmodel,sum,campus1,80.41734666666666,80.41734666666666,80.85723999999999,81.12109333333333,80.41734666666665,policy>duedate>weighted>processing>random
pmodel,sum,campus2,1311.3221411764705,1235.1722823529412,1953.1753470588233,1636.0305647058824,1649.8628376470588,weighted>duedate>random>policy>processing
pmodel,max,verdict,66.35225777777778,66.87439888888889,86.82937555555556,82.21121111111111,66.30782822222221,policy>duedate>weighted>random>processing
pmodel,max,campus1,40.50430666666667,40.50430666666667,40.9442,40.785493333333335,40.504306666666665,policy>duedate>weighted>random>processing
pmodel,max,campus2,530.673105882353,461.61574705882356,1367.269064705882,1004.7012705882354,813.4864470588234,weighted>duedate>policy>random>processing
pmodel,single,verdict,20.088206145251398,17.359604748603353,49.056923463687156,42.751170949720674,21.79109469273743,weighted>duedate>policy>random>processing
pmodel,single,campus1,31.180439999999997,31.180439999999997,31.764519999999997,31.18929333333333,31.180439999999994,policy>duedate>weighted>random>processing
pmodel,single,campus2,0.0,0.0,18.171952941176468,6.4117647058823595,0.0,duedate>weighted>policy>random>processing
capacity,q0.95,verdict,444.8689277777778,445.44356999999997,446.11227333333335,446.3160666666667,444.7692744444445,policy>duedate>weighted>processing>random
capacity,q0.95,campus1,80.41734666666666,80.41734666666666,80.85723999999999,81.12109333333333,80.41734666666665,policy>duedate>weighted>processing>random
capacity,q0.95,campus2,1311.3221411764705,1235.1722823529412,1953.1753470588233,1636.0305647058824,1649.8628376470588,weighted>duedate>random>policy>processing
capacity,q0.90,verdict,446.52333,447.19150222222225,449.25860666666665,448.9651344444444,446.26979788888883,policy>duedate>weighted>random>processing
capacity,q0.90,campus1,80.41734666666666,80.41734666666666,81.00142666666666,80.88776,80.41734666666665,policy>duedate>weighted>random>processing
capacity,q0.90,campus2,1770.1799882352943,1448.7263764705883,2834.2215117647056,2333.2741882352943,2470.8760576470586,weighted>duedate>random>policy>processing
capacity,q0.75,verdict,462.1728811111111,457.84772666666663,475.76831111111113,473.20494444444444,461.3275721111112,weighted>policy>duedate>random>processing
capacity,q0.75,campus1,80.47793333333334,80.47793333333334,81.87286,81.39338666666666,80.52731200000001,duedate>weighted>policy>random>processing
capacity,q0.75,campus2,5625.282423529412,2892.5212617647057,9324.480488235293,7278.248682352941,8115.341002941177,weighted>duedate>random>policy>processing
backdate,baseline,verdict,444.8689277777778,445.44356999999997,446.11227333333335,446.3160666666667,444.7692744444445,policy>duedate>weighted>processing>random
backdate,baseline,campus1,80.41734666666666,80.41734666666666,80.85723999999999,81.12109333333333,80.41734666666665,policy>duedate>weighted>processing>random
backdate,baseline,campus2,1311.3221411764705,1235.1722823529412,1953.1753470588233,1636.0305647058824,1649.8628376470588,weighted>duedate>random>policy>processing
backdate,backdate,verdict,444.93246444444446,445.57788222222223,448.5775466666667,447.88117555555556,445.01691200000005,duedate>policy>weighted>random>processing
backdate,backdate,campus1,80.47148,80.64820666666668,80.74820666666668,80.60481333333334,80.45751600000001,policy>duedate>random>weighted>processing
backdate,backdate,campus2,1292.8646352941178,1287.9663470588234,2334.9321764705883,1857.4636000000003,1880.5146764705883,weighted>duedate>random>policy>processing
sla,baseline,verdict,444.8689277777778,445.44356999999997,446.11227333333335,446.3160666666667,444.7692744444445,policy>duedate>weighted>processing>random
sla,baseline,campus1,80.41734666666666,80.41734666666666,80.85723999999999,81.12109333333333,80.41734666666665,policy>duedate>weighted>processing>random
sla,baseline,campus2,1311.3221411764705,1235.1722823529412,1953.1753470588233,1636.0305647058824,1649.8628376470588,weighted>duedate>random>policy>processing
sla,emg,verdict,633.4016055555555,633.9622555555555,635.5627400000001,636.6742577777778,633.3758422222222,policy>duedate>weighted>processing>random
sla,emg,campus1,137.6433066666667,137.60991333333334,138.56117333333333,138.37349333333336,137.66445866666666,weighted>duedate>policy>random>processing
sla,emg,campus2,1875.6245176470588,1674.6993352941176,2600.213405882353,2299.784235294118,2296.616428235294,weighted>duedate>policy>random>processing
sla,rtn,verdict,472.03246111111105,472.9040461111111,473.8593327777778,473.71620111111116,471.3351851111112,policy>duedate>weighted>random>processing
sla,rtn,campus1,97.89974666666667,97.89974666666667,98.33964,98.60349333333333,97.98352533333335,duedate>weighted>policy>processing>random
sla,rtn,campus2,1627.484629411765,1469.6159823529413,2317.8937,1934.0592470588235,2258.0773223529413,weighted>duedate>random>policy>processing
sla,pmp3,verdict,459.83611333333334,460.4488627777778,461.1970422222222,461.32623666666666,459.75003044444446,policy>duedate>weighted>processing>random
sla,pmp3,campus1,90.55782666666667,90.55782666666667,91.02601333333334,91.26157333333335,90.58479733333334,duedate>weighted>policy>processing>random
sla,pmp3,campus2,1321.4728352941179,1249.7513647058825,1964.1477941176468,1643.507894117647,1667.195257647059,weighted>duedate>random>policy>processing
