check,arm,stratum,method,family,rank,n_rows,coverage,mean,best_method,mean_best,pct_from_best,abs_from_best,n_tied_with_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set
pmodel,sum,verdict,v2rl302,policy,1,180,1.0,444.68101666666666,v2rl302,444.68101666666666,0.0,0.0,1,180,180,0.0,0.0,0.0,4.446810166666666,1.0,equivalent,1
pmodel,sum,verdict,v2rl308,policy,2,180,1.0,444.70772111111114,v2rl302,444.68101666666666,0.006005303452045958,0.026704444444476394,1,180,180,0.026704444444443552,0.0,0.0645444444444441,4.446810166666667,0.10880943004054568,equivalent,1
pmodel,sum,verdict,v2rl310,policy,3,180,1.0,444.7120755555556,v2rl302,444.68101666666666,0.0069845322208160225,0.0310588888889356,1,180,180,0.031058888888890836,-0.003246666666665574,0.0825688888888917,4.446810166666667,0.27332167829229814,equivalent,1
pmodel,sum,verdict,v2rl303,policy,4,180,1.0,444.73146333333335,v2rl302,444.68101666666666,0.011344461484961939,0.05044666666668718,1,180,180,0.05044666666666823,0.0,0.12979450000000672,4.446810166666667,0.10880943004054568,equivalent,1
pmodel,sum,verdict,v2rl301,policy,5,180,1.0,444.75599888888894,v2rl302,444.68101666666666,0.01686202455511642,0.07498222222227469,1,180,180,0.07498222222222037,0.014309222222222638,0.15945366666666724,4.446810166666667,0.043114446783075355,equivalent,1
pmodel,sum,verdict,v2rl305,policy,6,180,1.0,444.76037666666673,v2rl302,444.68101666666666,0.017846500530863337,0.07936000000006516,1,180,180,0.07935999999999695,0.011111111111111112,0.18044444444444202,4.446810166666667,0.043114446783075355,equivalent,1
pmodel,sum,verdict,v2rl304,policy,7,180,1.0,444.7625444444445,v2rl302,444.68101666666666,0.018333991045748,0.08152777777780784,1,180,180,0.08152777777777974,-0.002406666666666663,0.19521222222222528,4.446810166666667,0.14412703481601533,equivalent,1
pmodel,sum,verdict,v2rl307,policy,8,180,1.0,444.7699366666667,v2rl302,444.68101666666666,0.01999635618956152,0.08892000000003009,1,180,180,0.08892000000000182,0.012000000000001402,0.18329366666666883,4.446810166666667,0.046399461870904594,equivalent,1
pmodel,sum,verdict,v2rl306,policy,9,180,1.0,444.8585588888889,v2rl302,444.68101666666666,0.03992574802340689,0.17754222222225735,1,180,180,0.17754222222222324,0.007160000000000208,0.48380000000000284,4.446810166666667,0.06788915486182899,equivalent,1
pmodel,sum,verdict,edd,duedate,10,180,1.0,444.8689277777778,v2rl302,444.68101666666666,0.042257506857323886,0.18791111111113423,1,180,180,0.1879111111111126,0.023322222222222265,0.4062266666666695,4.446810166666667,0.03546586462402558,equivalent,1
pmodel,sum,verdict,pfifo,duedate,10,180,1.0,444.8689277777778,v2rl302,444.68101666666666,0.042257506857323886,0.18791111111113423,1,180,180,0.1879111111111126,0.026617777777777955,0.4040193333333374,4.446810166666667,0.03546586462402558,equivalent,1
pmodel,sum,verdict,v2rl309,policy,12,180,1.0,444.95305222222225,v2rl302,444.68101666666666,0.061175437079543225,0.2720355555555898,1,180,180,0.27203555555555725,0.02955555555555551,0.6347733333333385,4.446810166666667,0.043114446783075355,equivalent,1
pmodel,sum,verdict,wmdd,weighted,13,180,1.0,445.33198999999996,v2rl302,444.68101666666666,0.14639107785913597,0.6509733333332974,1,180,180,0.6509733333333377,0.16524922222222213,1.2735096111111235,4.446810166666667,0.020879263166351643,equivalent,1
pmodel,sum,verdict,atc,weighted,14,180,1.0,445.55514999999997,v2rl302,444.68101666666666,0.1965753653901884,0.8741333333333046,1,180,180,0.8741333333333341,0.2628995,1.6410129444444428,4.446810166666667,0.012792160247732852,equivalent,1
pmodel,sum,verdict,lpt,processing,15,180,1.0,445.5785988888889,v2rl302,444.68101666666666,0.2018485585354027,0.8975822222222405,1,180,180,0.8975822222222226,0.07433955555555252,2.4381644444444497,4.446810166666667,0.007685794055213263,equivalent,1
pmodel,sum,verdict,random,random,16,180,1.0,446.3160666666667,v2rl302,444.68101666666666,0.36769053292546333,1.6350500000000352,1,180,180,1.6350499999999972,0.5723388888888871,3.181273361111108,4.446810166666667,0.0001318338889828333,equivalent,1
