arm,stratum,n_configs,u_mean,u_median,u_min,u_max,share_u_over_one,mean_technicians
sum,verdict,180,0.7770166555555555,0.520942,0.119964,5.989899,0.16666666666666666,149.16666666666666
sum,campus1,30,0.6874926,0.498692,0.158721,3.010638,0.13333333333333333,94.0
sum,campus2,17,1.3556726470588234,1.232879,0.785117,2.902672,0.7647058823529411,38.0
max,verdict,180,0.7925306333333333,0.5534570000000001,0.165381,6.794609,0.17222222222222222,96.83333333333333
max,campus1,30,0.7536206000000001,0.5623865,0.177542,3.5375,0.16666666666666666,80.0
max,campus2,17,1.3151798823529413,1.145691,0.776925,2.839201,0.7647058823529411,24.0
single,verdict,179,0.7507044134078212,0.506563,0.130869,7.304878,0.1452513966480447,71.24022346368714
single,campus1,30,0.7821397333333332,0.5551375000000001,0.173935,3.773333,0.16666666666666666,75.0
single,campus2,17,0.6599545294117647,0.45109,0.318586,2.236143,0.23529411764705882,14.0
