id,base_instance_id,campus,size,p_model,n_wos,window_bh,n_technicians,u_realized,wo_set_equals_sum,r4_labor_cap_hours,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0000_pmax,c01_final_150_0000,1,150,max,150,13.8719,80,0.57087,1,43.881,v2rl306,306,1,159.048,55.3352,4.884812,0.013333333333333334,0.02579466695897281
c01_final_150_0000_pmax,c01_final_150_0000,1,150,max,150,13.8719,80,0.57087,1,43.881,v2rl307,307,1,159.048,55.3352,4.659399333333334,0.013333333333333334,0.02602184994611889
c01_final_150_0000_pmax,c01_final_150_0000,1,150,max,150,13.8719,80,0.57087,1,43.881,v2rl308,308,1,159.048,55.3352,4.72666,0.013333333333333334,0.026495952042751014
c01_final_150_0000_pmax,c01_final_150_0000,1,150,max,150,13.8719,80,0.57087,1,43.881,v2rl309,309,1,159.048,55.3352,4.679993333333334,0.013333333333333334,0.02631384797859937
c01_final_150_0000_pmax,c01_final_150_0000,1,150,max,150,13.8719,80,0.57087,1,43.881,v2rl310,310,1,159.048,55.3352,4.707867333333334,0.013333333333333334,0.02577446901705116
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,edd,301,1,128.0,51.4542,4.673259333333334,0.013333333333333334,0.0008519060211256146
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,pfifo,301,1,128.0,51.4542,4.673259333333334,0.013333333333333334,0.00041153200436383486
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,wspt,301,1,128.0,51.4542,4.363228,0.013333333333333334,0.00040355499368160963
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,atc,301,1,128.0,51.4542,4.592433333333333,0.013333333333333334,0.0005687930388376117
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,wmdd,301,1,128.0,51.4542,4.673259333333334,0.013333333333333334,0.00046313100028783083
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,lpt,301,1,128.0,51.4542,4.840202,0.013333333333333334,0.0004008180694654584
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,random,301,1,128.0,51.4542,4.571824666666666,0.013333333333333334,0.00042949896305799484
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl301,301,1,128.0,51.4542,4.812327999999999,0.013333333333333334,0.028050869004800916
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl302,302,1,128.0,51.4542,4.760111333333333,0.013333333333333334,0.026636629016138613
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl303,303,1,128.0,51.4542,4.757985333333333,0.013333333333333334,0.02660554100293666
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl304,304,1,128.0,51.4542,4.549239333333333,0.013333333333333334,0.026893433998338878
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl305,305,1,128.0,51.4542,4.736592666666667,0.013333333333333334,0.026319297030568123
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl306,306,1,128.0,51.4542,4.7813186666666665,0.013333333333333334,0.026052324916236103
c01_final_150_0000_pone,c01_final_150_0000,1,150,single,150,13.8719,75,0.594007,1,40.0,v2rl307,307,1,128.0,51.4542,4.555906,0.013333333333333334,0.02599482797086239
