update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-2.192144,423.435400,529.604938,0.510204,0.955066,2.807
1,-2.287174,423.435400,529.604938,0.490273,1.759141,1.005
2,-7.170503,423.435400,529.604938,0.715376,17.980124,0.994
3,-2.006923,423.435400,529.604938,0.650300,2.089023,0.710
4,-4.181416,423.435400,529.604938,0.652968,1.372968,0.843
5,-4.868534,423.435400,529.604938,0.753630,3.029581,0.972
6,-3.699603,423.435400,529.604938,0.765665,1.644824,0.737
7,-1.969472,423.435400,529.604938,0.429500,1.438760,0.849
8,-3.805531,423.435400,529.604938,0.943149,1.523277,0.840
9,-1.535378,423.435400,529.604938,0.835849,1.428780,0.803
10,-4.411174,423.435400,529.604938,0.612398,1.319926,0.958
11,-4.024123,423.435400,529.604938,0.695101,1.484801,0.861
12,-2.980338,423.435400,529.604938,0.886892,1.909158,0.952
13,-3.327610,423.435400,529.604938,1.016803,1.907380,0.901
14,-2.972924,423.435400,529.604938,0.393880,1.674197,0.829
15,-1.167613,423.435400,529.604938,1.125592,0.356898,0.872
16,-2.528686,423.435400,529.604938,0.589323,1.259053,0.820
17,-3.802713,423.435400,529.604938,0.666998,1.402716,0.938
18,-1.825832,423.435400,529.604938,0.775413,0.529521,0.811
19,-2.514781,423.435400,529.604938,0.850268,1.194174,0.908
20,-3.066853,418.731825,489.060713,0.789743,1.193011,2.860
21,-3.469962,418.731825,489.060713,0.536890,1.784573,0.737
22,-4.112278,418.731825,489.060713,0.573821,1.558198,0.771
23,-5.594228,418.731825,489.060713,0.290781,2.681023,0.770
24,-3.524855,418.731825,489.060713,0.599407,1.295109,0.889
25,-1.844293,418.731825,489.060713,0.571239,0.941363,0.932
26,-3.484478,418.731825,489.060713,0.748440,1.501180,0.840
27,-3.561200,418.731825,489.060713,0.926887,2.616980,0.830
28,-2.784345,418.731825,489.060713,0.856438,1.617240,0.871
29,-2.084086,418.731825,489.060713,0.977632,1.474182,0.850
30,-4.818761,418.731825,489.060713,0.636760,1.873671,0.760
31,-6.281859,418.731825,489.060713,0.877514,11.635067,0.836
32,-3.468913,418.731825,489.060713,0.489210,1.809543,0.849
33,-4.944299,418.731825,489.060713,0.716116,2.859922,0.936
34,-3.469687,418.731825,489.060713,0.897568,1.879965,0.836
35,-2.128786,418.731825,489.060713,1.037961,0.750292,0.993
36,-2.543887,418.731825,489.060713,0.475401,2.130788,0.774
37,-4.507025,418.731825,489.060713,0.671907,1.429144,0.924
38,-1.382191,418.731825,489.060713,0.484857,1.292741,0.786
39,-4.320991,418.731825,489.060713,0.688861,2.089084,0.827
40,-3.256620,410.680213,444.635950,0.664388,1.060170,2.719
41,-3.915165,410.680213,444.635950,0.657050,1.837657,1.028
42,-4.229272,410.680213,444.635950,0.536167,1.769514,0.825
43,-3.921091,410.680213,444.635950,0.816721,2.011765,1.007
44,-3.903663,410.680213,444.635950,0.830043,1.533058,0.809
45,-1.405157,410.680213,444.635950,0.862523,1.123655,1.137
46,-2.893762,410.680213,444.635950,0.649854,0.599347,0.930
47,-2.478888,410.680213,444.635950,1.165808,1.386709,0.891
48,-2.911370,410.680213,444.635950,0.649822,1.484977,0.868
49,-3.999895,410.680213,444.635950,0.793781,3.041564,0.730
50,-7.759310,410.680213,444.635950,0.603118,10.704278,0.743
51,-2.688185,410.680213,444.635950,0.531053,2.024115,0.862
52,-3.552318,410.680213,444.635950,0.570776,2.073578,0.825
53,-4.001929,410.680213,444.635950,0.795394,0.664398,0.857
54,-1.527213,410.680213,444.635950,0.809414,0.927189,0.853
55,-2.191811,410.680213,444.635950,0.625712,0.692654,0.748
56,-4.373873,410.680213,444.635950,0.726940,1.843821,0.862
57,-2.236234,410.680213,444.635950,1.149382,0.543924,0.916
58,-1.227686,410.680213,444.635950,0.745906,0.472386,1.064
59,-1.806726,410.680213,444.635950,0.718103,0.624147,0.756
60,-2.305868,410.930213,444.276850,0.478952,0.306955,2.642
61,-1.198563,410.930213,444.276850,0.589752,0.450402,0.937
62,-3.500786,410.930213,444.276850,0.668482,1.019225,0.843
63,-2.534113,410.930213,444.276850,0.819455,0.733807,0.916
64,-1.574429,410.930213,444.276850,0.929459,0.365640,0.825
65,-1.380477,410.930213,444.276850,0.664097,0.682233,1.003
66,-2.934490,410.930213,444.276850,0.402486,1.853502,0.781
67,-6.281182,410.930213,444.276850,0.717624,4.201886,0.999
68,-3.077948,410.930213,444.276850,0.625348,5.625809,0.731
69,-3.822585,410.930213,444.276850,0.768720,1.181455,0.870
70,-1.173723,410.930213,444.276850,0.730860,0.383376,0.786
71,-0.564031,410.930213,444.276850,0.683217,0.496400,0.837
72,-2.302061,410.930213,444.276850,0.866507,0.839736,0.816
73,-2.864730,410.930213,444.276850,0.667554,1.183155,0.786
74,-2.197986,410.930213,444.276850,0.678352,0.962959,0.845
75,-2.137883,410.930213,444.276850,1.135944,0.688048,1.137
76,-1.444585,410.930213,444.276850,0.744207,0.549281,0.847
77,-2.240884,410.930213,444.276850,0.590018,0.971555,0.787
78,-3.234222,410.930213,444.276850,0.778025,2.874301,1.057
79,-5.675056,410.930213,444.276850,0.647706,2.214699,0.850
80,-3.266548,410.930213,443.336800,0.662782,1.353782,2.844
81,-3.687681,410.930213,443.336800,1.063495,1.308431,0.922
82,-3.440040,410.930213,443.336800,0.838336,0.938907,0.927
83,-2.884780,410.930213,443.336800,0.702664,21.794954,1.044
84,-8.101386,410.930213,443.336800,0.815354,1.065620,0.750
85,-1.211158,410.930213,443.336800,0.472328,0.668282,0.956
86,-2.934589,410.930213,443.336800,0.638921,1.093076,0.779
87,-3.717866,410.930213,443.336800,0.980104,1.711202,0.859
