update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
0,-1.835030,422.018200,1.012418,1.073405,3.071
1,-2.651461,422.018200,0.573390,0.778429,1.550
2,-3.713718,422.018200,0.530856,0.744972,1.478
3,-2.296400,422.018200,0.612083,1.612241,1.131
4,-2.499387,422.018200,0.865286,0.758379,1.597
5,-3.063583,422.018200,0.965064,0.833056,1.189
6,-1.866003,422.018200,1.025834,0.408099,1.672
7,-1.548614,422.018200,0.559203,0.509690,1.137
8,-3.588455,422.018200,0.582366,1.745353,1.529
9,-3.307626,422.018200,0.770112,1.055037,1.240
10,-3.019001,422.018200,0.423853,1.503509,1.500
11,-5.247363,422.018200,0.611911,2.170707,1.143
12,-1.771672,422.018200,0.481006,0.998745,1.533
13,-2.333136,422.018200,0.659890,0.969092,1.137
14,-2.033752,422.018200,0.756596,1.824011,1.585
15,-3.075829,422.018200,0.597434,1.138104,1.038
16,-2.812018,422.018200,0.657322,0.975122,1.330
17,-2.898064,422.018200,0.653444,1.120292,1.144
18,-2.962239,422.018200,0.735705,1.342582,1.498
19,-2.115377,422.018200,0.667975,0.659393,1.017
20,-2.404537,410.805213,0.484339,1.137447,2.405
21,-3.260503,410.805213,0.573681,1.922779,1.013
22,-3.334334,410.805213,0.666092,1.807481,1.379
23,-1.756867,410.805213,0.766200,1.043055,1.034
24,-2.637905,410.805213,0.598055,0.703385,1.317
25,-3.574215,410.805213,0.716545,2.192543,1.043
26,-3.839978,410.805213,0.669455,1.469150,1.321
27,-2.666218,410.805213,0.890211,1.654759,1.040
28,-4.348488,410.805213,0.771492,1.202565,1.373
29,-1.960955,410.805213,0.526339,2.891595,1.025
30,-5.749452,410.805213,0.365888,1.549528,1.313
31,-2.204572,410.805213,0.465230,1.244459,0.990
32,-2.007063,410.805213,0.415486,1.366747,1.388
33,-2.535097,410.805213,0.585410,1.139091,1.041
34,-2.231056,410.805213,0.509450,0.539706,1.312
35,-1.630561,410.805213,0.606153,0.749917,1.051
36,-1.334070,410.805213,0.779469,0.547318,1.560
37,-1.482534,410.805213,0.669190,0.659689,1.180
