check,arm,arm_label,stratum,stratum_label,family,reference,set_rankable,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,mean_own,best_family,mean_best,pct_from_best,n_configs_vs_best,n_clusters_vs_best,diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,margin_vs_best,wilcoxon_p_vs_best,verdict_vs_best,in_best_set,seed_n,seed_min_mean,seed_median_mean,seed_max_mean,seed_sd,seed_spread_pct,seed_best,seed_worst
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",pfifo,edd,1,180,180,444.8689277777778,444.8689277777778,0.0,0.0,0.0,4.4486892777777785,1.0,1.0,equivalent,444.8689277777778,mlp_pool,444.7692744444445,0.02240562445726439,180.0,180.0,0.09965333333333001,-0.023139088888895806,0.2534000611111073,4.447692744444446,0.6009589593685324,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",wspt,edd,1,180,180,444.8689277777778,446.6459477777778,1.7770200000000016,0.8131209999999991,2.9815152222222254,4.4486892777777785,3.072115880664133e-05,0.00021504811164648933,equivalent,446.6459477777778,mlp_pool,444.7692744444445,0.42194311549003544,180.0,180.0,1.8766733333333316,0.8539315944444424,3.1584928833333343,4.447692744444446,2.272981654121265e-05,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",atc,edd,1,180,180,444.8689277777778,445.5551500000001,0.6862222222222215,0.1757066666666663,1.3236639999999964,4.4486892777777785,0.017290280592906253,0.08645140296453127,equivalent,445.55514999999997,mlp_pool,444.7692744444445,0.17669286093044964,180.0,180.0,0.7858755555555516,0.20838814444444487,1.5133952944444442,4.447692744444446,0.3388634843676721,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",wmdd,edd,1,180,180,444.8689277777778,445.3319900000001,0.4630622222222251,0.10517333333333327,0.9357250000000121,4.4486892777777785,0.043114446783075355,0.17245778713230142,equivalent,445.33198999999996,mlp_pool,444.7692744444445,0.12651853171700445,180.0,180.0,0.5627155555555551,0.13322592777777317,1.1262728555555641,4.447692744444446,0.5253644261147148,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",lpt,edd,1,180,180,444.8689277777778,445.5785988888889,0.70967111111111,-0.07355211111111101,2.1184785000000024,4.4486892777777785,0.1823383541807685,0.5470150625423055,equivalent,445.5785988888889,mlp_pool,444.7692744444445,0.1819650076897386,180.0,180.0,0.8093244444444401,0.036132194444441254,2.2441630388888876,4.447692744444446,0.10395918339133761,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",random,edd,1,180,180,444.8689277777778,446.3160666666667,1.4471388888888845,0.4604827499999963,2.7905759999999953,4.4486892777777785,0.00025021619831076065,0.001501297189864564,equivalent,446.3160666666667,mlp_pool,444.7692744444445,0.34777407323253184,180.0,180.0,1.5467922222222146,0.542883988888879,2.9585688944444373,4.447692744444446,8.492017308270738e-05,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",mlp_pool,edd,1,180,180,444.8689277777778,444.76927444444453,-0.09965333333333001,-0.2562064222222175,0.021233183333337718,4.4486892777777785,0.6009589593685324,1.0,equivalent,444.7692744444445,mlp_pool,444.7692744444445,0.0,180.0,180.0,0.0,0.0,0.0,4.447692744444445,1.0,equivalent,1.0,10.0,444.68101666666666,444.75818777777783,444.95305222222225,0.08050311731987342,0.06117543707955253,v2rl302,v2rl309
capacity,q0.95,p95 of weekly trade hours (Eval-B default),verdict,"verdict campuses (5, 9, 10, 12)",edd,edd,1,180,180,444.8689277777778,444.8689277777778,0.0,0.0,0.0,4.4486892777777785,1.0,1.0,reference,444.8689277777778,mlp_pool,444.7692744444445,0.02240562445726439,180.0,180.0,0.09965333333333001,-0.024043444444447903,0.2577565333333369,4.447692744444446,0.6009589593685324,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),pfifo,edd,1,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent,80.41734666666666,atc,80.41734666666666,0.0,30.0,30.0,0.0,0.0,0.0,1.0,1.0,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),wspt,edd,1,30,30,80.41734666666666,81.29713333333332,0.8797866666666664,0.0,2.292906666666666,1.0,0.17971249487899976,1.0,inconclusive,81.29713333333332,atc,80.41734666666666,1.0940259821222578,30.0,30.0,0.8797866666666664,0.0,2.292906666666666,1.0,0.17971249487899976,inconclusive,0.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),atc,edd,1,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent,80.41734666666666,atc,80.41734666666666,0.0,30.0,30.0,0.0,0.0,0.0,1.0,1.0,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),wmdd,edd,1,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent,80.41734666666666,atc,80.41734666666666,0.0,30.0,30.0,0.0,0.0,0.0,1.0,1.0,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),lpt,edd,1,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent,80.41734666666666,atc,80.41734666666666,0.0,30.0,30.0,0.0,0.0,0.0,1.0,1.0,equivalent,1.0,,,,,,,,
capacity,q0.95,p95 of weekly trade hours (Eval-B default),campus1,campus 1 (transfer),random,edd,1,30,30,80.41734666666666,81.12109333333335,0.7037466666666667,0.0,1.7748666666666664,1.0,0.17971249487899976,1.0,inconclusive,81.12109333333333,atc,80.41734666666666,0.8751179886396084,30.0,30.0,0.7037466666666667,0.0,1.7748666666666664,1.0,0.17971249487899976,inconclusive,0.0,,,,,,,,
