analysis,scope_type,scope,family,reference,n_configs,n_clusters_base,n_clusters_component,mean_ref,mean_diff,ci_lo_base,ci_hi_base,verdict_base,ci_lo_component,ci_hi_component,verdict_component,ci_width_base,ci_width_component,width_ratio,verdict_changed
cluster,emp_m,m=1.0,pfifo,edd,180,180,139,444.8689277777778,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,emp_m,m=1.0,wspt,edd,180,180,139,444.8689277777778,1.7770200000000016,0.8064506111111106,2.9670826111111106,equivalent,0.8092550420614814,2.9642023681445004,equivalent,2.160632,2.154947326083019,0.9973689763379507,0
cluster,emp_m,m=1.0,atc,edd,180,180,139,444.8689277777778,0.6862222222222215,0.17484000000000038,1.3405241666666643,equivalent,0.17011058389639674,1.3383159092083134,equivalent,1.165684166666664,1.1682053253119167,1.0021628145233044,0
cluster,emp_m,m=1.0,wmdd,edd,180,180,139,444.8689277777778,0.4630622222222251,0.10517333333333327,0.9378005555555572,equivalent,0.10517333333333327,0.9397334846806973,equivalent,0.832627222222224,0.834560151347364,1.0023214820192659,0
cluster,emp_m,m=1.0,lpt,edd,180,180,139,444.8689277777778,0.70967111111111,-0.07620227777778207,2.107501388888894,equivalent,-0.07295904316770387,2.1088736281859117,equivalent,2.183703666666676,2.181832671353616,0.9991432009106271,0
cluster,emp_m,m=1.0,random,edd,180,180,139,444.8689277777778,1.4471388888888845,0.4718036388888853,2.8144874166666654,equivalent,0.48871005935753764,2.7694014181781914,equivalent,2.34268377777778,2.2806913588206537,0.9735378630504151,0
cluster,emp_m,m=1.0,mlp_pool,edd,180,180,139,444.8689277777778,-0.09965333333333001,-0.26032747777777454,0.024417238888889668,equivalent,-0.25905213510775676,0.024331449975983445,equivalent,0.28474471666666423,0.28338358508374023,0.9952198179518204,0
cluster,emp_m,m=1.0,attn_pool,edd,180,180,139,444.8689277777778,0.39898444444444825,0.06656556111111486,0.8345761055555554,equivalent,0.06478420746544147,0.8338994955533693,equivalent,0.7680105444444405,0.7691152880879278,1.0014384485362586,0
cluster,emp_m,m=1.0,v1_pool,edd,180,180,139,444.8689277777778,-0.05907407407407703,-0.20152188888889727,0.07346279629629461,equivalent,-0.2009036735301984,0.07298340306227517,equivalent,0.27498468518519187,0.2738870765924736,0.9960084737374407,0
cluster,emp_m,m=1.0,rollcp2,edd,48,48,38,505.82771249999996,-0.019595833333321266,-0.1450474999999873,0.05329395833337911,equivalent,-0.14793938858695993,0.053192465135387085,equivalent,0.19834145833336642,0.20113185372234701,1.0140686441071265,0
cluster,emp_m,m=0.8,pfifo,edd,180,180,139,446.6359855555555,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,emp_m,m=0.8,wspt,edd,180,180,139,446.6359855555555,3.726484444444435,2.182704305555553,5.5673639999999915,inconclusive,2.176847259416196,5.496465486296771,inconclusive,3.3846596944444385,3.3196182268805745,0.980783454339406,0
cluster,emp_m,m=0.8,atc,edd,180,180,139,446.6359855555555,1.530377777777769,0.5274171666666684,2.756036583333318,equivalent,0.5474475408966035,2.7448200960061198,equivalent,2.2286194166666498,2.1973725551095162,0.9859792742881737,0
cluster,emp_m,m=0.8,wmdd,edd,180,180,139,446.6359855555555,0.9106833333333355,0.32232688888888894,1.6625650277777875,equivalent,0.31382252041505687,1.6297979670329654,equivalent,1.3402381388888984,1.3159754466179086,0.9818967304638081,0
cluster,emp_m,m=0.8,lpt,edd,180,180,139,446.6359855555555,8.69492,1.1445353055555556,20.200114749999987,inconclusive,1.182750337078653,20.45192938374382,inconclusive,19.05557944444443,19.26917904666517,1.0112092945188824,0
cluster,emp_m,m=0.8,random,edd,180,180,139,446.6359855555555,3.949951111111111,1.5798970555555576,7.260414305555555,inconclusive,1.5649113716958705,7.3722874513108625,inconclusive,5.680517249999998,5.807376079614992,1.0223322672974884,0
cluster,emp_m,m=0.8,mlp_pool,edd,180,180,139,446.6359855555555,-0.1461226666666645,-0.5080279944444414,0.27441538888889094,equivalent,-0.5157909935969833,0.27894039121870495,equivalent,0.7824433833333323,0.7947313848156883,1.0157046525590223,0
cluster,emp_m,m=0.8,attn_pool,edd,180,180,139,446.6359855555555,1.0524128888888917,0.3439700055555597,1.9524177805555578,equivalent,0.33795522286448215,1.948022123025211,equivalent,1.6084477749999981,1.6100669001607288,1.0010066383167031,0
cluster,emp_m,m=0.8,v1_pool,edd,180,180,139,446.6359855555555,-0.2602222222222278,-0.5545668240740702,-0.004339259259263196,equivalent,-0.550789335260122,0.002291398752212343,equivalent,0.5502275648148071,0.5530807340123343,1.0051854348636413,0
cluster,emp_m,m=0.8,rollcp2,edd,48,48,38,506.54738333333336,-0.5109166666666655,-1.33013729166667,0.06076729166666382,equivalent,-1.3242614330079892,0.06174866923076658,equivalent,1.3909045833333338,1.3860101022387556,0.9964810806196005,0
cluster,emp_m,m=0.6,pfifo,edd,180,180,139,451.7136088888889,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,,0
cluster,emp_m,m=0.6,wspt,edd,180,180,139,451.7136088888889,12.063193333333338,6.457269861111109,18.99051905555556,worse,6.399645970329478,18.75947443462246,worse,12.533249194444451,12.359828464292985,0.9861631467258836,0
