id,cluster,source,arm,campus,track,regime,size,crew_multiplier,crew_q,n_technicians,window_bh,n_trades,n_trades_active,n_trades_no_crew,n_fallback_trades,total_p_bh,u_realized,u_recomputed,u_bin,overload_share,ov_band,overload_share_even,overload_excess,max_u_trade,cv_u_weighted,share_trades_over,wwt_edd,wwt_wmdd,wwt_atc,wwt_min_common,argmin_method,d_wmdd,d_atc,rel_d_wmdd,rel_d_atc
c01_final_150_0014_q75,c01_final_150_0014,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,13.1739,11,7,0,0,430.75,0.544954,0.5449537848827354,0.5-0.8,0.4689495066744051,0.25-0.5,0.4689495066744051,0.0,1.3939407740787741,0.46270595352045274,0.14285714285714285,152.0,152.0,152.0,152.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0015_q75,c01_final_150_0015,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,12.6453,11,8,0,0,464.6148,0.612368,0.6123682316750096,0.5-0.8,0.6513240645799488,0.5-0.75,0.6168869351557462,0.03443712942420263,1.4371315824851922,0.4112158509807296,0.5,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0016_q75,c01_final_150_0016,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,25.0833,11,7,0,0,633.2296,0.420751,0.42075112392175934,<0.5,0.286988479376201,0.25-0.5,0.286988479376201,0.0,1.4490087030015986,0.6211004044297146,0.14285714285714285,4.0,4.0,4.0,4.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0017_q75,c01_final_150_0017,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,16.4069,11,9,0,0,621.3648000000001,0.631203,0.6312027256824874,0.5-0.8,0.5308713979292036,0.5-0.75,0.5043169487553849,0.02655444917381866,1.2733049306490969,0.4089441114393689,0.2222222222222222,220.0,220.0,220.0,220.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0018_q75,c01_final_150_0018,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.0,11,9,0,0,559.25,1.165104,1.1651041666666666,1.0-1.2,0.6508717031738936,0.5-0.75,0.5623603039785426,0.088511399195351,3.25,0.49586886756282944,0.4444444444444444,175.2388,175.2388,175.2388,175.2388,edd,0.0,0.0,0.0,0.0
c01_final_150_0019_q75,c01_final_150_0019,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,1.0,11,6,0,0,274.5,4.575,4.575,>=1.2,1.0,>=0.75,1.0,0.0,14.75,0.5375899578167358,1.0,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0020_q75,c01_final_150_0020,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.0,11,10,0,0,495.1148,1.031489,1.0314891666666666,1.0-1.2,0.8944689191274428,>=0.75,0.8773011834831033,0.017167735644339488,2.4375,0.4289528477607998,0.5,267.4592,267.4592,267.4592,267.4592,edd,0.0,0.0,0.0,0.0
c01_final_150_0021_q75,c01_final_150_0021,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,19.2869,11,9,0,0,382.5,0.330535,0.3305352337597022,<0.5,0.0,<0.25,0.0,0.0,0.8036542938471191,0.42486447335450267,0.0,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0022_q75,c01_final_150_0022,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,16.0233,11,9,0,0,449.6148,0.467668,0.467667708898916,<0.5,0.27660299438541613,0.25-0.5,0.27660299438541613,0.0,1.9403743298821094,0.7518413947950149,0.1111111111111111,21.729599999999976,21.729599999999976,21.729599999999976,21.729599999999976,edd,0.0,0.0,0.0,0.0
c01_final_150_0023_q75,c01_final_150_0023,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,30.1781,11,8,0,0,450.25,0.248663,0.24866266155479191,<0.5,0.0,<0.25,0.0,0.0,0.6875847054652214,0.5070555117401264,0.0,125.99999999999996,125.99999999999996,125.99999999999996,125.99999999999996,edd,0.0,0.0,0.0,0.0
c01_final_150_0024_q75,c01_final_150_0024,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.0,11,11,0,0,418.75,0.872396,0.8723958333333334,0.8-1.0,0.5970149253731343,0.5-0.75,0.5970149253731343,0.0,4.875,0.8760964319882589,0.36363636363636365,114.0176,114.0176,114.0176,114.0,wspt,0.0,0.0,0.0,0.0
c01_final_150_0025_q75,c01_final_150_0025,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,12.7486,11,8,0,0,695.3648000000001,0.909073,0.9090734145971585,0.8-1.0,0.49182817421876973,0.25-0.5,0.6478613815367128,-0.15603320731794307,2.457786214434003,0.5092094801749435,0.25,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0026_q75,c01_final_150_0026,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,13.5761,11,7,0,0,469.0,0.575767,0.5757667273124584,0.5-0.8,0.03304904051172708,<0.25,0.43176972281449894,-0.39872068230277186,1.1417122737752374,0.2388174237945138,0.14285714285714285,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0027_q75,c01_final_150_0027,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.0,11,9,0,0,361.0,0.752083,0.7520833333333333,0.5-0.8,0.4626038781163435,0.25-0.5,0.6648199445983379,-0.20221606648199442,3.5,0.6766250655196987,0.2222222222222222,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0028_q75,c01_final_150_0028,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.0,11,10,0,0,545.2296,1.135895,1.135895,1.0-1.2,0.7945819522637803,>=0.75,0.7945819522637803,0.0,4.8125,0.7197824319390982,0.4,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0029_q75,c01_final_150_0029,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,11.2108,11,11,0,0,570.8648000000001,0.848683,0.8486828177590657,0.8-1.0,0.5305368276341438,0.5-0.75,0.6759302728071515,-0.14539344517300767,1.7280622257109215,0.3407878408597612,0.36363636363636365,154.0,154.0,154.0,154.0,edd,0.0,0.0,0.0,0.0
