scope_type,scope,pool,n_seeds,pooled_mean,min_mean,median_mean,max_mean,spread_abs,spread_ratio,spread_pct,best_seed,worst_seed,scope_best_method,n_seeds_in_set,seeds_outside_set,per_seed_means
gen_utarget,u_target=0.9,v2_mlp,10,3006.350402,2990.81525,2993.8152966666667,3065.29547,74.48021999999992,1.0249029825563447,2.490298255634471,v2rl301,v2rl303,v2at302,8,v2rl303 v2rl309,v2rl301=2990.815 v2rl310=2990.941 v2rl305=2991.994 v2rl302=2993.477 v2rl306=2993.642 v2rl307=2993.989 v2rl308=2995.290 v2rl304=2997.740 v2rl309=3050.321 v2rl303=3065.295
gen_utarget,u_target=0.9,v2_attn,10,3218.867823333333,2990.305363333334,3043.2128000000002,4626.060289999999,1635.7549266666656,1.5470193602044935,54.70193602044935,v2at302,v2at301,v2at302,3,v2at301 v2at303 v2at304 v2at305 v2at306 v2at308 v2at309,v2at302=2990.305 v2at310=3005.028 v2at307=3008.888 v2at308=3022.190 v2at303=3026.288 v2at309=3060.138 v2at304=3113.481 v2at306=3126.648 v2at305=3209.652 v2at301=4626.060
gen_utarget,u_target=0.9,v1_mlp,3,3072.3479444444442,2991.6407800000006,3071.2015733333333,3154.20148,162.56069999999954,1.054338308625409,5.4338308625409,rl301,rl302,v2at302,1,rl302 rl303,rl301=2991.641 rl303=3071.202 rl302=3154.201
gen_utarget,u_target=1.0,v2_mlp,10,3143.022665666667,3108.184146666667,3115.51043,3276.3831999999998,168.1990533333328,1.0541148932613005,5.411489326130048,v2rl310,v2rl303,rl301,8,v2rl303 v2rl309,v2rl310=3108.184 v2rl305=3108.860 v2rl308=3113.170 v2rl307=3113.954 v2rl302=3115.302 v2rl306=3115.719 v2rl304=3117.911 v2rl301=3118.047 v2rl309=3242.697 v2rl303=3276.383
gen_utarget,u_target=1.0,v2_attn,10,3529.8978383333333,3107.8011100000003,3225.7570616666667,6040.129153333332,2932.328043333332,1.943537871164906,94.35378711649061,v2at302,v2at301,rl301,1,v2at301 v2at303 v2at304 v2at305 v2at306 v2at307 v2at308 v2at309 v2at310,v2at302=3107.801 v2at310=3126.659 v2at307=3134.975 v2at308=3153.166 v2at303=3170.674 v2at309=3280.840 v2at306=3295.962 v2at304=3376.223 v2at305=3612.549 v2at301=6040.129
gen_utarget,u_target=1.0,v1_mlp,3,3345.697075555556,3104.700156666667,3464.59616,3467.7949099999996,363.0947533333324,1.116950022550057,11.695002255005704,rl301,rl302,rl301,1,rl302 rl303,rl301=3104.700 rl303=3464.596 rl302=3467.795
gen_utarget,u_target=1.1,v2_mlp,10,3806.663329666667,3691.8667499999997,3724.1885783333337,4196.1345,504.26775000000043,1.1365888273188627,13.65888273188627,v2rl305,v2rl309,rl301,4,v2rl301 v2rl302 v2rl303 v2rl306 v2rl307 v2rl309,v2rl305=3691.867 v2rl310=3692.381 v2rl304=3695.764 v2rl308=3700.348 v2rl307=3722.230 v2rl302=3726.147 v2rl301=3741.892 v2rl306=3744.836 v2rl303=4155.033 v2rl309=4196.135
gen_utarget,u_target=1.1,v2_attn,10,4430.876619333334,3692.26803,3861.848111666667,8464.521763333332,4772.253733333332,2.2924992699767066,129.24992699767066,v2at302,v2at301,rl301,1,v2at301 v2at303 v2at304 v2at305 v2at306 v2at307 v2at308 v2at309 v2at310,v2at302=3692.268 v2at310=3718.350 v2at307=3734.891 v2at303=3774.576 v2at308=3778.251 v2at306=3945.445 v2at309=4037.686 v2at304=4217.017 v2at305=4945.760 v2at301=8464.522
gen_utarget,u_target=1.1,v1_mlp,3,4410.234236666666,3688.4963466666663,4478.806213333333,5063.400149999999,1374.9038033333322,1.3727545520211366,37.27545520211366,rl301,rl303,rl301,1,rl302 rl303,rl301=3688.496 rl302=4478.806 rl303=5063.400
gen_utarget,u_target=1.3,v2_mlp,10,5174.8522135,4569.811140000001,4792.057511666667,7135.676103333333,2565.8649633333325,1.5614816202958735,56.14816202958735,v2rl304,v2rl303,v2rl304,1,v2rl301 v2rl302 v2rl303 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310,v2rl304=4569.811 v2rl308=4575.153 v2rl310=4587.819 v2rl305=4691.921 v2rl302=4782.667 v2rl307=4801.448 v2rl306=4833.338 v2rl301=4921.236 v2rl309=6849.453 v2rl303=7135.676
gen_utarget,u_target=1.3,v2_attn,10,6210.4941696666665,4604.906103333334,5093.601694166668,13023.348065,8418.441961666667,2.8281462798064103,182.81462798064103,v2at310,v2at301,v2rl304,0,v2at301 v2at302 v2at303 v2at304 v2at305 v2at306 v2at307 v2at308 v2at309 v2at310,v2at310=4604.906 v2at307=4671.940 v2at302=4746.296 v2at308=4775.898 v2at303=4872.377 v2at306=5314.826 v2at309=5654.297 v2at304=6144.289 v2at305=8296.764 v2at301=13023.348
gen_utarget,u_target=1.3,v1_mlp,3,7044.4403205555545,4611.499273333334,6927.335416666667,9594.486271666665,4982.986998333331,2.0805568217582033,108.05568217582034,rl301,rl303,v2rl304,0,rl301 rl302 rl303,rl301=4611.499 rl302=6927.335 rl303=9594.486
