scope_type,scope,method,family,n_rows,coverage,mean,best_method,mean_best,pct_from_best,ratio_to_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,in_equivalence_set
emp_m,m=0.6,rl301,policy-vs-policy,180,1.0,449.76718111111114,rl301,449.76718111111114,0.0,1.0,180,180,0.0,0.0,0.0,4.497671811111111,1.0,1.0,equivalent,1
emp_m,m=0.6,v2rl302,policy-vs-policy,180,1.0,450.2457377777778,rl301,449.76718111111114,0.10640097516328359,1.0010640097516328,180,180,0.47855666666667107,-0.33117050000000897,1.5603825277777659,4.497671811111111,0.9679000486136345,1.0,equivalent,1
emp_m,m=0.6,v2rl303,policy-vs-policy,180,1.0,450.3482633333333,rl301,449.76718111111114,0.12919622565315925,1.0012919622565315,180,180,0.5810822222222224,-0.4586552777777853,1.954622944444437,4.497671811111111,0.5754862281364963,1.0,equivalent,1
emp_m,m=0.6,v2rl310,policy-vs-policy,180,1.0,450.37308222222225,rl301,449.76718111111114,0.13471438925674445,1.0013471438925674,180,180,0.6059011111111179,0.14636469444444203,1.1919465833333962,4.497671811111111,0.05816729844884184,0.4955245211417102,equivalent,1
emp_m,m=0.6,v2rl305,policy-vs-policy,180,1.0,450.53495888888887,rl301,449.76718111111114,0.17070560281454836,1.0017070560281456,180,180,0.7677777777777752,-0.7609508888888896,2.772851888888879,4.497671811111111,0.2772406362261136,1.0,equivalent,1
emp_m,m=0.6,v2rl304,policy-vs-policy,180,1.0,450.5671966666667,rl301,449.76718111111114,0.177873261801623,1.0017787326180163,180,180,0.8000155555555646,-0.6812919444444198,2.2416491111111116,4.497671811111111,0.01245330404618514,0.13698634450803654,equivalent,1
emp_m,m=0.6,v2at302,policy-vs-policy,180,1.0,450.73348,rl301,449.76718111111114,0.2148442415255122,1.0021484424152551,180,180,0.9662988888888847,-0.17480133333333747,2.7924734999999865,4.497671811111111,0.23432097173768163,1.0,equivalent,1
emp_m,m=0.6,v2rl308,policy-vs-policy,180,1.0,450.97508555555555,rl301,449.76718111111114,0.26856215730556093,1.0026856215730555,180,180,1.2079044444444347,0.2768576111111165,2.3703657777777614,4.497671811111111,0.004969596485643009,0.05963515782771611,equivalent,1
emp_m,m=0.6,v2rl307,policy-vs-policy,180,1.0,451.1339088888889,rl301,449.76718111111114,0.3038745011144208,1.0030387450111442,180,180,1.366727777777774,-0.15925249999999824,3.504499972222214,4.497671811111111,0.5227810104666994,1.0,equivalent,1
emp_m,m=0.6,rl302,policy-vs-policy,180,1.0,451.1882166666667,rl301,449.76718111111114,0.3159491432978697,1.0031594914329787,180,180,1.4210355555555512,0.04860519444443395,3.1764271111111295,4.497671811111111,0.4204264735837405,1.0,equivalent,1
emp_m,m=0.6,v2at310,policy-vs-policy,180,1.0,451.2267455555556,rl301,449.76718111111114,0.3245155506541747,1.0032451555065418,180,180,1.4595644444444442,0.555376472222222,2.5570746388888783,4.497671811111111,0.0007787676862143366,0.010902747607000713,equivalent,1
emp_m,m=0.6,v2rl301,policy-vs-policy,180,1.0,451.6493433333334,rl301,449.76718111111114,0.41847478012346623,1.0041847478012347,180,180,1.8821622222222187,0.014764611111110902,4.452718388888889,4.497671811111111,0.14917758906284398,1.0,equivalent,1
emp_m,m=0.6,rl303,policy-vs-policy,180,1.0,451.66047777777777,rl301,449.76718111111114,0.42095038192635625,1.0042095038192635,180,180,1.893296666666675,0.0027287777777799953,4.236169000000003,4.497671811111111,0.0031851432686599455,0.04140686249257929,equivalent,1
emp_m,m=0.6,edd,rule-vs-policy,180,1.0,451.7136088888889,rl301,449.76718111111114,0.4327634072742486,1.0043276340727425,180,180,1.946427777777777,0.7583012777777786,3.4230362777777636,4.497671811111111,0.0004409382679493639,0.0008818765358987278,equivalent,1
emp_m,m=0.6,pfifo,rule-vs-policy,180,1.0,451.7136088888889,rl301,449.76718111111114,0.4327634072742486,1.0043276340727425,180,180,1.946427777777777,0.757605944444454,3.4006736944444413,4.497671811111111,0.0004409382679493639,0.0008818765358987278,equivalent,1
emp_m,m=0.6,v2rl309,policy-vs-policy,180,1.0,453.44436777777776,rl301,449.76718111111114,0.8175755860137329,1.0081757558601374,180,180,3.6771866666666724,1.5958203888888967,6.208857861111148,4.497671811111111,2.256819062805369e-05,0.00036109105004885906,inconclusive,0
emp_m,m=0.6,v2rl306,policy-vs-policy,180,1.0,453.91020555555554,rl301,449.76718111111114,0.9211486783471856,1.0092114867834718,180,180,4.14302444444444,0.9463881666666654,8.262460333333326,4.497671811111111,0.05372470829093752,0.4955245211417102,inconclusive,0
emp_m,m=0.6,v2at309,policy-vs-policy,180,1.0,454.16026777777785,rl301,449.76718111111114,0.9767468261721457,1.0097674682617215,180,180,4.3930866666666715,2.047996111111107,7.2079441388889,4.497671811111111,1.4886906460778572e-05,0.00025307740983323575,inconclusive,0
emp_m,m=0.6,v2at308,policy-vs-policy,180,1.0,454.7867177777778,rl301,449.76718111111114,1.1160299989577602,1.0111602999895777,180,180,5.019536666666663,1.458753916666661,9.05436266666666,4.497671811111111,0.0001191864215383877,0.0017877963230758156,inconclusive,0
emp_m,m=0.6,v2at306,policy-vs-policy,180,1.0,455.0103877777778,rl301,449.76718111111114,1.1657601725661175,1.011657601725661,180,180,5.243206666666664,2.63577555555555,8.343424944444454,4.497671811111111,5.374799694784892e-07,1.1824559328526763e-05,inconclusive,0
emp_m,m=0.6,wmdd,rule-vs-policy,180,1.0,455.0836822222222,rl301,449.76718111111114,1.1820562580793674,1.0118205625807937,180,180,5.316501111111108,2.715037944444442,8.28330075,4.497671811111111,6.28108477823397e-06,2.512433911293588e-05,inconclusive,0
emp_m,m=0.6,v2at307,policy-vs-policy,180,1.0,455.95934111111114,rl301,449.76718111111114,1.3767478508998372,1.0137674785089983,180,180,6.192159999999998,2.4198033888888855,10.345298388888878,4.497671811111111,7.6029625551400735e-06,0.00013685332599252132,inconclusive,0
emp_m,m=0.6,atc,rule-vs-policy,180,1.0,456.44054111111114,rl301,449.76718111111114,1.4837365375379414,1.0148373653753795,180,180,6.67336000000001,2.934184861111108,10.97055583333333,4.497671811111111,1.493563929839868e-05,4.480691789519604e-05,inconclusive,0
emp_m,m=0.6,v2at304,policy-vs-policy,180,1.0,456.7358433333334,rl301,449.76718111111114,1.5493932227350948,1.0154939322273508,180,180,6.968662222222233,3.467836777777792,10.883905638888917,4.497671811111111,5.383190614355775e-07,1.1824559328526763e-05,inconclusive,0
emp_m,m=0.6,v2at303,policy-vs-policy,180,1.0,457.78533888888893,rl301,449.76718111111114,1.7827351826715365,1.0178273518267154,180,180,8.018157777777777,3.3834133888888696,13.263726888888874,4.497671811111111,9.841805930879843e-07,1.9683611861759685e-05,inconclusive,0
emp_m,m=0.6,v2at305,policy-vs-policy,180,1.0,458.3245488888889,rl301,449.76718111111114,1.9026216534157772,1.0190262165341577,180,180,8.557367777777776,1.9839933611111027,17.770981055555556,4.497671811111111,0.04955245211417102,0.4955245211417102,inconclusive,0
emp_m,m=0.6,v2at301,policy-vs-policy,180,1.0,460.80076,rl301,449.76718111111114,2.4531756322529747,1.0245317563225298,180,180,11.033578888888885,3.968718638888888,20.07172552777776,4.497671811111111,1.9323105621784395e-06,3.671390068139035e-05,inconclusive,0
emp_m,m=0.6,wspt,rule-vs-policy,180,1.0,463.7768022222222,rl301,449.76718111111114,3.114860687812194,1.031148606878122,180,180,14.00962111111111,7.661341972222229,21.522312250000002,4.497671811111111,1.3016993124080623e-09,9.111895186856436e-09,worse,0
emp_m,m=0.6,random,rule-vs-policy,180,1.0,479.3151577777778,rl301,449.76718111111114,6.5696159941396655,1.0656961599413965,180,180,29.547976666666667,9.070002138888883,64.80630719444446,4.497671811111111,9.527038850477683e-09,5.71622331028661e-08,worse,0
emp_m,m=0.6,lpt,rule-vs-policy,180,1.0,536.7492233333334,rl301,449.76718111111114,19.339348417405773,1.1933934841740577,180,180,86.98204222222219,20.209031749999998,195.52161605555548,4.497671811111111,2.1266360107314253e-06,1.0633180053657127e-05,worse,0
emp_m,m=0.8,rl301,policy-vs-policy,180,1.0,446.2138077777778,rl301,446.2138077777778,0.0,1.0,180,180,0.0,0.0,0.0,4.462138077777778,1.0,1.0,equivalent,1
emp_m,m=0.8,v2at302,policy-vs-policy,180,1.0,446.26811,rl301,446.2138077777778,0.012169552191274675,1.0001216955219128,180,180,0.05430222222221914,-0.47009366666667357,0.7319814444444389,4.4621380777777775,0.6784023758521882,1.0,equivalent,1
emp_m,m=0.8,v2rl301,policy-vs-policy,180,1.0,446.2874366666666,rl301,446.2138077777778,0.016500809164897552,1.0001650080916489,180,180,0.07362888888888663,-0.43574666666666456,0.7390898333333268,4.4621380777777775,0.7670968684102772,1.0,equivalent,1
emp_m,m=0.8,v2rl307,policy-vs-policy,180,1.0,446.29960777777785,rl301,446.2138077777778,0.019228450241681634,1.0001922845024167,180,180,0.08579999999999931,-0.4286765555555571,0.751526611111108,4.4621380777777775,0.8589549227374824,1.0,equivalent,1
emp_m,m=0.8,v2rl305,policy-vs-policy,180,1.0,446.3163366666667,rl301,446.2138077777778,0.022977524922306612,1.000229775249223,180,180,0.10252888888888789,-0.43543599999999666,0.784272611111109,4.4621380777777775,0.9593536340401635,1.0,equivalent,1
emp_m,m=0.8,rl302,policy-vs-policy,180,1.0,446.31804555555556,rl301,446.2138077777778,0.023360500271583033,1.0002336050027159,180,180,0.1042377777777754,-0.3863671111111135,0.6713492777777754,4.4621380777777775,0.7988593499960496,1.0,equivalent,1
emp_m,m=0.8,v2rl303,policy-vs-policy,180,1.0,446.31832333333335,rl301,446.2138077777778,0.023422752441496792,1.000234227524415,180,180,0.10451555555555167,-0.2293311111111128,0.6010085555555507,4.4621380777777775,0.8589549227374824,1.0,equivalent,1
emp_m,m=0.8,v2rl302,policy-vs-policy,180,1.0,446.32465444444443,rl301,446.2138077777778,0.02484160389806885,1.0002484160389806,180,180,0.11084666666666579,-0.27128400000000263,0.7169726666666641,4.4621380777777775,0.26039294361048326,1.0,equivalent,1
emp_m,m=0.8,v2rl310,policy-vs-policy,180,1.0,446.37114777777776,rl301,446.2138077777778,0.03526112308885218,1.0003526112308885,180,180,0.1573399999999971,-0.3348845555555582,0.8025218888888864,4.4621380777777775,0.44086703541808714,1.0,equivalent,1
emp_m,m=0.8,v2rl308,policy-vs-policy,180,1.0,446.4653388888889,rl301,446.2138077777778,0.056370086879148906,1.0005637008687915,180,180,0.25153111111110793,-0.23574072222222436,0.911290333333329,4.4621380777777775,0.5939546753269146,1.0,equivalent,1
emp_m,m=0.8,rl303,policy-vs-policy,180,1.0,446.59543666666667,rl301,446.2138077777778,0.08552601516063825,1.0008552601516063,180,180,0.3816288888888864,-0.3113005555555581,1.3451960555555509,4.4621380777777775,1.0,1.0,equivalent,1
emp_m,m=0.8,v2rl304,policy-vs-policy,180,1.0,446.63493,rl301,446.2138077777778,0.09437677966969935,1.000943767796697,180,180,0.4211222222222179,0.030570888888887506,1.0463087777777706,4.4621380777777775,0.038151710173415135,0.5341239424278119,equivalent,1
emp_m,m=0.8,edd,rule-vs-policy,180,1.0,446.6359855555556,rl301,446.2138077777778,0.09461333791536143,1.0009461333791536,180,180,0.42217777777777565,0.06301927777777933,0.887361638888887,4.4621380777777775,0.02312980249735946,0.04625960499471892,equivalent,1
emp_m,m=0.8,pfifo,rule-vs-policy,180,1.0,446.6359855555556,rl301,446.2138077777778,0.09461333791536143,1.0009461333791536,180,180,0.42217777777777565,0.06103077777777631,0.8938409444444377,4.4621380777777775,0.02312980249735946,0.04625960499471892,equivalent,1
emp_m,m=0.8,v2at305,policy-vs-policy,180,1.0,446.66172555555556,rl301,446.2138077777778,0.10038187298785828,1.0010038187298786,180,180,0.4479177777777772,-0.32169672222222395,1.4491165555555596,4.4621380777777775,1.0,1.0,equivalent,1
emp_m,m=0.8,v2at310,policy-vs-policy,180,1.0,446.7143077777778,rl301,446.2138077777778,0.11216595974305794,1.0011216595974306,180,180,0.5004999999999978,-0.07204249999999886,1.2407509999999968,4.4621380777777775,0.09260069782067576,1.0,equivalent,1
emp_m,m=0.8,v2rl306,policy-vs-policy,180,1.0,446.7369966666667,rl301,446.2138077777778,0.11725071698127894,1.0011725071698128,180,180,0.5231888888888885,-0.3434347222222233,1.7520251666666664,4.4621380777777775,0.8784817434328712,1.0,equivalent,1
