scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m,m=0.6,rl301,atc,policy-vs-rule,180,180,456.44054111111114,449.76718111111114,-6.67336000000001,-11.149092111111106,-2.903226111111134,4.564405411111111,1.493563929839868e-05,0.0009857521936943129,inconclusive
emp_m,m=0.6,v2rl302,atc,policy-vs-rule,180,180,456.44054111111114,450.2457377777778,-6.194803333333338,-10.40096986111111,-2.4439451666666705,4.564405411111111,6.944066746215754e-05,0.004096999380267295,inconclusive
emp_m,m=0.6,v2rl303,atc,policy-vs-rule,180,180,456.44054111111114,450.34826333333336,-6.092277777777787,-10.515846527777795,-2.2922595833333386,4.564405411111111,8.182189731955665e-05,0.0047456700445342856,inconclusive
emp_m,m=0.6,v2rl310,atc,policy-vs-rule,180,180,456.44054111111114,450.37308222222225,-6.067458888888891,-9.958210583333337,-2.4852794722222327,4.564405411111111,0.0001220143180257783,0.006710787491417806,inconclusive
emp_m,m=0.6,v2rl305,atc,policy-vs-rule,180,180,456.44054111111114,450.53495888888887,-5.905582222222234,-10.130748583333363,-2.024033555555581,4.564405411111111,0.00023828896387732192,0.01119958130223413,inconclusive
emp_m,m=0.6,v2rl304,atc,policy-vs-rule,180,180,456.44054111111114,450.5671966666667,-5.873344444444446,-10.093347305555552,-2.322189,4.564405411111111,0.00013273589812356102,0.007035002600548734,inconclusive
emp_m,m=0.6,v2at302,atc,policy-vs-rule,180,180,456.44054111111114,450.73348,-5.707061111111126,-10.10702563888891,-1.6014965277777795,4.564405411111111,0.000348284822914622,0.014976247385328746,inconclusive
emp_m,m=0.6,v2rl308,atc,policy-vs-rule,180,180,456.44054111111114,450.9750855555555,-5.465455555555574,-9.228710722222237,-2.2004607222222385,4.564405411111111,0.00010024109986649712,0.005613501592523839,inconclusive
emp_m,m=0.6,v2rl307,atc,policy-vs-rule,180,180,456.44054111111114,451.133908888889,-5.306632222222236,-9.755184972222231,-1.4231259166666659,4.564405411111111,0.0003587552389978604,0.015067720037910137,inconclusive
emp_m,m=0.6,rl302,atc,policy-vs-rule,180,180,456.44054111111114,451.1882166666667,-5.252324444444459,-8.93436422222226,-2.1320486111111174,4.564405411111111,1.3580427617147279e-05,0.0009098886503488677,inconclusive
emp_m,m=0.6,v2at310,atc,policy-vs-rule,180,180,456.44054111111114,451.2267455555555,-5.213795555555565,-8.855449805555542,-2.0488091944444635,4.564405411111111,0.00024053538605254301,0.01119958130223413,inconclusive
emp_m,m=0.6,rollcp2,atc,optimizer-vs-rule,48,48,515.1568375,510.04646249999996,-5.110374999999994,-11.759243437499995,-0.4929883333333402,5.151568375000001,0.9316900688045499,1.0,inconclusive
emp_m,m=0.6,v2rl301,atc,policy-vs-rule,180,180,456.44054111111114,451.6493433333334,-4.791197777777791,-8.959667805555549,-1.038429750000005,4.564405411111111,0.0020928377886427884,0.07534216039114039,inconclusive
emp_m,m=0.6,rl303,atc,policy-vs-rule,180,180,456.44054111111114,451.66047777777777,-4.780063333333334,-8.533674472222186,-1.3995188055555585,4.564405411111111,0.0003111318282396968,0.013716308919427853,inconclusive
emp_m,m=0.6,edd,atc,rule-vs-rule,180,180,456.44054111111114,451.7136088888889,-4.726932222222232,-8.017174555555572,-1.8255357500000062,4.564405411111111,0.00011890609974290849,0.0009512487979432679,inconclusive
emp_m,m=0.6,pfifo,atc,rule-vs-rule,180,180,456.44054111111114,451.7136088888889,-4.726932222222232,-8.076187444444459,-1.8278810555555618,4.564405411111111,0.00011890609974290849,0.0009512487979432679,inconclusive
emp_m,m=0.6,v2rl309,atc,policy-vs-rule,180,180,456.44054111111114,453.4443677777777,-2.9961733333333376,-5.543409972222221,-0.7730043333333494,4.564405411111111,0.0022963469943226514,0.0803721448012928,inconclusive
emp_m,m=0.6,v2rl306,atc,policy-vs-rule,180,180,456.44054111111114,453.91020555555554,-2.53033555555557,-6.454147194444447,1.1018846111110898,4.564405411111111,0.015855887069854146,0.4122530638162078,inconclusive
emp_m,m=0.6,v2at309,atc,policy-vs-rule,180,180,456.44054111111114,454.16026777777773,-2.280273333333338,-4.193699027777793,-0.5326496666666649,4.564405411111111,0.00037653898208648103,0.01541437947368979,equivalent
emp_m,m=0.6,v2at308,atc,policy-vs-rule,180,180,456.44054111111114,454.7867177777777,-1.653823333333347,-3.7571292222222303,0.13499294444443038,4.564405411111111,0.0817418442205618,1.0,equivalent
emp_m,m=0.6,v2at306,atc,policy-vs-rule,180,180,456.44054111111114,455.0103877777778,-1.4301533333333456,-3.4183705000000137,0.3309033333333257,4.564405411111111,0.1890338170879361,1.0,equivalent
emp_m,m=0.6,wmdd,atc,rule-vs-rule,180,180,456.44054111111114,455.0836822222222,-1.3568588888889024,-3.162414888888932,0.5232628611110977,4.564405411111111,0.006308526046010378,0.018925578138031134,equivalent
emp_m,m=0.6,v2at307,atc,policy-vs-rule,180,180,456.44054111111114,455.959341111111,-0.4812000000000133,-2.2440363055555674,1.300050527777775,4.564405411111111,0.891320915742294,1.0,equivalent
emp_m,m=0.6,v2at304,atc,policy-vs-rule,180,180,456.44054111111114,456.7358433333334,0.29530222222222335,-1.0943268333333132,1.7181449444444457,4.564405411111111,0.3128633760208328,1.0,equivalent
emp_m,m=0.6,v2at303,atc,policy-vs-rule,180,180,456.44054111111114,457.78533888888893,1.3447977777777662,-0.041033888888883215,2.7768576944444243,4.564405411111111,0.007074967369633561,0.21224902108900684,equivalent
emp_m,m=0.6,v2at305,atc,policy-vs-rule,180,180,456.44054111111114,458.3245488888889,1.884007777777766,-3.6818025833333277,8.99004830555554,4.564405411111111,0.23878336784992327,1.0,inconclusive
emp_m,m=0.6,v2at301,atc,policy-vs-rule,180,180,456.44054111111114,460.80076,4.360218888888873,-0.142495333333327,10.532083361111063,4.564405411111111,0.29443578316765706,1.0,inconclusive
emp_m,m=0.6,wspt,atc,rule-vs-rule,180,180,456.44054111111114,463.7768022222222,7.336261111111104,4.239666444444457,11.288086194444448,4.564405411111111,3.704361412490384e-10,6.667850542482692e-09,inconclusive
emp_m,m=0.6,random,atc,rule-vs-rule,180,180,456.44054111111114,479.31515777777776,22.874616666666654,5.337207861111106,54.739185249999984,4.564405411111111,2.31535670195526e-08,3.2414993827373637e-07,worse
emp_m,m=0.6,lpt,atc,rule-vs-rule,180,180,456.44054111111114,536.7492233333334,80.3086822222222,16.171345472222214,183.10282099999992,4.564405411111111,0.0006040525666137902,0.0024162102664551607,worse
emp_m,m=0.6,rl301,edd,policy-vs-rule,180,180,451.7136088888889,449.76718111111114,-1.946427777777777,-3.373054305555532,-0.7539442222222235,4.517136088888889,0.0004409382679493639,0.01719659245002519,equivalent
emp_m,m=0.6,v2rl302,edd,policy-vs-rule,180,180,451.7136088888889,450.2457377777778,-1.4678711111111056,-3.052919666666656,-0.007219472222214109,4.517136088888889,0.0012433854792003867,0.04600526273041431,equivalent
emp_m,m=0.6,v2rl303,edd,policy-vs-rule,180,180,451.7136088888889,450.34826333333336,-1.3653455555555543,-3.086653583333322,0.29739025000000197,4.517136088888889,0.00723749486912432,0.21224902108900684,equivalent
