scope_type,scope,method,reference,is_scope_best_ref,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m,m=0.6,v2attnpool,atc,0,policy-vs-rule,180,180,456.44054111111114,455.55234311111104,-0.8881980000000155,-2.581376872222241,0.6521673694444236,4.564405411111111,0.7432477730683136,0.7432477730683136,equivalent
emp_m,m=0.6,v2attnpool,edd,0,policy-vs-rule,180,180,451.7136088888889,455.55234311111104,3.838734222222217,1.3042425833333327,7.040137813888879,4.517136088888889,1.6006157433507811e-06,9.603694460104686e-06,inconclusive
emp_m,m=0.6,v2attnpool,rl301,1,policy-vs-policy,180,180,449.76718111111114,455.55234311111104,5.7851619999999935,2.5544588305555553,9.53643550277777,4.497671811111111,3.7242123143448043e-09,7.4484246286896086e-09,inconclusive
emp_m,m=0.6,v2attnpool,wmdd,0,policy-vs-rule,180,180,455.0836822222222,455.55234311111104,0.46866088888888735,-1.2389237111111144,2.284976663888887,4.550836822222222,0.2151977017220844,0.6349631342321069,equivalent
emp_m,m=0.6,v2pool,atc,0,policy-vs-rule,180,180,456.44054111111114,451.31821500000007,-5.122326111111114,-8.733389505555564,-1.8371648222222174,4.564405411111111,0.00034419415790251174,0.0017209707895125587,inconclusive
emp_m,m=0.6,v2pool,edd,0,policy-vs-rule,180,180,451.7136088888889,451.31821500000007,-0.3953938888888819,-1.746209855555552,1.0218538833333284,4.517136088888889,0.21165437807736898,0.6349631342321069,equivalent
emp_m,m=0.6,v2pool,rl301,1,policy-vs-policy,180,180,449.76718111111114,451.31821500000007,1.551033888888895,0.5616835888888935,2.8050814750000126,4.497671811111111,0.00025934055224644063,0.00025934055224644063,equivalent
emp_m,m=0.6,v2pool,wmdd,0,policy-vs-rule,180,180,455.0836822222222,451.31821500000007,-3.765467222222212,-6.27957686666665,-1.5210879805555566,4.550836822222222,0.0003920504085464659,0.0017209707895125587,inconclusive
emp_m,m=0.8,v2attnpool,atc,0,policy-vs-rule,180,180,448.1663633333332,447.6883984444445,-0.4779648888888772,-1.067551711111088,-0.026455599999990857,4.481663633333333,0.9811983224615927,0.9811983224615927,equivalent
emp_m,m=0.8,v2attnpool,edd,0,policy-vs-rule,180,180,446.6359855555555,447.6883984444445,1.0524128888888917,0.3439700055555597,1.952417780555558,4.466359855555555,0.000139005036374323,0.000834030218245938,equivalent
