scope_type,scope,method,best_method,mean_best,mean,ratio_to_best,pct_from_best,n_configs,n_clusters
gen_all,ALL,lpt,v2rl310,3327.4247600000003,43030.63908933334,12.932114831451015,1193.2114831451013,300,300
gen_all,ALL,random,v2rl310,3327.4247600000003,13236.397561333331,3.9779705075384877,297.7970507538488,300,300
gen_all,ALL,wspt,v2rl310,3327.4247600000003,4064.612579,1.221549057355695,22.1549057355695,300,300
gen_all,ALL,edd,v2rl310,3327.4247600000003,3334.122935,1.0020130207241709,0.2013020724170946,300,300
gen_all,ALL,atc,v2rl310,3327.4247600000003,3357.982747666667,1.0091836750252068,0.9183675025206753,300,300
gen_all,ALL,wmdd,v2rl310,3327.4247600000003,3354.9370946666663,1.0082683566574968,0.8268356657496889,300,300
gen_all,ALL,pfifo,v2rl310,3327.4247600000003,3333.9263703333336,1.0019539466110523,0.195394661105222,300,300
gen_utarget,u_target=0.7,lpt,rl301,2257.4997200000003,2574.50371,1.1404226043492043,14.042260434920436,60,60
gen_utarget,u_target=0.7,random,rl301,2257.4997200000003,2304.052563333333,1.020621417101807,2.0621417101807182,60,60
gen_utarget,u_target=0.7,wspt,rl301,2257.4997200000003,2269.0487866666667,1.005115866267601,0.5115866267600899,60,60
gen_utarget,u_target=0.7,edd,rl301,2257.4997200000003,2258.26579,1.0003393444496196,0.03393444496195429,60,60
gen_utarget,u_target=0.7,atc,rl301,2257.4997200000003,2258.7456566666665,1.0005519099983171,0.055190999831718206,60,60
gen_utarget,u_target=0.7,wmdd,rl301,2257.4997200000003,2259.15484,1.0007331650964724,0.07331650964722587,60,60
gen_utarget,u_target=0.7,pfifo,rl301,2257.4997200000003,2258.26579,1.0003393444496196,0.03393444496195429,60,60
gen_utarget,u_target=0.9,lpt,v2at302,2990.305363333334,16524.004736666666,5.525858642826742,452.5858642826743,60,60
gen_utarget,u_target=0.9,random,v2at302,2990.305363333334,4924.664566666667,1.6468768130011568,64.68768130011568,60,60
gen_utarget,u_target=0.9,wspt,v2at302,2990.305363333334,3214.837606666667,1.0750867272909694,7.508672729096936,60,60
gen_utarget,u_target=0.9,edd,v2at302,2990.305363333334,3000.471016666667,1.0033995368693722,0.339953686937217,60,60
gen_utarget,u_target=0.9,atc,v2at302,2990.305363333334,3011.75496,1.0071730455791164,0.7173045579116445,60,60
gen_utarget,u_target=0.9,wmdd,v2at302,2990.305363333334,3008.9209299999998,1.0062253062496316,0.622530624963161,60,60
gen_utarget,u_target=0.9,pfifo,v2at302,2990.305363333334,3000.471016666667,1.0033995368693722,0.339953686937217,60,60
gen_utarget,u_target=1.0,lpt,rl301,3104.700156666667,29770.909659999998,9.588980628636055,858.8980628636056,60,60
gen_utarget,u_target=1.0,random,rl301,3104.700156666667,8149.989089999999,2.6250486935106028,162.50486935106028,60,60
gen_utarget,u_target=1.0,wspt,rl301,3104.700156666667,3527.015606666667,1.1360245526748112,13.602455267481119,60,60
gen_utarget,u_target=1.0,edd,rl301,3104.700156666667,3120.22592,1.0050007287499227,0.5000728749922738,60,60
gen_utarget,u_target=1.0,atc,rl301,3104.700156666667,3141.090583333333,1.0117210760557749,1.172107605577479,60,60
gen_utarget,u_target=1.0,wmdd,rl301,3104.700156666667,3139.498493333333,1.011208276133186,1.1208276133185993,60,60
gen_utarget,u_target=1.0,pfifo,rl301,3104.700156666667,3120.22592,1.0050007287499227,0.5000728749922738,60,60
gen_utarget,u_target=1.1,lpt,rl301,3688.4963466666663,52750.152623333335,14.301261995556594,1330.1261995556595,60,60
gen_utarget,u_target=1.1,random,rl301,3688.4963466666663,14661.981143333333,3.9750564363669554,297.50564363669554,60,60
gen_utarget,u_target=1.1,wspt,rl301,3688.4963466666663,4509.238141666667,1.2225139237949127,22.251392379491268,60,60
gen_utarget,u_target=1.1,edd,rl301,3688.4963466666663,3699.8349366666666,1.0030740412716546,0.30740412716545323,60,60
gen_utarget,u_target=1.1,atc,rl301,3688.4963466666663,3736.4078600000003,1.0129894430766164,1.2989443076616318,60,60
gen_utarget,u_target=1.1,wmdd,rl301,3688.4963466666663,3737.1529633333334,1.0131914504160044,1.3191450416004509,60,60
gen_utarget,u_target=1.1,pfifo,rl301,3688.4963466666663,3698.8281899999997,1.0028010989742935,0.28010989742935166,60,60
gen_utarget,u_target=1.3,lpt,v2rl304,4569.811140000001,113533.62471666667,24.84427063580283,2384.427063580283,60,60
gen_utarget,u_target=1.3,random,v2rl304,4569.811140000001,36141.300443333326,7.908707676556918,690.8707676556918,60,60
gen_utarget,u_target=1.3,wspt,v2rl304,4569.811140000001,6802.922753333333,1.4886660618831027,48.86660618831027,60,60
gen_utarget,u_target=1.3,edd,v2rl304,4569.811140000001,4591.817011666667,1.0048154882100153,0.4815488210015234,60,60
gen_utarget,u_target=1.3,atc,v2rl304,4569.811140000001,4641.9146783333335,1.0157782315558304,1.5778231555830298,60,60
gen_utarget,u_target=1.3,wmdd,v2rl304,4569.811140000001,4629.958246666666,1.0131618364138053,1.3161836413805366,60,60
gen_utarget,u_target=1.3,pfifo,v2rl304,4569.811140000001,4591.840934999999,1.0048207232914221,0.4820723291422182,60,60
