scope_type,scope,method,family,n_configs,n_clusters,mean,mean_method,mean_edd,mean_diff_vs_edd,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,in_set_vs_edd,in_equivalence_set,membership,best_method,pct_from_best
emp_m,m=0.6,rl301,policy-vs-rule,180,180,449.7671811111112,449.76718111111114,451.7136088888889,-1.946427777777777,-3.373054305555532,-0.7539442222222235,4.517136088888889,0.0004409382679493639,0.00793688882308855,equivalent,1,1,in both,rl301,0.0
emp_m,m=0.6,v2rl302,policy-vs-rule,180,180,450.2457377777778,450.2457377777778,451.7136088888889,-1.4678711111111056,-3.052919666666656,-0.007219472222214109,4.517136088888889,0.0012433854792003867,0.021137553146406574,equivalent,1,1,in both,rl301,0.1064009751632835
emp_m,m=0.6,v2rl303,policy-vs-rule,180,180,450.3482633333333,450.34826333333336,451.7136088888889,-1.3653455555555543,-3.086653583333322,0.29739025000000197,4.517136088888889,0.00723749486912432,0.09408743329861616,equivalent,1,1,in both,rl301,0.1291962256531592
emp_m,m=0.6,v2rl310,policy-vs-rule,180,180,450.3730822222223,450.37308222222225,451.7136088888889,-1.3405266666666587,-2.59313422222222,-0.2812822499999942,4.517136088888889,0.003940289016585944,0.059104335248789164,equivalent,1,1,in both,rl301,0.1347143892567444
emp_m,m=0.6,v2rl305,policy-vs-rule,180,180,450.53495888888887,450.53495888888887,451.7136088888889,-1.1786500000000015,-3.249903055555565,1.1260433055555266,4.517136088888889,0.019136708854110035,0.21050379739521038,equivalent,1,1,in both,rl301,0.1707056028145483
emp_m,m=0.6,v2rl304,policy-vs-rule,180,180,450.5671966666667,450.5671966666667,451.7136088888889,-1.1464122222222122,-2.5204627777777864,0.013734138888900101,4.517136088888889,0.032427612126453696,0.27732930466594524,equivalent,1,1,in both,rl301,0.177873261801623
emp_m,m=0.6,v2at302,policy-vs-rule,180,180,450.73348,450.73348,451.7136088888889,-0.980128888888892,-2.9547180277777896,1.2725777777777645,4.517136088888889,0.014339678173575664,0.17207613808290798,equivalent,1,1,in both,rl301,0.2148442415255122
emp_m,m=0.6,v2rl308,policy-vs-rule,180,180,450.9750855555556,450.9750855555555,451.7136088888889,-0.7385233333333421,-1.6921184722222282,0.16580166666665874,4.517136088888889,0.11241357383313315,0.5620678691656658,equivalent,1,1,in both,rl301,0.2685621573055609
emp_m,m=0.6,v2rl307,policy-vs-rule,180,180,451.1339088888889,451.133908888889,451.7136088888889,-0.5797000000000025,-2.8142856944444476,1.86234577777775,4.517136088888889,0.030814367185105027,0.27732930466594524,equivalent,1,1,in both,rl301,0.3038745011144208
emp_m,m=0.6,rl302,policy-vs-rule,180,180,451.1882166666667,451.1882166666667,451.7136088888889,-0.5253922222222258,-2.3763795555555625,1.4359206111111062,4.517136088888889,0.026398980713274567,0.26398980713274567,equivalent,1,1,in both,rl301,0.3159491432978697
emp_m,m=0.6,v2at310,policy-vs-rule,180,180,451.2267455555556,451.2267455555555,451.7136088888889,-0.4868633333333326,-1.6403456111111052,0.6638677500000061,4.517136088888889,0.24881125102715607,0.9952450041086243,equivalent,1,1,in both,rl301,0.3245155506541747
emp_m,m=0.6,v2rl301,policy-vs-rule,180,180,451.6493433333334,451.6493433333334,451.7136088888889,-0.06426555555555764,-2.4916477777777737,2.828554888888872,4.517136088888889,0.048674875673469,0.340724129714283,equivalent,1,1,in both,rl301,0.4184747801234662
