id,campus,size,n_wos,n_shared_wos,shared_frac,component,component_size
c09_final_150_0016,9,150,150,0,0.0,c09_final_150_0016,1
c09_final_150_0017,9,150,150,0,0.0,c09_final_150_0017,1
c09_final_150_0018,9,150,150,0,0.0,c09_final_150_0018,1
c09_final_150_0019,9,150,150,0,0.0,c09_final_150_0019,1
c09_final_150_0020,9,150,150,0,0.0,c09_final_150_0020,1
c09_final_150_0021,9,150,150,0,0.0,c09_final_150_0021,1
c09_final_150_0022,9,150,150,0,0.0,c09_final_150_0022,1
c09_final_150_0023,9,150,150,0,0.0,c09_final_150_0023,1
c09_final_150_0024,9,150,150,0,0.0,c09_final_150_0024,1
c09_final_150_0025,9,150,150,0,0.0,c09_final_150_0025,1
c09_final_150_0026,9,150,150,0,0.0,c09_final_150_0026,1
c09_final_150_0027,9,150,150,0,0.0,c09_final_150_0027,1
c09_final_150_0028,9,150,150,0,0.0,c09_final_150_0028,1
c09_final_150_0029,9,150,150,0,0.0,c09_final_150_0029,1
c10_final_150_0000,10,150,150,150,1.0,c10_final_150_0000,2
c10_final_150_0001,10,150,150,150,1.0,c10_final_150_0001,2
c10_final_150_0002,10,150,150,150,1.0,c10_final_150_0002,2
c10_final_150_0003,10,150,150,150,1.0,c10_final_150_0003,2
c10_final_150_0004,10,150,150,150,1.0,c10_final_150_0004,2
c10_final_150_0005,10,150,150,0,0.0,c10_final_150_0005,1
c10_final_150_0006,10,150,150,150,1.0,c10_final_150_0006,2
c10_final_150_0007,10,150,150,150,1.0,c10_final_150_0007,2
c10_final_150_0008,10,150,150,150,1.0,c10_final_150_0008,2
c10_final_150_0009,10,150,150,150,1.0,c10_final_150_0009,2
c10_final_150_0010,10,150,150,150,1.0,c10_final_150_0010,2
c10_final_150_0011,10,150,150,150,1.0,c10_final_150_0011,2
c10_final_150_0012,10,150,150,150,1.0,c10_final_150_0012,2
c10_final_150_0013,10,150,150,150,1.0,c10_final_150_0013,2
c10_final_150_0014,10,150,150,150,1.0,c10_final_150_0014,2
c10_final_150_0015,10,150,150,150,1.0,c10_final_150_0015,2
c10_final_150_0016,10,150,150,150,1.0,c10_final_150_0016,2
c10_final_150_0017,10,150,150,150,1.0,c10_final_150_0017,2
c10_final_150_0018,10,150,150,150,1.0,c10_final_150_0018,2
c10_final_150_0019,10,150,150,150,1.0,c10_final_150_0019,2
c10_final_150_0020,10,150,150,150,1.0,c10_final_150_0020,2
c10_final_150_0021,10,150,150,150,1.0,c10_final_150_0021,2
c10_final_150_0022,10,150,150,0,0.0,c10_final_150_0022,1
c10_final_150_0023,10,150,150,150,1.0,c10_final_150_0023,2
c10_final_150_0024,10,150,150,0,0.0,c10_final_150_0024,1
c10_final_150_0025,10,150,150,150,1.0,c10_final_150_0025,2
c10_final_150_0026,10,150,150,150,1.0,c10_final_150_0026,2
c10_final_150_0027,10,150,150,150,1.0,c10_final_150_0027,2
c10_final_150_0028,10,150,150,150,1.0,c10_final_150_0028,2
c10_final_150_0029,10,150,150,150,1.0,c10_final_150_0029,2
c10_final_400_0000,10,400,400,150,0.375,c10_final_150_0000,2
c10_final_400_0001,10,400,400,150,0.375,c10_final_150_0001,2
c10_final_400_0002,10,400,400,150,0.375,c10_final_150_0002,2
c10_final_400_0003,10,400,400,150,0.375,c10_final_150_0003,2
c10_final_400_0004,10,400,400,150,0.375,c10_final_150_0004,2
c10_final_400_0005,10,400,400,150,0.375,c10_final_150_0006,2
c10_final_400_0006,10,400,400,150,0.375,c10_final_150_0007,2
c10_final_400_0007,10,400,400,150,0.375,c10_final_150_0008,2
c10_final_400_0008,10,400,400,150,0.375,c10_final_150_0009,2
c10_final_400_0009,10,400,400,150,0.375,c10_final_150_0010,2
c10_final_400_0010,10,400,400,150,0.375,c10_final_150_0011,2
c10_final_400_0011,10,400,400,150,0.375,c10_final_150_0012,2
c10_final_400_0012,10,400,400,150,0.375,c10_final_150_0013,2
c10_final_400_0013,10,400,400,150,0.375,c10_final_150_0014,2
c10_final_400_0014,10,400,400,150,0.375,c10_final_150_0015,2
c10_final_400_0015,10,400,400,150,0.375,c10_final_150_0016,2
c10_final_400_0016,10,400,400,150,0.375,c10_final_150_0017,2
c10_final_400_0017,10,400,400,150,0.375,c10_final_150_0018,2
c10_final_400_0018,10,400,400,150,0.375,c10_final_150_0019,2
c10_final_400_0019,10,400,400,150,0.375,c10_final_150_0020,2
c10_final_400_0020,10,400,400,150,0.375,c10_final_150_0021,2
c10_final_400_0021,10,400,400,150,0.375,c10_final_150_0023,2
c10_final_400_0022,10,400,400,150,0.375,c10_final_150_0025,2
c10_final_400_0023,10,400,400,150,0.375,c10_final_150_0026,2
c10_final_400_0024,10,400,400,150,0.375,c10_final_150_0027,2
c10_final_400_0025,10,400,400,150,0.375,c10_final_150_0028,2
c10_final_400_0026,10,400,400,150,0.375,c10_final_150_0029,2
c10_final_400_0027,10,400,400,0,0.0,c10_final_400_0027,1
c10_final_400_0028,10,400,400,0,0.0,c10_final_400_0028,1
c10_final_400_0029,10,400,400,0,0.0,c10_final_400_0029,1
c12_final_150_0000,12,150,150,150,1.0,c12_final_150_0000,2
c12_final_150_0001,12,150,150,0,0.0,c12_final_150_0001,1
c12_final_150_0002,12,150,150,150,1.0,c12_final_150_0002,3
c12_final_150_0003,12,150,150,27,0.18,c12_final_150_0002,3
c12_final_150_0004,12,150,150,0,0.0,c12_final_150_0004,1
c12_final_150_0005,12,150,150,0,0.0,c12_final_150_0005,1
c12_final_150_0006,12,150,150,150,1.0,c12_final_150_0006,2
c12_final_150_0007,12,150,150,0,0.0,c12_final_150_0007,1
c12_final_150_0008,12,150,150,150,1.0,c12_final_150_0008,2
c12_final_150_0009,12,150,150,0,0.0,c12_final_150_0009,1
c12_final_150_0010,12,150,150,150,1.0,c12_final_150_0010,2
c12_final_150_0011,12,150,150,0,0.0,c12_final_150_0011,1
c12_final_150_0012,12,150,150,150,1.0,c12_final_150_0012,2
c12_final_150_0013,12,150,150,0,0.0,c12_final_150_0013,1
c12_final_150_0014,12,150,150,0,0.0,c12_final_150_0014,1
c12_final_150_0015,12,150,150,0,0.0,c12_final_150_0015,1
c12_final_150_0016,12,150,150,150,1.0,c12_final_150_0016,2
c12_final_150_0017,12,150,150,150,1.0,c12_final_150_0017,2
c12_final_150_0018,12,150,150,150,1.0,c12_final_150_0018,2
c12_final_150_0019,12,150,150,150,1.0,c12_final_150_0019,2
c12_final_150_0020,12,150,150,150,1.0,c12_final_150_0020,2
c12_final_150_0021,12,150,150,0,0.0,c12_final_150_0021,1
c12_final_150_0022,12,150,150,0,0.0,c12_final_150_0022,1
c12_final_150_0023,12,150,150,0,0.0,c12_final_150_0023,1
