id,campus,size,n_wos,n_shared_wos,shared_frac,n_v1_train_instances,n_v1_test_instances,v1_size_classes
c05_final_150_0007,5,150,150,82,0.5466666666666666,0,1,400
c05_final_150_0008,5,150,150,150,1.0,0,1,400
c05_final_150_0009,5,150,150,0,0.0,0,0,
c05_final_150_0010,5,150,150,150,1.0,0,1,400
c05_final_150_0011,5,150,150,112,0.7466666666666667,0,1,400
c05_final_150_0012,5,150,150,80,0.5333333333333333,0,1,400
c05_final_150_0013,5,150,150,150,1.0,0,1,400
c05_final_150_0014,5,150,150,150,1.0,0,1,400
c05_final_150_0015,5,150,150,10,0.06666666666666667,0,1,50
c05_final_150_0016,5,150,150,148,0.9866666666666667,0,2,400
c05_final_150_0017,5,150,150,150,1.0,0,1,400
c05_final_150_0018,5,150,150,86,0.5733333333333334,0,2,400
c05_final_150_0019,5,150,150,90,0.6,0,1,400
c05_final_150_0020,5,150,150,150,1.0,0,1,400
c05_final_150_0021,5,150,150,150,1.0,0,1,400
c05_final_150_0022,5,150,150,149,0.9933333333333333,0,1,400
c05_final_150_0023,5,150,150,150,1.0,0,1,400
c05_final_150_0024,5,150,150,128,0.8533333333333334,0,1,400
c05_final_150_0025,5,150,150,14,0.09333333333333334,0,1,400
c05_final_150_0026,5,150,150,23,0.15333333333333332,0,1,400
c05_final_150_0027,5,150,150,150,1.0,0,1,400
c05_final_150_0028,5,150,150,0,0.0,0,0,
c05_final_150_0029,5,150,150,0,0.0,0,0,
c09_final_150_0000,9,150,150,128,0.8533333333333334,0,1,400
c09_final_150_0001,9,150,150,43,0.2866666666666667,0,1,400
c09_final_150_0002,9,150,150,150,1.0,0,1,400
c09_final_150_0003,9,150,150,0,0.0,0,0,
c09_final_150_0004,9,150,150,128,0.8533333333333334,0,2,400
c09_final_150_0005,9,150,150,150,1.0,0,1,400
c09_final_150_0006,9,150,150,150,1.0,0,1,400
c09_final_150_0007,9,150,150,110,0.7333333333333333,0,1,400
c09_final_150_0008,9,150,150,72,0.48,0,1,400
c09_final_150_0009,9,150,150,150,1.0,0,2,50|400
c09_final_150_0010,9,150,150,68,0.4533333333333333,0,1,400
c09_final_150_0011,9,150,150,106,0.7066666666666667,0,1,400
c09_final_150_0012,9,150,150,104,0.6933333333333334,0,1,400
c09_final_150_0013,9,150,150,0,0.0,0,0,
c09_final_150_0014,9,150,150,150,1.0,0,1,400
c09_final_150_0015,9,150,150,150,1.0,0,1,400
c09_final_150_0016,9,150,150,148,0.9866666666666667,0,1,400
c09_final_150_0017,9,150,150,73,0.4866666666666667,0,1,400
c09_final_150_0018,9,150,150,150,1.0,0,1,400
c09_final_150_0019,9,150,150,150,1.0,0,1,400
c09_final_150_0020,9,150,150,150,1.0,0,1,400
c09_final_150_0021,9,150,150,150,1.0,0,1,400
c09_final_150_0022,9,150,150,0,0.0,0,0,
c09_final_150_0023,9,150,150,0,0.0,0,0,
c09_final_150_0024,9,150,150,150,1.0,0,1,400
c09_final_150_0025,9,150,150,0,0.0,0,0,
c09_final_150_0026,9,150,150,50,0.3333333333333333,0,1,50
c09_final_150_0027,9,150,150,61,0.4066666666666667,0,1,400
c09_final_150_0028,9,150,150,150,1.0,0,1,400
c09_final_150_0029,9,150,150,0,0.0,0,0,
c10_final_150_0000,10,150,150,0,0.0,0,0,
c10_final_150_0001,10,150,150,0,0.0,0,0,
c10_final_150_0002,10,150,150,0,0.0,0,0,
c10_final_150_0003,10,150,150,0,0.0,0,0,
c10_final_150_0004,10,150,150,0,0.0,0,0,
c10_final_150_0005,10,150,150,66,0.44,0,1,400
c10_final_150_0006,10,150,150,0,0.0,0,0,
c10_final_150_0007,10,150,150,0,0.0,0,0,
c10_final_150_0008,10,150,150,0,0.0,0,0,
c10_final_150_0009,10,150,150,0,0.0,0,0,
c10_final_150_0010,10,150,150,0,0.0,0,0,
c10_final_150_0011,10,150,150,0,0.0,0,0,
c10_final_150_0012,10,150,150,0,0.0,0,0,
c10_final_150_0013,10,150,150,0,0.0,0,0,
c10_final_150_0014,10,150,150,0,0.0,0,0,
c10_final_150_0015,10,150,150,0,0.0,0,0,
c10_final_150_0016,10,150,150,0,0.0,0,0,
c10_final_150_0017,10,150,150,0,0.0,0,0,
c10_final_150_0018,10,150,150,0,0.0,0,0,
c10_final_150_0019,10,150,150,0,0.0,0,0,
c10_final_150_0020,10,150,150,0,0.0,0,0,
c10_final_150_0021,10,150,150,0,0.0,0,0,
c10_final_150_0022,10,150,150,0,0.0,0,0,
c10_final_150_0023,10,150,150,0,0.0,0,0,
c10_final_150_0024,10,150,150,0,0.0,0,0,
c10_final_150_0025,10,150,150,0,0.0,0,0,
c10_final_150_0026,10,150,150,0,0.0,0,0,
c10_final_150_0027,10,150,150,0,0.0,0,0,
c10_final_150_0028,10,150,150,0,0.0,0,0,
c10_final_150_0029,10,150,150,0,0.0,0,0,
c10_final_400_0000,10,400,400,0,0.0,0,0,
c10_final_400_0001,10,400,400,0,0.0,0,0,
c10_final_400_0002,10,400,400,0,0.0,0,0,
c10_final_400_0003,10,400,400,0,0.0,0,0,
c10_final_400_0004,10,400,400,0,0.0,0,0,
c10_final_400_0005,10,400,400,0,0.0,0,0,
c10_final_400_0006,10,400,400,0,0.0,0,0,
c10_final_400_0007,10,400,400,0,0.0,0,0,
c10_final_400_0008,10,400,400,0,0.0,0,0,
c10_final_400_0009,10,400,400,0,0.0,0,0,
c10_final_400_0010,10,400,400,0,0.0,0,0,
c10_final_400_0011,10,400,400,0,0.0,0,0,
c10_final_400_0012,10,400,400,0,0.0,0,0,
c10_final_400_0013,10,400,400,0,0.0,0,0,
c10_final_400_0014,10,400,400,0,0.0,0,0,
c10_final_400_0015,10,400,400,0,0.0,0,0,
c10_final_400_0016,10,400,400,0,0.0,0,0,
c10_final_400_0017,10,400,400,0,0.0,0,0,
c10_final_400_0018,10,400,400,0,0.0,0,0,
c10_final_400_0019,10,400,400,0,0.0,0,0,
c10_final_400_0020,10,400,400,0,0.0,0,0,
c10_final_400_0021,10,400,400,0,0.0,0,0,
c10_final_400_0022,10,400,400,0,0.0,0,0,
c10_final_400_0023,10,400,400,0,0.0,0,0,
c10_final_400_0024,10,400,400,0,0.0,0,0,
c10_final_400_0025,10,400,400,0,0.0,0,0,
c10_final_400_0026,10,400,400,0,0.0,0,0,
c10_final_400_0027,10,400,400,0,0.0,0,0,
c10_final_400_0028,10,400,400,0,0.0,0,0,
c10_final_400_0029,10,400,400,0,0.0,0,0,
c12_final_150_0000,12,150,150,0,0.0,0,0,
c12_final_150_0001,12,150,150,150,1.0,0,1,400
c12_final_150_0002,12,150,150,0,0.0,0,0,
c12_final_150_0003,12,150,150,0,0.0,0,0,
c12_final_150_0004,12,150,150,150,1.0,0,1,400
c12_final_150_0005,12,150,150,150,1.0,0,1,400
c12_final_150_0006,12,150,150,0,0.0,0,0,
c12_final_150_0007,12,150,150,0,0.0,0,0,
c12_final_150_0008,12,150,150,0,0.0,0,0,
c12_final_150_0009,12,150,150,6,0.04,0,1,400
c12_final_150_0010,12,150,150,0,0.0,0,0,
c12_final_150_0011,12,150,150,150,1.0,0,1,400
c12_final_150_0012,12,150,150,0,0.0,0,0,
c12_final_150_0013,12,150,150,0,0.0,0,0,
c12_final_150_0014,12,150,150,150,1.0,0,1,400
c12_final_150_0015,12,150,150,7,0.04666666666666667,0,1,400
c12_final_150_0016,12,150,150,0,0.0,0,0,
c12_final_150_0017,12,150,150,0,0.0,0,0,
c12_final_150_0018,12,150,150,0,0.0,0,0,
c12_final_150_0019,12,150,150,0,0.0,0,0,
c12_final_150_0020,12,150,150,0,0.0,0,0,
c12_final_150_0021,12,150,150,0,0.0,0,0,
c12_final_150_0022,12,150,150,0,0.0,0,0,
c12_final_150_0023,12,150,150,17,0.11333333333333333,0,1,400
c12_final_150_0024,12,150,150,0,0.0,0,0,
c12_final_150_0025,12,150,150,150,1.0,0,1,400
c12_final_150_0026,12,150,150,0,0.0,0,0,
c12_final_150_0027,12,150,150,106,0.7066666666666667,0,1,400
c12_final_150_0028,12,150,150,150,1.0,0,1,400
c12_final_150_0029,12,150,150,92,0.6133333333333333,0,1,400
c12_final_400_0000,12,400,400,200,0.5,0,3,50|150
c12_final_400_0001,12,400,400,0,0.0,0,0,
c12_final_400_0002,12,400,400,0,0.0,0,0,
c12_final_400_0003,12,400,400,0,0.0,0,0,
c12_final_400_0004,12,400,400,0,0.0,0,0,
c12_final_400_0005,12,400,400,0,0.0,0,0,
c12_final_400_0006,12,400,400,0,0.0,0,0,
c12_final_400_0007,12,400,400,0,0.0,0,0,
c12_final_400_0008,12,400,400,0,0.0,0,0,
c12_final_400_0009,12,400,400,0,0.0,0,0,
c12_final_400_0010,12,400,400,0,0.0,0,0,
c12_final_400_0011,12,400,400,0,0.0,0,0,
c12_final_400_0012,12,400,400,0,0.0,0,0,
c12_final_400_0013,12,400,400,0,0.0,0,0,
c12_final_400_0014,12,400,400,0,0.0,0,0,
c12_final_400_0015,12,400,400,0,0.0,0,0,
c12_final_400_0016,12,400,400,0,0.0,0,0,
c12_final_400_0017,12,400,400,0,0.0,0,0,
c12_final_400_0018,12,400,400,0,0.0,0,0,
c12_final_400_0019,12,400,400,0,0.0,0,0,
c12_final_400_0020,12,400,400,0,0.0,0,0,
c12_final_400_0021,12,400,400,0,0.0,0,0,
c12_final_400_0022,12,400,400,0,0.0,0,0,
c12_final_400_0023,12,400,400,0,0.0,0,0,
c12_final_400_0024,12,400,400,0,0.0,0,0,
c12_final_400_0025,12,400,400,27,0.0675,0,2,50|150
c12_final_400_0026,12,400,400,0,0.0,0,0,
c12_final_400_0027,12,400,400,0,0.0,0,0,
c12_final_400_0028,12,400,400,0,0.0,0,0,
c12_final_400_0029,12,400,400,0,0.0,0,0,
