scope_type,scope,family,n_seeds,n_configs,n_clusters,mean_ref,mean_diff,released_mean_diff,ci_lo_inst,ci_hi_inst,verdict_inst,ci_lo_seed,ci_hi_seed,verdict_seed,ci_lo_two,ci_hi_two,verdict_two,width_inst,width_seed,width_two,width_ratio_two_inst,verdict_changed,seed_sd,seed_min_mean,seed_max_mean
emp_m,m=1.0,mlp_pool,10,180,180,444.8689277777778,-0.09965333333334161,-0.09965333333333,-0.26138662777782884,0.02381453888889758,equivalent,-0.14158535555556834,-0.04717688055559646,equivalent,-0.2789640888886525,0.029315972222209667,equivalent,0.2852011666667264,0.09440847499997188,0.30828006111086215,1.08092145875092,0,0.08050311731984554,444.68101666666666,444.95305222222214
emp_m,m=1.0,attn_pool,10,180,180,444.8689277777778,0.3989844444444365,0.3989844444444482,0.06350566666663933,0.8330080111112449,equivalent,0.1639748777777681,0.6300112222221428,equivalent,0.032140516666687394,0.9477525333332806,equivalent,0.7695023444446055,0.4660363444443747,0.9156120166665932,1.1898755387515336,0,0.3954489245220253,444.71602444444443,445.88359666666673
emp_m,m=1.0,v1_pool,3,180,180,444.8689277777778,-0.05907407407407703,-0.059074074074077,-0.20094203703712182,0.07432524074078678,equivalent,-0.10620666666679122,0.03351777777764558,equivalent,-0.21843790740745134,0.14609537037029632,equivalent,0.2752672777779086,0.1397244444444368,0.3645332777777477,1.3242884541905513,0,0.08019126064055533,444.76272111111103,444.90244555555546
emp_m,m=0.8,mlp_pool,10,180,180,446.6359855555555,-0.14612266666667365,-0.1461226666666645,-0.5106374611112289,0.27492356111115607,equivalent,-0.2866966666666687,0.028207999999964765,equivalent,-0.5873074833333177,0.29617741666654374,equivalent,0.785561022222385,0.31490466666663347,0.8834848999998615,1.1246547053727867,0,0.2765916601499979,446.28743666666657,447.14385666666664
emp_m,m=0.8,attn_pool,10,180,180,446.6359855555555,1.052412888888888,1.0524128888888915,0.34375346666673573,1.9518699527775747,equivalent,0.48280775277772087,1.6669939444443316,equivalent,0.2422976638889203,2.3378782694443827,equivalent,1.608116486110839,1.1841861916666108,2.095580605555462,1.3031273689778122,0,1.012629095051783,446.26811,449.8277633333332
emp_m,m=0.8,v1_pool,3,180,180,446.6359855555555,-0.2602222222222253,-0.2602222222222278,-0.548954703703629,-0.0016757962963150626,equivalent,-0.4221777777779304,-0.04054888888899263,equivalent,-0.6647227037036605,0.1686352962963085,equivalent,0.5472789074073139,0.3816288888889378,0.833357999999969,1.5227299804919028,0,0.19725277846546965,446.2138077777776,446.59543666666656
emp_m,m=0.6,mlp_pool,10,180,180,451.7136088888889,-0.39539388888888394,-0.3953938888888819,-1.7245764500000749,1.0533188083333402,equivalent,-1.0806040916665753,0.4363223166667311,equivalent,-1.9943414166666338,1.3728855166665943,equivalent,2.777895258333415,1.5169264083333065,3.367226933333228,1.2121504305217683,0,1.31917909970961,450.24573777777766,453.91020555555554
emp_m,m=0.6,attn_pool,10,180,180,451.7136088888889,3.8387342222222216,3.838734222222217,1.245835872222232,7.073199766666736,inconclusive,2.0208078638889653,5.65139177499997,inconclusive,0.9868783194445577,7.939414158333253,inconclusive,5.827363894444504,3.630583911111005,6.9525358388886955,1.1930842083702495,0,3.1007813060187277,450.73348,460.80075999999997
emp_m,m=0.6,v1_pool,3,180,180,451.7136088888889,-0.8416503703703627,-0.8416503703703653,-2.2914774537036444,0.5118857129629149,equivalent,-1.946427777777717,-0.05313111111091631,equivalent,-2.572143999999947,1.067446148147998,equivalent,2.8033631666665593,1.8932966666668007,3.6395901481479447,1.2982942029860982,0,0.985473226021596,449.76718111111114,451.66047777777794
gen_all,ALL,mlp_pool,10,300,300,3334.1229350000003,143.66250283333355,143.66250283333346,105.13796323833378,188.29202560916679,worse,19.51290360000062,312.3813356758339,inconclusive,15.511451503333063,318.03776115583423,inconclusive,83.154062370833,292.86843207583325,302.52630965250114,3.6381422750383248,1,250.20523791536783,3327.4247599999985,3978.4179933333326
gen_all,ALL,attn_pool,10,300,300,3334.1229350000003,597.5386708000001,597.5386708000001,510.56795802166715,691.5235584866657,worse,119.04190577333357,1324.8408006066668,worse,117.50408805083441,1341.817264562499,worse,180.95560046499855,1205.7988948333332,1224.3131765116646,6.765820860838613,0,1097.0613402867068,3342.649289333333,6897.6626596666665
gen_all,ALL,v1_pool,3,300,300,3334.1229350000003,692.4845864444443,692.4845864444443,557.9639507861106,829.9784437583327,worse,-3.3556796666665467,1356.5901499999998,inconclusive,-1.798026474999408,1349.828947249999,inconclusive,272.0144929722221,1359.9458296666662,1351.6269737249984,4.968952054562127,1,680.528091570551,3330.767255333333,4690.713084999999
