scope_type,scope,family,reference,set_rankable,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,mean_own,best_family,mean_best,pct_from_best,n_configs_vs_best,n_clusters_vs_best,diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,margin_vs_best,wilcoxon_p_vs_best,verdict_vs_best,in_best_set,seed_n,seed_min_mean,seed_median_mean,seed_max_mean,seed_sd,seed_spread_pct,seed_best,seed_worst
overall,ALL,pfifo,edd,0,887,527,1428.0960668545658,1428.029585005637,-0.06648184892898812,-0.2127027978846303,0.007990624023210277,14.280960668545658,0.6858304344516057,0.6858304344516057,equivalent,,,,,,,,,,,,,,,,,,,,,
overall,ALL,wspt,edd,0,887,527,1428.0960668545658,1678.3710122886132,250.2749454340474,202.13490905472597,304.5188914817001,14.280960668545658,8.901929918378347e-65,8.011736926540512e-64,worse,,,,,,,,,,,,,,,,,,,,,
overall,ALL,atc,edd,0,887,527,1428.0960668545658,1436.440227395716,8.34416054115001,1.9747982315489236,14.142974581425772,14.280960668545658,7.35902745760126e-20,2.2077082372803783e-19,equivalent,,,,,,,,,,,,,,,,,,,,,
overall,ALL,wmdd,edd,0,887,527,1428.0960668545658,1434.3142735062006,6.218206651634689,-0.2997476526147132,11.92976030406361,14.280960668545658,1.24992440898752e-18,2.49984881797504e-18,equivalent,,,,,,,,,,,,,,,,,,,,,
overall,ALL,lpt,edd,0,887,527,1428.0960668545658,14898.353685907554,13470.257619052987,11052.645290110064,16122.366224748537,14.280960668545658,2.5519063043943776e-60,1.5311437826366265e-59,worse,,,,,,,,,,,,,,,,,,,,,
overall,ALL,random,edd,0,887,527,1428.0960668545658,4790.174193686584,3362.0781268320175,2693.3347075107285,4108.477936877758,14.280960668545658,6.103514096208877e-63,4.272459867346214e-62,worse,,,,,,,,,,,,,,,,,,,,,
overall,ALL,mlp_pool,edd,0,887,527,1428.0960668545658,1483.0436791544532,54.94761229988731,39.68300754749711,72.71658390696184,14.280960668545658,1.814677334847365e-27,7.25870933938946e-27,worse,,,,,,,,,,,,,,10.0,1425.73302367531,1447.3705669673054,1662.1289125140925,86.9511672743064,16.58065604943286,v2rl310,v2rl303
overall,ALL,attn_pool,edd,0,887,527,1428.0960668545658,1633.6407220293124,205.54465517474634,168.64794248572116,246.50426427227964,14.280960668545658,9.96473213689066e-65,8.011736926540512e-64,worse,,,,,,,,,,,,,,10.0,1436.4644935738445,1489.0675482525367,2634.421790868095,370.8389903175201,83.39623448079796,v2at310,v2at301
overall,ALL,v1_pool,edd,0,887,527,1428.0960668545658,1667.489288650883,239.39322179631714,188.13838275383912,297.1298070880491,14.280960668545658,2.025879052641548e-36,1.012939526320774e-35,worse,,,,,,,,,,,,,,3.0,1431.476351296505,1673.890644193912,1897.100870462232,232.87825408712985,32.52757328083034,rl301,rl303
overall,ALL,rollcp2,edd,0,160,64,515.9453837499999,510.40927375,-5.536109999999998,-16.1593942042297,1.33749915625001,5.159453837499999,0.0004931852089917846,0.0004931852089917846,inconclusive,,,,,,,,,,,,,,,,,,,,,
overall,ALL,edd,edd,0,887,527,1428.0960668545658,1428.0960668545658,0.0,0.0,0.0,14.280960668545658,1.0,1.0,reference,,,,,,,,,,,,,,,,,,,,,
emp_m,m=1.0,pfifo,edd,1,180,180,444.8689277777778,444.8689277777778,0.0,0.0,0.0,4.4486892777777785,1.0,1.0,equivalent,444.8689277777778,mlp_pool,444.7692744444445,0.02240562445726439,180.0,180.0,0.09965333333333001,-0.02287220555556147,0.257088533333332,4.447692744444446,0.6009589593685324,equivalent,1.0,,,,,,,,
emp_m,m=1.0,wspt,edd,1,180,180,444.8689277777778,446.6459477777778,1.7770200000000016,0.8064506111111106,2.9670826111111106,4.4486892777777785,3.072115880664133e-05,0.000276490429259772,equivalent,446.6459477777778,mlp_pool,444.7692744444445,0.42194311549003544,180.0,180.0,1.8766733333333316,0.8743041111111088,3.103562127777783,4.447692744444446,2.272981654121265e-05,equivalent,1.0,,,,,,,,
