update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-2.117479,423.833338,481.992475,0.986750,0.698859,24.006
1,-2.958506,423.833338,481.992475,0.561065,1.908846,1.181
2,-4.411982,423.833338,481.992475,0.677119,1.084760,1.150
3,-2.204955,423.833338,481.992475,0.386664,0.900606,1.135
4,-2.975376,423.833338,481.992475,0.645246,1.138844,1.179
5,-2.464796,423.833338,481.992475,0.524527,0.678280,1.158
6,-2.811975,423.833338,481.992475,0.734814,1.396546,1.136
7,-4.559295,423.833338,481.992475,0.949083,1.534272,1.196
8,-3.089480,423.833338,481.992475,0.708038,2.350253,1.234
9,-5.938454,423.833338,481.992475,0.598879,2.656828,1.197
10,-4.211974,423.833338,481.992475,0.608877,1.158529,1.137
11,-3.698328,423.833338,481.992475,0.836083,1.739050,1.163
12,-2.896570,423.833338,481.992475,0.867044,1.665275,1.126
13,-6.388670,423.833338,481.992475,0.618148,2.179384,1.172
14,-2.028424,423.833338,481.992475,0.551495,1.628683,1.104
15,-2.971239,423.833338,481.992475,0.707821,4.426707,1.129
16,-3.317481,423.833338,481.992475,0.638353,1.016619,1.103
17,-2.159516,423.833338,481.992475,0.747555,2.245262,1.136
18,-5.339426,423.833338,481.992475,0.537644,2.356029,1.118
19,-2.649371,423.833338,481.992475,0.798496,1.282903,1.194
20,-3.183683,409.690150,438.874050,0.958772,0.886723,23.597
21,-1.397062,409.690150,438.874050,0.741452,1.585982,1.186
22,-4.020809,409.690150,438.874050,0.532726,0.897856,1.176
23,-2.470814,409.690150,438.874050,0.607649,1.002048,1.145
24,-5.396918,409.690150,438.874050,0.917710,4.165892,1.187
25,-1.962947,409.690150,438.874050,0.861567,0.684758,1.288
26,-3.862860,409.690150,438.874050,0.852594,3.608742,1.187
27,-2.526649,409.690150,438.874050,0.614076,1.810284,1.204
28,-3.526125,409.690150,438.874050,0.498942,1.507517,1.163
29,-1.700988,409.690150,438.874050,0.550473,1.358834,1.161
30,-3.249102,409.690150,438.874050,1.056342,0.926852,1.228
31,-1.861350,409.690150,438.874050,0.936825,1.529667,1.099
32,-4.641082,409.690150,438.874050,0.883220,1.110857,1.096
33,-2.038509,409.690150,438.874050,0.812515,0.859997,1.138
34,-2.365892,409.690150,438.874050,0.580453,0.843390,1.121
35,-3.352288,409.690150,438.874050,0.796259,1.709929,1.107
36,-1.438993,409.690150,438.874050,0.555694,2.127688,1.111
37,-4.250104,409.690150,438.874050,0.665790,1.918714,1.113
38,-4.121681,409.690150,438.874050,0.901992,1.408153,1.176
39,-3.917234,409.690150,438.874050,0.656985,1.317994,1.104
40,-3.231640,414.430537,472.523200,0.658998,2.256219,23.641
41,-3.039517,414.430537,472.523200,0.673508,0.995231,1.110
42,-2.797435,414.430537,472.523200,0.385509,1.207124,1.116
43,-3.371349,414.430537,472.523200,0.528661,2.128264,1.181
44,-6.446890,414.430537,472.523200,1.042875,2.788710,1.161
45,-4.045770,414.430537,472.523200,1.043188,1.423239,1.189
46,-1.874738,414.430537,472.523200,0.772633,1.109089,1.156
47,-2.602541,414.430537,472.523200,0.639762,0.508600,1.151
48,-2.342620,414.430537,472.523200,0.748765,1.364518,1.141
49,-3.270319,414.430537,472.523200,0.910800,2.105088,1.170
50,-3.289819,414.430537,472.523200,0.552862,1.888218,1.097
51,-1.620967,414.430537,472.523200,0.592295,0.812008,1.051
52,-2.132114,414.430537,472.523200,0.705332,1.780112,1.070
53,-3.043752,414.430537,472.523200,0.696023,0.808975,1.110
54,-3.612719,414.430537,472.523200,0.735490,1.316945,1.138
55,-3.708367,414.430537,472.523200,0.876283,1.556066,1.131
56,-2.760863,414.430537,472.523200,0.592206,0.610491,1.109
57,-1.324914,414.430537,472.523200,0.782621,0.991123,1.159
58,-3.536353,414.430537,472.523200,0.565936,1.603487,1.126
59,-1.673230,414.430537,472.523200,0.504838,0.749301,1.116
60,-1.761395,411.494687,444.827912,0.729017,1.034135,23.655
61,-2.820286,411.494687,444.827912,0.635930,0.652205,1.134
62,-2.309552,411.494687,444.827912,0.594291,1.534766,1.115
63,-3.754420,411.494687,444.827912,0.711530,20.035811,1.202
64,-8.046369,411.494687,444.827912,0.621340,3.546252,1.133
65,-4.777574,411.494687,444.827912,0.649668,1.286060,1.112
66,-1.504921,411.494687,444.827912,0.601239,0.523050,1.126
67,-2.350148,411.494687,444.827912,0.404945,0.732672,1.091
68,-0.755813,411.494687,444.827912,0.706430,0.864641,1.115
69,-3.282517,411.494687,444.827912,0.644098,1.751489,1.097
70,-2.847552,411.494687,444.827912,1.081246,1.023502,1.128
71,-4.146708,411.494687,444.827912,0.969745,1.330783,1.115
72,-3.688179,411.494687,444.827912,0.791524,1.094033,1.062
73,-1.925301,411.494687,444.827912,0.623073,1.394857,1.132
74,-2.204067,411.494687,444.827912,1.217056,1.303131,1.228
75,-3.223278,411.494687,444.827912,0.887453,1.597152,1.141
76,-1.888892,411.494687,444.827912,0.631535,0.981323,1.107
77,-2.625247,411.494687,444.827912,0.957628,1.185261,1.152
78,-3.732253,411.494687,444.827912,0.669826,2.584124,1.110
79,-5.138945,411.494687,444.827912,1.014928,1.824789,1.164
80,-2.055275,410.680213,449.924338,1.049289,0.639023,23.787
81,-1.641048,410.680213,449.924338,1.142696,0.324735,1.272
82,-2.297878,410.680213,449.924338,0.453607,0.836692,1.232
83,-3.184032,410.680213,449.924338,0.546000,2.056675,1.176
84,-4.822033,410.680213,449.924338,0.695305,1.482018,1.162
85,-3.055031,410.680213,449.924338,0.566512,1.077456,1.124
86,-1.551233,410.680213,449.924338,0.658989,0.590079,1.151
87,-0.985567,410.680213,449.924338,0.654828,0.440325,1.150
88,-3.757828,410.680213,449.924338,1.165505,1.913702,1.292
89,-2.127799,410.680213,449.924338,0.862904,0.582229,1.167
90,-2.355608,410.680213,449.924338,0.562929,2.633569,1.079
91,-3.407040,410.680213,449.924338,0.632387,1.115949,1.096
92,-2.429795,410.680213,449.924338,0.814755,1.494836,1.262
93,-3.840706,410.680213,449.924338,0.786784,1.949912,1.200
94,-4.116410,410.680213,449.924338,0.730100,1.710742,1.186
95,-2.889572,410.680213,449.924338,0.307073,1.029304,1.185
96,-2.839088,410.680213,449.924338,0.778740,1.226166,1.259
97,-3.061916,410.680213,449.924338,0.917975,1.218241,1.233
98,-1.882736,410.680213,449.924338,0.622512,1.045759,1.173
99,-1.520156,410.680213,449.924338,0.628393,1.103789,1.186
100,-1.645915,409.090638,444.814888,0.576153,0.739440,23.321
101,-2.974332,409.090638,444.814888,0.922836,1.052518,1.006
102,-4.396175,409.090638,444.814888,0.508371,2.659228,1.197
103,-3.953285,409.090638,444.814888,0.750081,1.904056,1.325
104,-2.976758,409.090638,444.814888,0.739326,2.507196,1.206
105,-10.648100,409.090638,444.814888,0.598588,26.323361,1.240
106,-3.558033,409.090638,444.814888,0.883362,1.686100,1.197
107,-4.382274,409.090638,444.814888,0.614807,2.512886,1.197
108,-4.438895,409.090638,444.814888,0.320479,1.777299,1.138
109,-1.317284,409.090638,444.814888,0.529437,1.547282,1.107
110,-4.122879,409.090638,444.814888,0.571976,1.824125,1.062
111,-4.388884,409.090638,444.814888,0.453143,3.488234,1.180
112,-4.649779,409.090638,444.814888,0.882108,2.252501,1.216
113,-3.681013,409.090638,444.814888,0.459360,2.063970,1.154
114,-2.931252,409.090638,444.814888,0.607007,0.877394,1.173
115,-2.393963,409.090638,444.814888,0.884751,0.884804,1.200
116,-2.041128,409.090638,444.814888,0.558252,0.877379,1.134
117,-3.071701,409.090638,444.814888,0.467129,2.216044,1.168
118,-5.300420,409.090638,444.814888,0.517999,1.997541,1.166
119,-4.011933,409.090638,444.814888,0.564181,1.396822,1.138
120,-1.957023,410.867713,445.741450,0.537105,0.735761,23.826
121,-2.805098,410.867713,445.741450,0.490200,4.322819,1.114
122,-6.462667,410.867713,445.741450,1.027091,2.518765,1.181
123,-4.038952,410.867713,445.741450,0.875108,1.605421,1.127
124,-1.581727,410.867713,445.741450,1.066986,1.082449,1.346
125,-4.537326,410.867713,445.741450,0.709105,2.102736,1.119
126,-3.637615,410.867713,445.741450,0.682513,1.865985,1.136
127,-2.816338,410.867713,445.741450,1.022506,0.827363,1.128
128,-3.904411,410.867713,445.741450,0.629028,1.093430,1.050
129,-2.650588,410.867713,445.741450,1.028779,0.697013,1.126
130,-2.799273,410.867713,445.741450,1.049075,1.813653,1.124
131,-3.243900,410.867713,445.741450,0.884082,0.814111,1.175
132,-4.515744,410.867713,445.741450,0.733314,2.015293,1.122
133,-2.538809,410.867713,445.741450,0.788842,1.366450,1.139
134,-5.289008,410.867713,445.741450,0.604974,2.256158,1.128
135,-2.444121,410.867713,445.741450,0.428050,0.964491,1.106
136,-3.592600,410.867713,445.741450,0.751242,1.143728,1.150
137,-2.722331,410.867713,445.741450,0.816581,0.984015,1.182
138,-1.858003,410.867713,445.741450,0.435023,1.125096,1.146
139,-3.060774,410.867713,445.741450,0.741067,1.505925,1.171
140,-3.526914,410.867713,452.950312,0.920766,1.363542,23.828
141,-4.040253,410.867713,452.950312,0.626213,1.503805,1.173
142,-1.289191,410.867713,452.950312,0.801910,0.689921,1.188
143,-2.496782,410.867713,452.950312,0.392353,1.040157,1.130
144,-3.298200,410.867713,452.950312,0.743588,1.025009,1.194
145,-2.616245,410.867713,452.950312,0.869468,2.224010,1.277
146,-6.994425,410.867713,452.950312,0.651524,2.941516,1.166
147,-5.878180,410.867713,452.950312,0.982536,7.042998,1.136
148,-3.903012,410.867713,452.950312,0.824570,1.434295,1.134
149,-3.362162,410.867713,452.950312,0.704576,2.216802,1.125
150,-2.319536,410.867713,452.950312,0.560430,1.037824,1.181
151,-2.190086,410.867713,452.950312,0.770884,2.157208,1.203
152,-4.946620,410.867713,452.950312,0.894724,2.179627,1.182
153,-2.887333,410.867713,452.950312,0.826793,1.565800,1.193
154,-1.657699,410.867713,452.950312,0.896981,0.676877,1.226
155,-3.016539,410.867713,452.950312,0.714061,2.033594,1.225
156,-4.948259,410.867713,452.950312,0.821678,1.721456,1.199
157,-2.013638,410.867713,452.950312,0.850968,1.582897,1.239
158,-3.634659,410.867713,452.950312,0.774160,0.603943,1.242
159,-1.259344,410.867713,452.950312,0.286355,1.708351,1.166
160,-5.407322,410.867713,444.475625,0.543127,2.571512,23.627
161,-3.514461,410.867713,444.475625,0.386530,2.169933,1.141
162,-2.441490,410.867713,444.475625,0.739705,1.414450,1.203
163,-4.502976,410.867713,444.475625,0.695031,2.643797,1.224
164,-2.706947,410.867713,444.475625,0.667261,1.470095,1.185
165,-3.814035,410.867713,444.475625,0.685551,0.768637,1.168
166,-3.057073,410.867713,444.475625,0.769433,3.164006,1.170
167,-5.359399,410.867713,444.475625,0.752945,2.982628,1.132
168,-2.726320,410.867713,444.475625,0.820538,2.350848,1.119
169,-4.387560,410.867713,444.475625,0.638918,2.258806,1.142
170,-2.631416,410.867713,444.475625,0.486857,2.223641,1.114
171,-1.664825,410.867713,444.475625,0.755303,1.641021,1.100
172,-2.567173,410.867713,444.475625,0.848748,1.476280,1.157
173,-3.583142,410.867713,444.475625,0.956909,1.174243,1.162
174,-2.212163,410.867713,444.475625,0.726858,0.901490,1.179
175,-2.749902,410.867713,444.475625,0.840968,1.187226,1.165
176,-4.114975,410.867713,444.475625,0.788786,1.893170,1.153
177,-3.890467,410.867713,444.475625,0.656246,1.040769,1.149
