scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,regime,crew_multiplier,u_bin
overall,ALL,atc,edd,rule-vs-rule,887,527,1428.0960668545658,1436.440227395716,8.34416054115001,1.98714832772509,14.207386584850092,14.280960668545658,7.35902745760126e-20,5.887221966081008e-19,equivalent,,,
overall,ALL,lpt,edd,rule-vs-rule,887,527,1428.0960668545658,14898.353685907554,13470.257619052987,11058.49128911133,16156.793512932452,14.280960668545658,2.5519063043943776e-60,3.062287565273253e-59,worse,,,
overall,ALL,pfifo,edd,rule-vs-rule,887,527,1428.0960668545658,1428.029585005637,-0.06648184892898812,-0.2112010944429497,0.008457930701655625,14.280960668545658,0.6858304344516057,0.6858304344516057,equivalent,,,
overall,ALL,random,edd,rule-vs-rule,887,527,1428.0960668545658,4790.174193686584,3362.0781268320175,2694.9458782388006,4086.582798905214,14.280960668545658,6.103514096208877e-63,9.155271144313316e-62,worse,,,
overall,ALL,wmdd,edd,rule-vs-rule,887,527,1428.0960668545658,1434.3142735062006,6.218206651634689,-0.15486583887515784,11.965909575452331,14.280960668545658,1.24992440898752e-18,6.2496220449376e-18,equivalent,,,
overall,ALL,wspt,edd,rule-vs-rule,887,527,1428.0960668545658,1678.3710122886132,250.2749454340474,202.1259066942777,302.22135631978233,14.280960668545658,8.901929918378347e-65,1.4243087869405355e-63,worse,,,
overall,ALL,rollcp2,edd,optimizer-vs-rule,160,64,515.9453837499999,510.40927375,-5.536109999999998,-16.358912123355267,1.3629760792520802,5.159453837499999,0.0004931852089917846,0.001479555626975354,inconclusive,,,
overall,ALL,v2rl301,edd,policy-vs-rule,887,527,1428.0960668545658,1462.6223954904174,34.52632863585128,17.040516665062704,55.68717230661702,14.280960668545658,0.16970222317996586,0.6788088927198634,worse,,,
overall,ALL,v2rl302,edd,policy-vs-rule,887,527,1428.0960668545658,1443.6361540022547,15.540087147688888,4.496061337208136,28.71856868281422,14.280960668545658,0.2777719014420592,0.8333157043261776,inconclusive,,,
overall,ALL,v2rl303,edd,policy-vs-rule,887,527,1428.0960668545658,1662.1289125140925,234.0328456595265,173.00227311639748,307.9008939309322,14.280960668545658,1.3307627384487881e-28,3.8592119415014855e-27,worse,,,
overall,ALL,v2rl304,edd,policy-vs-rule,887,527,1428.0960668545658,1428.31673416009,0.22066730552430514,-3.43126448486931,5.033491224925027,14.280960668545658,0.062134047276526404,0.310670236382632,equivalent,,,
overall,ALL,v2rl305,edd,policy-vs-rule,887,527,1428.0960668545658,1440.476807666291,12.380740811724895,3.821125540368351,22.716324338023803,14.280960668545658,0.028809315474526063,0.20166520832168244,inconclusive,,,
overall,ALL,v2rl306,edd,policy-vs-rule,887,527,1428.0960668545658,1457.7295161217587,29.633449267192827,15.597873715642718,46.400980068805055,14.280960668545658,0.2885199781635527,0.8333157043261776,worse,,,
overall,ALL,v2rl307,edd,policy-vs-rule,887,527,1428.0960668545658,1451.1049799323562,23.008913077790368,12.144678918685138,35.81643318128639,14.280960668545658,0.7338122362983621,0.8333157043261776,inconclusive,,,
overall,ALL,v2rl308,edd,policy-vs-rule,887,527,1428.0960668545658,1429.4361591882753,1.3400923337092152,-4.214665293946921,8.76945130657577,14.280960668545658,0.010224892961500767,0.0920240366535069,equivalent,,,
overall,ALL,v2rl309,edd,policy-vs-rule,887,527,1428.0960668545658,1629.2521087936868,201.1560419391207,146.80704131591384,264.03586925652445,14.280960668545658,1.766481181319565e-36,5.299443543958695e-35,worse,,,
overall,ALL,v2rl310,edd,policy-vs-rule,887,527,1428.0960668545658,1425.73302367531,-2.363043179255867,-6.887253145128201,2.1178534153908948,14.280960668545658,4.969424034736115e-05,0.0006957193648630561,equivalent,,,
