scope_type,scope,method,n_rows,mean,regime,crew_multiplier,u_bin
scope,regime=final-empirical|crew_multiplier=1.0,v2rl305,227,492.1600792951542,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl306,227,502.93699735682816,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl307,227,494.45946872246697,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl308,227,475.1610449339208,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl309,227,472.2694854625551,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl310,227,462.4837118942732,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,wmdd,227,454.9875286343613,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,wspt,227,461.6134149779736,final-empirical,1.0,
scope,regime=final-gen|crew_multiplier=1.0,atc,300,3357.982747666667,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,edd,300,3334.122935,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,lpt,300,43030.63908933334,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,pfifo,300,3333.9263703333336,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,random,300,13236.397561333331,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl301,300,3405.925198666667,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl302,300,3375.0660693333334,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl303,300,3978.4179933333335,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl304,300,3327.798242,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl305,300,3348.4978573333333,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl306,300,3389.076286666667,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl307,300,3377.832616,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl308,300,3328.3634653333334,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl309,300,3919.4518896666664,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,v2rl310,300,3327.4247600000003,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,wmdd,300,3354.9370946666663,final-gen,1.0,
scope,regime=final-gen|crew_multiplier=1.0,wspt,300,4064.612579,final-gen,1.0,
