update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
0,-1.835030,421.602650,1.012215,1.161250,2.282
1,-2.651461,421.602650,0.573405,1.125835,1.288
2,-3.742478,421.602650,0.531756,1.041860,1.213
3,-2.296400,421.602650,0.615213,1.583516,0.857
4,-2.541524,421.602650,0.867291,0.788451,1.255
5,-3.069109,421.602650,0.969464,0.878811,0.903
6,-1.873695,421.602650,1.030222,0.452904,1.260
7,-1.548614,421.602650,0.562414,0.398518,0.867
8,-3.589101,421.602650,0.586569,1.833547,1.213
9,-3.309002,421.602650,0.776286,1.311495,0.921
10,-3.019964,421.602650,0.428263,1.577365,1.246
11,-5.250466,421.602650,0.619682,2.072366,0.945
12,-1.771672,421.602650,0.487460,1.044356,1.289
13,-2.346379,421.602650,0.668188,1.025356,0.915
14,-2.046952,421.602650,0.761335,1.403434,1.186
15,-3.097090,421.602650,0.606177,1.099961,0.901
16,-2.898511,421.602650,0.664250,0.989312,1.186
17,-2.947756,421.602650,0.658318,1.269372,0.922
18,-2.968398,421.602650,0.741380,1.394859,1.220
19,-2.115377,421.602650,0.677286,0.716279,0.889
20,-2.418535,429.578200,0.492168,0.874096,2.305
21,-3.340152,429.578200,0.578279,2.106829,0.894
22,-3.348067,429.578200,0.674088,1.544852,1.231
23,-1.756867,429.578200,0.773341,1.175023,0.931
24,-2.637905,429.578200,0.603943,0.707155,1.264
25,-3.588535,429.578200,0.724275,2.155513,0.987
26,-3.849509,429.578200,0.674384,1.371805,1.220
27,-2.758854,429.578200,0.904409,1.659602,0.898
28,-4.369821,429.578200,0.775194,1.232136,1.229
29,-1.963178,429.578200,0.530646,2.297502,0.894
30,-5.781283,429.578200,0.372184,2.175766,1.185
31,-2.208000,429.578200,0.468418,1.269881,0.912
32,-2.012475,429.578200,0.417743,1.390051,1.256
33,-2.528654,429.578200,0.590691,1.100310,0.919
34,-2.242708,429.578200,0.518587,0.840423,1.202
35,-1.630561,429.578200,0.617451,0.810418,0.915
36,-1.339876,429.578200,0.795748,0.629141,1.223
37,-1.495677,429.578200,0.674973,0.665391,0.917
38,-1.939480,429.578200,0.659917,0.623250,1.234
39,-3.071700,429.578200,0.562202,0.972146,0.909
40,-1.652444,429.938200,0.646913,0.397310,2.351
41,-1.766835,429.938200,0.591701,0.948280,0.880
42,-3.082927,429.938200,0.504628,0.821793,1.219
43,-1.382808,429.938200,0.550032,0.490159,0.911
44,-3.042601,429.938200,0.800561,0.864509,1.210
45,-2.134009,429.938200,0.684259,1.294147,0.913
46,-2.926581,429.938200,0.588700,0.950048,1.182
47,-3.098130,429.938200,0.990513,1.386262,0.951
48,-4.025418,429.938200,0.745328,1.528265,1.254
49,-2.071936,429.938200,0.696804,1.392406,0.900
50,-2.916746,429.938200,0.722594,0.791982,1.206
51,-2.023990,429.938200,0.568683,0.978499,0.907
52,-2.390526,429.938200,0.717569,1.908490,1.230
53,-3.667824,429.938200,0.664949,1.353902,0.998
54,-4.002965,429.938200,0.533319,1.631753,1.155
55,-3.942016,429.938200,0.679579,1.778646,0.937
56,-2.709427,429.938200,0.740149,1.348539,1.197
57,-2.120251,429.938200,0.683839,0.647914,0.898
58,-1.478628,429.938200,0.496434,1.011281,1.181
59,-4.307002,429.938200,0.348038,1.019561,0.870
60,-2.233004,413.076525,0.714855,1.303760,2.339
61,-1.420741,413.076525,0.831588,0.822813,0.902
62,-3.224966,413.076525,0.720501,1.902829,1.237
63,-5.441672,413.076525,0.928416,2.954535,0.930
64,-3.420140,413.076525,0.604079,1.499465,1.239
65,-1.007364,413.076525,0.707193,1.236189,0.887
66,-3.148719,413.076525,0.950717,1.026659,1.261
67,-4.073853,413.076525,0.651281,1.547149,0.934
68,-1.293467,413.076525,0.638728,0.821519,1.222
69,-2.874130,413.076525,0.647805,0.789238,0.890
70,-1.783103,413.076525,0.786320,1.571779,1.204
71,-3.570556,413.076525,0.499085,1.790998,0.900
72,-1.310117,413.076525,0.668776,0.776763,1.281
73,-4.370245,413.076525,0.591997,1.838074,0.940
74,-1.761383,413.076525,0.646591,0.373697,1.204
75,-2.336922,413.076525,0.599324,0.698964,0.870
76,-3.572568,413.076525,0.596277,1.493494,1.270
77,-1.130254,413.076525,1.045919,1.035005,0.890
78,-2.119803,413.076525,0.601513,0.486446,1.176
79,-2.225429,413.076525,0.592441,1.654241,0.880
80,-5.337365,412.931600,0.829260,3.342426,2.388
81,-3.359386,412.931600,0.522242,1.437048,0.874
82,-2.043677,412.931600,0.561939,0.911574,1.218
83,-3.960263,412.931600,0.628070,1.706492,0.911
84,-2.286711,412.931600,0.703231,1.401013,1.205
85,-2.158802,412.931600,0.707559,0.662042,0.887
86,-2.240188,412.931600,0.471162,0.985068,1.231
87,-1.084292,412.931600,0.242537,0.322530,0.879
88,-1.025687,412.931600,0.370103,1.463296,1.141
89,-3.213680,412.931600,0.405870,0.640936,0.879
90,-2.359891,412.931600,0.814441,0.875129,1.184
91,-2.189024,412.931600,0.520260,1.811942,0.894
92,-4.511778,412.931600,0.228789,2.052243,1.166
93,-3.588449,412.931600,0.884328,1.020993,0.873
94,-1.753139,412.931600,0.710819,0.880156,1.221
95,-2.139686,412.931600,0.851163,0.523515,0.910
96,-2.182217,412.931600,0.673417,0.482887,1.231
97,-3.166140,412.931600,0.589389,1.921210,0.911
98,-2.236888,412.931600,0.634429,1.102583,1.204
99,-2.644239,412.931600,0.636078,1.028341,0.966
100,-3.037278,411.055213,0.695724,1.946443,2.338
101,-4.504663,411.055213,0.143518,1.618933,0.878
102,-4.013070,411.055213,0.539208,1.377328,1.207
103,-2.655633,411.055213,0.564927,1.841382,0.923
104,-2.294135,411.055213,0.754854,0.887382,1.253
105,-4.711496,411.055213,0.393317,2.611151,0.870
106,-3.345502,411.055213,0.641367,1.825575,1.243
107,-3.339262,411.055213,0.682881,1.247162,0.897
108,-2.148527,411.055213,0.791083,1.986512,1.217
109,-4.224340,411.055213,0.738312,2.349560,0.903
110,-2.962693,411.055213,0.550674,1.102011,1.174
111,-2.238658,411.055213,0.549658,1.142518,0.871
112,-2.320290,411.055213,0.810825,0.881663,1.233
113,-3.371874,411.055213,0.694085,2.021980,0.926
114,-2.689589,411.055213,0.502087,0.458398,1.212
115,-1.757017,411.055213,0.684631,0.917806,0.918
116,-2.496208,411.055213,0.680478,1.534716,1.240
117,-1.900343,411.055213,0.776324,1.496492,0.908
118,-3.574426,411.055213,0.672380,1.103235,1.191
119,-2.994235,411.055213,0.675204,0.656677,0.936
120,-1.329981,411.055213,0.597481,0.573106,2.355
121,-3.181243,411.055213,0.586259,1.404099,0.928
122,-4.463086,411.055213,0.304798,1.852391,1.164
123,-5.466233,411.055213,0.632083,1.555679,0.863
124,-2.928468,411.055213,0.673155,2.003553,1.287
125,-5.355048,411.055213,0.402540,2.187766,0.843
126,-1.248103,411.055213,0.634017,0.559903,1.232
127,-3.928079,411.055213,0.390340,2.905684,0.936
128,-4.446668,411.055213,0.345057,2.189504,1.251
129,-3.894968,411.055213,0.451446,2.172407,0.922
130,-2.330650,411.055213,0.985501,1.389381,1.261
131,-2.654279,411.055213,0.619252,1.866813,0.911
132,-4.391813,411.055213,0.638686,2.271103,1.230
133,-1.882042,411.055213,0.673654,0.623050,0.891
134,-2.556420,411.055213,0.348334,1.068030,1.184
135,-1.920655,411.055213,0.372779,1.032509,0.874
136,-3.009607,411.055213,0.527102,1.386445,1.252
137,-3.305325,411.055213,0.564503,1.673512,0.906
138,-1.285737,411.055213,0.555131,0.774786,1.239
