id,campus,track,split,size,regime,crew_multiplier,arrival_multiplier,pm_share_override,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,mean_ms_per_decision,mean_replan_s,u_target,u_realized,eval_set,pm_share,visibility_L,constant_by_construction,base_id
c05_final_150_0000_m0.6_L0,5,replay,test,150,vis-empirical,0.6,1.0,,v2rl310,310,1,0.0,40.5,11.832145333333335,0.0,,,0.0,0.0,0.03290399699471891,150,0.21935997996479273,,,1.0905797101449275,visibility,,0,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,50.5,9.006816,0.0,,,0.0,0.0,0.0005612070672214031,150,0.0037413804481426873,,,1.0905797101449275,visibility,,8,1,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,atc,301,1,0.0,41.0,7.536985333333332,0.0,,,0.0,0.0,0.001097804051823914,150,0.007318693678826094,,,1.0905797101449275,visibility,,8,1,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,wmdd,301,1,0.0,50.5,9.006816,0.0,,,0.0,0.0,0.0007410689722746611,150,0.004940459815164407,,,1.0905797101449275,visibility,,8,1,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,atc_la,301,1,0.0,41.0,7.536985333333332,0.0,,,0.0,0.0,0.0013285769382491708,150,0.008857179588327805,,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,rollcp2,0,1,0.0,58.41,8.316086666666667,0.0,,,0.0,0.0,107.26151533704251,54,1986.3243580933797,1.985025824371001,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl501,501,1,0.0,40.5,12.575838000000001,0.0,,,0.0,0.0,0.034330770024098456,150,0.22887180016065636,,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl502,502,1,0.0,40.5,12.318997333333334,0.0,,,0.0,0.0,0.03304893197491765,150,0.22032621316611767,,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl503,503,1,0.0,40.5,12.500688,0.0,,,0.0,0.0,0.03376960603054613,150,0.22513070687030753,,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl504,504,1,0.0,40.5,12.498114000000003,0.0,,,0.0,0.0,0.033969953074119985,150,0.22646635382746658,,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L8,5,replay,test,150,vis-empirical,0.6,1.0,,vis8rl505,505,1,0.0,40.5,7.910894666666667,0.0,,,0.0,0.0,0.03278815699741244,150,0.21858771331608295,,,1.0905797101449275,visibility,,8,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,50.5,9.006816,0.0,,,0.0,0.0,0.0005612070672214031,150,0.0037413804481426873,,,1.0905797101449275,visibility,,40,1,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,atc,301,1,0.0,41.0,7.536985333333332,0.0,,,0.0,0.0,0.001097804051823914,150,0.007318693678826094,,,1.0905797101449275,visibility,,40,1,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,wmdd,301,1,0.0,50.5,9.006816,0.0,,,0.0,0.0,0.0007410689722746611,150,0.004940459815164407,,,1.0905797101449275,visibility,,40,1,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,atc_la,301,1,0.0,41.0,7.536985333333332,0.0,,,0.0,0.0,0.0013209939934313297,150,0.008806626622875532,,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,rollcp2,0,1,0.0,60.43,8.040937333333334,0.0,,,0.0,0.0,103.22370262898039,52,1985.071204403469,1.983900863265332,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl501,501,1,0.0,40.5,12.575838000000003,0.0,,,0.0,0.0,0.033179109916090965,150,0.2211940661072731,,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl502,502,1,0.0,40.5,12.437666,0.0,,,0.0,0.0,0.033381753019057214,150,0.2225450201270481,,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl503,503,1,0.0,40.5,12.544721333333335,0.0,,,0.0,0.0,0.03285339009016752,150,0.2190226006011168,,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl504,504,1,0.0,40.5,12.498114000000003,0.0,,,0.0,0.0,0.03308492398355156,150,0.22056615989034375,,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_L40,5,replay,test,150,vis-empirical,0.6,1.0,,vis40rl505,505,1,0.0,40.5,7.910894666666667,0.0,,,0.0,0.0,0.032552147982642055,150,0.21701431988428035,,,1.0905797101449275,visibility,,40,0,c05_final_150_0000
c05_final_150_0000_m0.6_Lfull,5,replay,test,150,vis-empirical,0.6,1.0,,edd,301,1,0.0,50.5,9.006816,0.0,,,0.0,0.0,0.0005612070672214031,150,0.0037413804481426873,,,1.0905797101449275,visibility,,full,1,c05_final_150_0000
