regime,campus,u_target,u_realized_mean,method,mean_wwt,mean_breach_share,n
storm2,5,0.7,0.7015397643678168,atc,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,edd,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,lpt,22.46137333333336,0.0006343772271034532,30
storm2,5,0.7,0.7015397643678168,pfifo,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,random,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,rl301,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,rl302,29.14630000000001,0.00067662537884533,30
storm2,5,0.7,0.7015397643678168,rl303,7.865620000000011,0.00011569047825841335,30
storm2,5,0.7,0.7226856182650871,rollcp2,0.0,0.0,8
storm2,5,0.7,0.7015397643678168,v2at301,1.006146666666667,4.392022809469e-05,30
storm2,5,0.7,0.7015397643678168,v2at302,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2at303,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2at304,14.510539999999999,0.0003612128519247667,30
storm2,5,0.7,0.7015397643678168,v2at305,37.35572666666668,0.00099387334698087,30
storm2,5,0.7,0.7015397643678168,v2at306,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2at307,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2at308,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2at309,5.279960000000004,0.00017213699521557334,30
storm2,5,0.7,0.7015397643678168,v2at310,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl301,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl302,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl303,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl304,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl305,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl306,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl307,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl308,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,v2rl309,1.2254466666666644,4.329771075509667e-05,30
storm2,5,0.7,0.7015397643678168,v2rl310,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,wmdd,0.0,0.0,30
storm2,5,0.7,0.7015397643678168,wspt,1.5116066666666663,0.00010192022127215,30
storm2,5,0.9,0.9033773936781616,atc,3.265666666666665,2.230400356864e-05,30
storm2,5,0.9,0.9033773936781616,edd,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,lpt,640.5868866666665,0.01030492370935317,30
storm2,5,0.9,0.9033773936781616,pfifo,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,random,27.183146666666666,0.0005404218839086933,30
storm2,5,0.9,0.9033773936781616,rl301,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,rl302,562.3623266666668,0.006319002317512219,30
storm2,5,0.9,0.9033773936781616,rl303,156.71081333333333,0.00189245875636621,30
storm2,5,0.9,0.9128883405172424,rollcp2,0.0,0.0,8
storm2,5,0.9,0.9033773936781616,v2at301,35.305146666666666,0.00051746547914722,30
storm2,5,0.9,0.9033773936781616,v2at302,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2at303,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2at304,310.8584866666667,0.003331749265680783,30
storm2,5,0.9,0.9033773936781616,v2at305,692.4420266666667,0.00909222863622314,30
storm2,5,0.9,0.9033773936781616,v2at306,15.010066666666672,0.00029254202006478666,30
storm2,5,0.9,0.9033773936781616,v2at307,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2at308,0.3175266666666668,1.1181930001116666e-05,30
storm2,5,0.9,0.9033773936781616,v2at309,205.9201533333333,0.00245944010595879,30
storm2,5,0.9,0.9033773936781616,v2at310,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl301,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl302,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl303,4.866926666666663,0.00012282869794697667,30
storm2,5,0.9,0.9033773936781616,v2rl304,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl305,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl306,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl307,0.4547266666666673,3.3545790003353335e-05,30
storm2,5,0.9,0.9033773936781616,v2rl308,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,v2rl309,65.21172666666668,0.0007524512507412,30
storm2,5,0.9,0.9033773936781616,v2rl310,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,wmdd,0.0,0.0,30
storm2,5,0.9,0.9033773936781616,wspt,99.2632066666667,0.0014658628098492734,30
storm2,5,1.0,0.9975289299568962,atc,7.908026666666668,8.052823369706001e-05,30
storm2,5,1.0,0.9975289299568962,edd,2.3146866666666637,6.0465825753756664e-05,30
storm2,5,1.0,0.9975289299568962,lpt,2550.158880000001,0.026831908129494427,30
storm2,5,1.0,0.9975289299568962,pfifo,2.3146866666666637,6.0465825753756664e-05,30
storm2,5,1.0,0.9975289299568962,random,243.04023333333333,0.0025448888139619503,30
storm2,5,1.0,0.9975289299568962,rl301,0.6386000000000005,6.0254979151193335e-05,30
storm2,5,1.0,0.9975289299568962,rl302,1656.3325266666666,0.01076917157469655,30
storm2,5,1.0,0.9975289299568962,rl303,516.3917,0.00389401200285855,30
storm2,5,1.0,1.0027726346982757,rollcp2,0.0,0.0,8
storm2,5,1.0,0.9975289299568962,v2at301,130.37686666666667,0.0016174616441744735,30
storm2,5,1.0,0.9975289299568962,v2at302,1.2288133333333444,8.078360092900999e-05,30
storm2,5,1.0,0.9975289299568962,v2at303,3.3394000000000026,8.037346784555334e-05,30
storm2,5,1.0,0.9975289299568962,v2at304,919.62722,0.005538938710198377,30
storm2,5,1.0,0.9975289299568962,v2at305,2038.6022600000001,0.014994814072998434,30
storm2,5,1.0,0.9975289299568962,v2at306,96.11932666666671,0.0010610242607488533,30
storm2,5,1.0,0.9975289299568962,v2at307,4.324299999999996,6.102066111199333e-05,30
storm2,5,1.0,0.9975289299568962,v2at308,6.566359999999991,0.0001314661785497567,30
storm2,5,1.0,0.9975289299568962,v2at309,657.03212,0.004404394557587553,30
storm2,5,1.0,0.9975289299568962,v2at310,1.0854000000000024,3.0040357802636664e-05,30
storm2,5,1.0,0.9975289299568962,v2rl301,1.7639000000000142,8.078360092900999e-05,30
storm2,5,1.0,0.9975289299568962,v2rl302,1.5467266666666812,0.00010068336267234666,30
storm2,5,1.0,0.9975289299568962,v2rl303,68.19990000000006,0.0010049001191409733,30
storm2,5,1.0,0.9975289299568962,v2rl304,4.166366666666696,0.00025180279513153,30
storm2,5,1.0,0.9975289299568962,v2rl305,2.3337400000000192,0.00011082395873165,30
storm2,5,1.0,0.9975289299568962,v2rl306,4.571406666666714,0.00031164473281491,30
storm2,5,1.0,0.9975289299568962,v2rl307,7.069553333333368,0.00038460903511314666,30
storm2,5,1.0,0.9975289299568962,v2rl308,1.1727866666666862,0.00010115376470718001,30
storm2,5,1.0,0.9975289299568962,v2rl309,306.0969666666667,0.0020128714944428806,30
storm2,5,1.0,0.9975289299568962,v2rl310,0.7946466666666708,6.033420815101667e-05,30
storm2,5,1.0,0.9975289299568962,wmdd,4.235726666666668,4.0269925521503326e-05,30
storm2,5,1.0,0.9975289299568962,wspt,362.51375333333334,0.0034280872693630065,30
storm2,5,1.1,1.084518618534483,atc,9.892099999999983,0.00013853818835357333,30
storm2,5,1.1,1.084518618534483,edd,7.122559999999966,0.00020138465305445668,30
storm2,5,1.1,1.084518618534483,lpt,5398.135033333333,0.043867203013849033,30
storm2,5,1.1,1.084518618534483,pfifo,7.122559999999966,0.00020138465305445668,30
storm2,5,1.1,1.084518618534483,random,679.1165333333335,0.006053956479285579,30
storm2,5,1.1,1.084518618534483,rl301,7.430193333333329,0.00024678870544978334,30
storm2,5,1.1,1.084518618534483,rl302,2919.5202799999997,0.014438524606778582,30
storm2,5,1.1,1.084518618534483,rl303,748.2374733333332,0.005284417842973493,30
storm2,5,1.1,1.0724458809267245,rollcp2,24.81427499999985,0.0004820936639118375,8
storm2,5,1.1,1.084518618534483,v2at301,233.92259333333334,0.003041185321100883,30
storm2,5,1.1,1.084518618534483,v2at302,8.967299999999947,0.0002928726648990133,30
storm2,5,1.1,1.084518618534483,v2at303,38.457726666666666,0.00031941447921554335,30
storm2,5,1.1,1.084518618534483,v2at304,1619.4434133333332,0.007594101852931421,30
storm2,5,1.1,1.084518618534483,v2at305,3572.8388800000002,0.019203695473567706,30
storm2,5,1.1,1.084518618534483,v2at306,245.50782666666663,0.00225921851280713,30
storm2,5,1.1,1.084518618534483,v2at307,10.278306666666658,0.0002103997928768167,30
storm2,5,1.1,1.084518618534483,v2at308,33.554313333333276,0.0003395425997018867,30
storm2,5,1.1,1.084518618534483,v2at309,1351.771433333333,0.006808450408587534,30
storm2,5,1.1,1.084518618534483,v2at310,7.135239999999992,0.00011913184850206999,30
storm2,5,1.1,1.084518618534483,v2rl301,10.962839999999993,0.00036493627474569327,30
storm2,5,1.1,1.084518618534483,v2rl302,7.5160066666665974,0.0002926983155658133,30
storm2,5,1.1,1.084518618534483,v2rl303,105.36718666666664,0.0015944420353857169,30
storm2,5,1.1,1.084518618534483,v2rl304,10.530553333333302,0.0003221075492583833,30
storm2,5,1.1,1.084518618534483,v2rl305,10.079299999999966,0.0002655028770271133,30
storm2,5,1.1,1.084518618534483,v2rl306,42.1655733333333,0.0007607757979468532,30
storm2,5,1.1,1.084518618534483,v2rl307,65.60942666666662,0.0013691455522563266,30
storm2,5,1.1,1.084518618534483,v2rl308,7.566453333333279,0.00026556818095158335,30
storm2,5,1.1,1.084518618534483,v2rl309,476.7007599999999,0.00300481576333587,30
storm2,5,1.1,1.084518618534483,v2rl310,7.205613333333302,0.00028311906679839,30
storm2,5,1.1,1.084518618534483,wmdd,4.366706666666659,7.334877407367666e-05,30
storm2,5,1.1,1.084518618534483,wspt,802.5547933333331,0.00596479160609391,30
storm2,5,1.3,1.305757768318964,atc,96.33112666666672,0.0012019664053093567,30
storm2,5,1.3,1.305757768318964,edd,148.48055000000005,0.0025927035816671338,30
storm2,5,1.3,1.305757768318964,lpt,20176.922880000002,0.10780511607727374,30
storm2,5,1.3,1.305757768318964,pfifo,148.48055000000005,0.0025927035816671338,30
storm2,5,1.3,1.305757768318964,random,3307.6730666666667,0.020625371803401363,30
storm2,5,1.3,1.305757768318964,rl301,171.72789333333353,0.003089343132435214,30
storm2,5,1.3,1.305757768318964,rl302,6596.199899999999,0.01881692598974745,30
storm2,5,1.3,1.305757768318964,rl303,2519.5136466666663,0.01233445838216177,30
storm2,5,1.3,1.3209527424568952,rollcp2,174.61045000000053,0.0031373549411179372,8
storm2,5,1.3,1.305757768318964,v2at301,851.0016800000001,0.010171610615373401,30
storm2,5,1.3,1.305757768318964,v2at302,184.20683333333363,0.00332453353919796,30
storm2,5,1.3,1.305757768318964,v2at303,440.2667766666668,0.00226060129608496,30
storm2,5,1.3,1.305757768318964,v2at304,3764.3929466666673,0.0112830200759493,30
storm2,5,1.3,1.305757768318964,v2at305,7444.36182,0.0233943635619197,30
storm2,5,1.3,1.305757768318964,v2at306,1097.1657233333337,0.006258209056987605,30
storm2,5,1.3,1.305757768318964,v2at307,160.71452000000005,0.002041659258374693,30
storm2,5,1.3,1.305757768318964,v2at308,271.6977700000001,0.0024127837740793795,30
storm2,5,1.3,1.305757768318964,v2at309,3411.8661933333337,0.010907106959215335,30
storm2,5,1.3,1.305757768318964,v2at310,125.84465000000016,0.0014894561192043535,30
storm2,5,1.3,1.305757768318964,v2rl301,224.5028933333335,0.0035346052617731432,30
storm2,5,1.3,1.305757768318964,v2rl302,125.40414666666679,0.0027877086768293403,30
storm2,5,1.3,1.305757768318964,v2rl303,830.3465933333333,0.008279416885553528,30
storm2,5,1.3,1.305757768318964,v2rl304,120.16072666666679,0.0025988541431749865,30
storm2,5,1.3,1.305757768318964,v2rl305,179.22983333333352,0.002926397074636877,30
storm2,5,1.3,1.305757768318964,v2rl306,306.80813999999975,0.005524694192920411,30
storm2,5,1.3,1.305757768318964,v2rl307,496.0672933333334,0.008483057174912169,30
storm2,5,1.3,1.305757768318964,v2rl308,121.95397333333355,0.0028796491323216165,30
storm2,5,1.3,1.305757768318964,v2rl309,2123.543956666667,0.010120492285343447,30
storm2,5,1.3,1.305757768318964,v2rl310,159.2609933333335,0.0033006327384686603,30
storm2,5,1.3,1.305757768318964,wmdd,81.94370000000005,0.0012405200530620933,30
storm2,5,1.3,1.305757768318964,wspt,2468.480616666667,0.013188472328163524,30
storm2,9,0.7,0.6930742735690234,atc,522.6511466666668,0.005591661308590201,30
storm2,9,0.7,0.6930742735690234,edd,523.0985200000001,0.0055924928655898464,30
storm2,9,0.7,0.6930742735690234,lpt,825.6754133333333,0.008864117401162176,30
storm2,9,0.7,0.6930742735690234,pfifo,523.0985200000001,0.0055924928655898464,30
storm2,9,0.7,0.6930742735690234,random,559.4907866666667,0.006269923731826866,30
storm2,9,0.7,0.6930742735690234,rl301,522.82772,0.005656290549729174,30
storm2,9,0.7,0.6930742735690234,rl302,522.6592,0.005591661308590201,30
storm2,9,0.7,0.6930742735690234,rl303,523.2626266666668,0.005614236722950142,30
storm2,9,0.7,0.6984659027777782,rollcp2,616.8869000000001,0.006303021143820187,8
storm2,9,0.7,0.6930742735690234,v2at301,643.3205066666668,0.007617672428039199,30
storm2,9,0.7,0.6930742735690234,v2at302,523.4430533333334,0.005612731683642874,30
storm2,9,0.7,0.6930742735690234,v2at303,523.95516,0.005613152819443414,30
storm2,9,0.7,0.6930742735690234,v2at304,523.8770000000001,0.005571422490537173,30
storm2,9,0.7,0.6930742735690234,v2at305,524.7771866666667,0.005632970501695897,30
storm2,9,0.7,0.6930742735690234,v2at306,523.75984,0.005591661308590201,30
storm2,9,0.7,0.6930742735690234,v2at307,522.7681066666668,0.005591661308590201,30
storm2,9,0.7,0.6930742735690234,v2at308,523.7730533333335,0.005591661308590201,30
storm2,9,0.7,0.6930742735690234,v2at309,522.5831200000001,0.005591661308590201,30
storm2,9,0.7,0.6930742735690234,v2at310,522.3823333333333,0.005612731683642874,30
storm2,9,0.7,0.6930742735690234,v2rl301,522.6042266666667,0.0056342231944960875,30
storm2,9,0.7,0.6930742735690234,v2rl302,522.6938400000001,0.005612731683642874,30
storm2,9,0.7,0.6930742735690234,v2rl303,522.5264533333333,0.005612731683642874,30
storm2,9,0.7,0.6930742735690234,v2rl304,522.9341466666668,0.005612731683642874,30
storm2,9,0.7,0.6930742735690234,v2rl305,523.2524266666668,0.005612731683642874,30
