scope_type,regime,campus,size,crew_multiplier,arrival_multiplier,seed,pdr,n_pairs,mean_rl,mean_pdr,delta,wilcoxon_p,wins,ties,losses,beats
cell,pmmix,5,150,1.0,1.0,301,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,150,1.0,1.0,302,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,150,1.0,1.0,303,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,150,1.0,1.0,pooled,pfifo,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,150,1.0,1.0,301,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,150,1.0,1.0,302,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,150,1.0,1.0,303,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,150,1.0,1.0,pooled,lpt,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,0.6,1.0,301,edd,90,0.2551733333333336,0.2551733333333336,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.6,1.0,302,edd,90,0.2664244444444446,0.2551733333333336,0.011251111111110983,0.31731050786291415,0,89,1,0
cell,pmmix,5,400,0.6,1.0,303,edd,90,0.2551733333333336,0.2551733333333336,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.6,1.0,pooled,edd,270,0.25892370370370393,0.2551733333333336,0.0037503703703703276,0.31731050786291415,0,269,1,0
cell,pmmix,5,400,0.6,1.0,301,wspt,90,0.2551733333333336,0.4304866666666666,-0.175313333333333,0.31731050786291415,1,89,0,0
cell,pmmix,5,400,0.6,1.0,302,wspt,90,0.2664244444444446,0.4304866666666666,-0.16406222222222203,0.31731050786291415,1,89,0,0
cell,pmmix,5,400,0.6,1.0,303,wspt,90,0.2551733333333336,0.4304866666666666,-0.175313333333333,0.31731050786291415,1,89,0,0
cell,pmmix,5,400,0.6,1.0,pooled,wspt,270,0.25892370370370393,0.4304866666666666,-0.17156296296296267,0.10247043485974937,3,267,0,0
cell,pmmix,5,400,0.6,1.0,301,atc,90,0.2551733333333336,0.2733133333333336,-0.01813999999999996,0.31731050786291415,1,89,0,0
cell,pmmix,5,400,0.6,1.0,302,atc,90,0.2664244444444446,0.2733133333333336,-0.006888888888888979,0.31731050786291415,0,90,0,0
cell,pmmix,5,400,0.6,1.0,303,atc,90,0.2551733333333336,0.2733133333333336,-0.01813999999999996,0.31731050786291415,1,89,0,0
cell,pmmix,5,400,0.6,1.0,pooled,atc,270,0.25892370370370393,0.27331333333333363,-0.014389629629629634,0.10247043485974937,2,268,0,0
cell,pmmix,5,400,0.6,1.0,301,pfifo,90,0.2551733333333336,0.2551733333333336,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.6,1.0,302,pfifo,90,0.2664244444444446,0.2551733333333336,0.011251111111110983,0.31731050786291415,0,89,1,0
cell,pmmix,5,400,0.6,1.0,303,pfifo,90,0.2551733333333336,0.2551733333333336,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.6,1.0,pooled,pfifo,270,0.25892370370370393,0.2551733333333336,0.0037503703703703276,0.31731050786291415,0,269,1,0
cell,pmmix,5,400,0.6,1.0,301,lpt,90,0.2551733333333336,0.2551733333333336,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.6,1.0,302,lpt,90,0.2664244444444446,0.2551733333333336,0.011251111111110983,0.31731050786291415,0,89,1,0
cell,pmmix,5,400,0.6,1.0,303,lpt,90,0.2551733333333336,0.2551733333333336,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.6,1.0,pooled,lpt,270,0.25892370370370393,0.2551733333333336,0.0037503703703703276,0.31731050786291415,0,269,1,0
cell,pmmix,5,400,0.8,1.0,301,edd,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,302,edd,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,303,edd,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,pooled,edd,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,0.8,1.0,301,wspt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,302,wspt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,303,wspt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,pooled,wspt,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,0.8,1.0,301,atc,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,302,atc,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,303,atc,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,pooled,atc,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,0.8,1.0,301,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,302,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,303,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,pooled,pfifo,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,0.8,1.0,301,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,302,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,303,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,0.8,1.0,pooled,lpt,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,1.0,1.0,301,edd,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,302,edd,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,303,edd,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,pooled,edd,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,1.0,1.0,301,wspt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,302,wspt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,303,wspt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,pooled,wspt,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,1.0,1.0,301,atc,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,302,atc,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,303,atc,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,pooled,atc,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,1.0,1.0,301,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,302,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,303,pfifo,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,pooled,pfifo,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,5,400,1.0,1.0,301,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,302,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,303,lpt,90,0.0,0.0,0.0,1.0,0,90,0,0
cell,pmmix,5,400,1.0,1.0,pooled,lpt,270,0.0,0.0,0.0,1.0,0,270,0,0
cell,pmmix,9,150,0.6,1.0,301,edd,90,97.12034222222222,97.12034222222222,0.0,1.0,0,90,0,0
