campus,trade,crew,p95_weekly_hours,rows,q
1,B20,1,16.12,750,0.75
1,C10,3,87.0,4452,0.75
1,C30,4,145.0,2768,0.75
1,D20,11,401.17,17342,0.75
1,D30,15,562.43,17261,0.75
1,D40,6,222.88,9560,0.75
1,D50,10,380.49,18538,0.75
1,D90,5,189.23,1403,0.75
1,E10,1,35.75,1257,0.75
1,E20,1,31.75,835,0.75
1,MISC,3,89.0,1694,0.75
2,C10,1,13.0,54,0.75
2,D20,3,90.86,358,0.75
2,D30,3,108.72,607,0.75
2,D40,1,29.0,77,0.75
2,D50,3,90.86,233,0.75
2,E10,3,83.72,449,0.75
2,MISC,5,170.28,260,0.75
5,B20,1,31.75,9362,0.75
5,B30,2,73.0,8051,0.75
5,C10,2,55.5,22435,0.75
5,C30,2,63.0,5417,0.75
5,D20,10,372.0,90814,0.75
5,D30,16,600.6,135133,0.75
5,D40,1,11.0,30851,0.75
5,D50,3,84.75,17891,0.75
5,E10,1,40.0,6877,0.75
5,E20,1,32.5,2419,0.75
5,MISC,1,16.0,929,0.75
9,B20,1,26.12,1231,0.75
9,B30,3,81.0,1333,0.75
9,C10,2,52.0,4567,0.75
9,C30,3,110.25,2193,0.75
9,D10,1,10.0,1076,0.75
9,D20,7,269.25,14755,0.75
9,D30,14,544.38,25379,0.75
9,D40,4,139.12,5332,0.75
9,D50,9,335.06,29238,0.75
9,D90,4,130.5,4422,0.75
9,E10,4,132.52,2447,0.75
9,E20,1,17.25,938,0.75
9,MISC,1,39.0,937,0.75
10,B20,2,66.0,4156,0.75
10,B30,1,15.5,526,0.75
10,C10,4,134.25,5447,0.75
10,C30,3,96.88,2350,0.75
10,D20,13,504.25,25056,0.75
10,D30,26,1038.82,62247,0.75
10,D40,29,1147.69,9527,0.75
10,D50,16,614.44,81949,0.75
10,D90,3,105.69,3034,0.75
10,E10,4,135.5,7031,0.75
10,E20,1,21.12,570,0.75
10,MISC,1,16.31,396,0.75
10,UNK,1,26.44,351,0.75
12,B20,6,222.55,1432,0.75
12,B30,4,125.97,299,0.75
12,C10,7,276.7,5579,0.75
12,C30,10,390.91,1255,0.75
12,D20,19,738.11,6177,0.75
12,D30,34,1356.06,6895,0.75
12,D40,4,151.7,704,0.75
12,D50,18,714.44,5848,0.75
12,D90,6,208.25,832,0.75
12,E10,7,246.68,1771,0.75
12,E20,7,262.4,2296,0.75
12,MISC,9,330.97,800,0.75
12,UNK,2,78.5,268,0.75
