id,campus,track,split,size,regime,crew_multiplier,arrival_multiplier,pm_share_override,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds,decisions,mean_ms_per_decision,mean_replan_s,u_target,u_realized,eval_set
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at303,303,1,422.4592,96.9089,5.452671333333333,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.1646532160229981,150,1.0976881068199873,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at304,304,1,422.4592,96.9089,5.453462666666667,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.16536326694767922,150,1.1024217796511948,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at305,305,1,422.4592,96.9089,5.507173333333333,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.17042142804712057,150,1.1361428536474705,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at306,306,1,422.4592,96.9089,5.453462666666667,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.1263402800541371,150,0.8422685336942474,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at307,307,1,422.4592,96.9089,5.466796,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.08490226895082742,150,0.5660151263388494,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at308,308,1,422.4592,96.9089,5.438273333333333,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.10534490190912038,150,0.7022993460608026,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at309,309,1,422.4592,96.9089,5.453462666666666,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.13735947699751705,150,0.9157298466501137,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,v2at310,310,1,422.4592,96.9089,5.478754666666667,0.02,,0.02040816326530612,0.047619047619047616,0.0,0.18038301693741232,150,1.2025534462494154,,,0.6041062960127722,final
c01_final_150_0000,1,replay,test,150,final-empirical,1.0,1.0,,rollcp2,0,1,422.4886,96.9108,5.4656253333333344,0.02,,0.02040816326530612,0.047619047619047616,0.0,4.473656955990009,74,60.454823729594715,0.06021527344253971,,0.6041062960127722,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,edd,301,1,0.0,91.1517,3.5690346666666666,0.0,0.0,0.0,,0.0,0.0006284660194069147,150,0.004189773462712765,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,pfifo,301,1,0.0,91.1517,3.5690346666666666,0.0,0.0,0.0,,0.0,0.0004148769658058882,150,0.002765846438705921,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,wspt,301,1,0.0,91.1517,3.3472966666666664,0.0,0.0,0.0,,0.0,0.00041347392834722996,150,0.0027564928556481996,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,atc,301,1,0.0,91.1517,3.3472966666666664,0.0,0.0,0.0,,0.0,0.0006997219752520323,150,0.004664813168346882,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,wmdd,301,1,0.0,91.1517,3.5690346666666666,0.0,0.0,0.0,,0.0,0.0004935079487040639,150,0.003290052991360426,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,lpt,301,1,0.0,91.1517,3.717578,0.0,0.0,0.0,,0.0,0.00037129793781787157,150,0.002475319585452477,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,random,301,1,0.0,91.1517,3.488762,0.0,0.0,0.0,,0.0,0.00030294700991362333,150,0.0020196467327574887,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,rl301,301,1,0.0,91.1517,3.3472966666666664,0.0,0.0,0.0,,0.0,0.05364439403638244,150,0.3576292935758829,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,rl302,302,1,0.0,91.1517,3.717578000000001,0.0,0.0,0.0,,0.0,0.05368299502879381,150,0.3578866335252921,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,rl303,303,1,0.0,91.1517,3.717578000000001,0.0,0.0,0.0,,0.0,0.054444955894723535,150,0.36296637263149023,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl301,301,1,0.0,91.1517,3.717578000000001,0.0,0.0,0.0,,0.0,0.05327188002411276,150,0.3551458668274184,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl302,302,1,0.0,91.1517,3.717578,0.0,0.0,0.0,,0.0,0.05802805791608989,150,0.38685371944059926,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl303,303,1,0.0,91.1517,3.717578,0.0,0.0,0.0,,0.0,0.053482331917621195,150,0.356548879450808,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl304,304,1,0.0,91.1517,3.3877293333333336,0.0,0.0,0.0,,0.0,0.053658856893889606,150,0.3577257126259307,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl305,305,1,0.0,91.1517,3.717578,0.0,0.0,0.0,,0.0,0.05271214002277702,150,0.35141426681851345,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl306,306,1,0.0,91.1517,3.717578000000001,0.0,0.0,0.0,,0.0,0.05254750093445182,150,0.35031667289634544,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl307,307,1,0.0,91.1517,3.382773333333333,0.0,0.0,0.0,,0.0,0.052761364961043,150,0.35174243307362,,,1.2615230556874162,final
c01_final_150_0001,1,replay,test,150,final-empirical,1.0,1.0,,v2rl308,308,1,0.0,91.1517,3.710911333333334,0.0,0.0,0.0,,0.0,0.05232611100655049,150,0.34884074004366994,,,1.2615230556874162,final
