update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
117,-2.178379,410.680213,0.859057,0.713143,0.923
118,-2.838549,410.680213,0.444596,1.563383,1.180
119,-2.946967,410.680213,0.811516,0.682271,0.941
120,-4.307594,409.934388,0.387712,1.230487,2.192
121,-2.346809,409.934388,0.593594,0.845463,0.950
122,-4.205836,409.934388,0.741831,2.492412,1.198
123,-4.141579,409.934388,0.801750,2.055694,0.921
124,-3.018168,409.934388,0.682661,0.815236,1.224
125,-3.832000,409.934388,0.603903,1.588121,0.913
126,-2.249300,409.934388,0.592357,0.822336,1.190
127,-2.260009,409.934388,0.616789,1.278764,0.948
128,-3.124555,409.934388,0.382505,1.007710,1.202
129,-2.504100,409.934388,0.755442,1.122805,0.878
130,-4.975236,409.934388,0.757332,2.073900,1.246
131,-5.170373,409.934388,0.632752,2.272583,0.885
132,-2.469332,409.934388,0.929474,0.966267,1.204
133,-2.417676,409.934388,0.763289,1.066069,0.897
134,-3.129984,409.934388,0.590037,1.445909,1.202
135,-2.869542,409.934388,1.014421,1.798768,0.898
136,-2.926188,409.934388,0.714339,1.580386,0.926
137,-2.724363,409.934388,0.431537,1.728609,0.923
138,-4.037086,409.934388,0.604753,1.708926,1.298
139,-2.253208,409.934388,0.422217,1.324484,0.948
140,-3.142615,410.680213,0.817757,1.103325,2.260
141,-1.791678,410.680213,0.725920,0.895190,1.022
142,-3.646230,410.680213,1.051391,1.792190,1.334
143,-1.916806,410.680213,0.490372,1.150546,0.997
144,-2.228602,410.680213,0.277353,1.043704,1.207
145,-1.665183,410.680213,0.524013,0.236289,0.964
146,-2.127876,410.680213,0.679834,1.180280,1.333
147,-4.471190,410.680213,0.659186,1.486894,0.977
148,-2.306207,410.680213,0.832042,0.978846,1.275
149,-2.202491,410.680213,0.839651,1.693399,1.058
150,-3.023473,410.680213,0.431191,0.828153,1.244
151,-1.809256,410.680213,0.661826,0.618459,0.954
152,-4.003228,410.680213,0.600786,2.378870,1.252
153,-3.358155,410.680213,0.443122,1.871596,1.005
154,-3.014803,410.680213,0.693936,1.362128,1.338
155,-1.710627,410.680213,0.585575,1.074316,1.081
156,-2.441379,410.680213,0.689986,1.145585,1.378
157,-3.100814,410.680213,1.203395,0.878228,1.060
158,-2.991442,410.680213,0.909183,1.194460,1.300
159,-2.826763,410.680213,0.629250,1.543146,0.982
160,-2.909986,410.680213,0.545009,0.690350,2.326
161,-0.972737,410.680213,0.486178,1.367396,0.989
162,-6.182909,410.680213,0.726531,1.327546,1.234
163,-2.320935,410.680213,0.662961,1.769603,0.997
164,-4.796058,410.680213,0.479611,2.044580,1.406
165,-4.556967,410.680213,0.537747,2.837810,1.111
166,-2.865070,410.680213,0.544205,1.639304,1.480
167,-1.708367,410.680213,0.497498,1.073490,1.167
168,-1.893097,410.680213,0.641632,1.104478,1.379
169,-3.683202,410.680213,0.336147,0.881905,0.959
170,-4.451525,410.680213,0.390705,1.876412,1.391
171,-2.569421,410.680213,0.344088,1.207460,1.033
172,-3.034537,410.680213,0.596236,2.163368,1.263
173,-5.156070,410.680213,0.579503,1.837752,0.997
174,-3.815558,410.680213,0.624848,1.633095,1.331
175,-1.933846,410.680213,0.603086,0.616465,0.995
176,-2.442139,410.680213,0.432241,1.160615,1.291
177,-4.839275,410.680213,0.840325,1.350099,1.175
178,-1.219071,410.680213,0.706684,0.744456,1.436
179,-3.821077,410.680213,0.611971,1.053566,1.147
180,-2.675622,410.680213,0.566680,1.705386,2.870
181,-6.300225,410.680213,0.818166,2.720908,1.032
182,-4.345116,410.680213,0.588309,1.312086,1.272
183,-3.538630,410.680213,0.510281,1.311710,1.015
184,-1.881399,410.680213,0.244203,0.785606,1.240
185,-2.905120,410.680213,0.761322,1.223076,1.134
186,-4.415534,410.680213,0.686808,1.458850,1.433
187,-1.742237,410.680213,0.753175,0.955777,1.143
188,-3.027739,410.680213,0.526243,1.604533,1.348
189,-2.641284,410.680213,0.656128,1.469178,0.982
190,-3.263031,410.680213,0.523737,0.902030,1.233
191,-2.579100,410.680213,0.507968,2.409721,0.998
192,-5.053886,410.680213,0.652945,2.372958,1.386
193,-2.093411,410.680213,0.489941,1.027587,1.066
194,-1.022138,410.680213,0.531059,1.459158,1.239
195,-4.422394,410.680213,0.564929,1.416659,1.222
196,-2.354460,410.680213,0.763425,0.908302,1.429
197,-2.524501,410.680213,0.676082,0.978458,1.006
198,-3.675644,410.680213,0.509966,1.641749,1.259
199,-1.821750,410.680213,0.785674,0.809823,0.994
200,-4.501563,410.680213,0.469282,1.636300,2.366
201,-3.346917,410.680213,0.592347,1.350711,1.013
202,-2.587255,410.680213,0.614121,0.935173,1.316
203,-1.576602,410.680213,0.463936,0.972974,1.043
204,-3.587290,410.680213,0.535416,1.546069,1.295
205,-2.139581,410.680213,0.780658,1.045008,1.046
206,-3.788269,410.680213,0.771309,1.480687,1.349
207,-2.131064,410.680213,0.486546,0.963555,1.005
208,-3.277448,410.680213,0.374607,1.255951,1.377
209,-3.757904,410.680213,0.450735,1.664515,1.135
210,-2.035599,410.680213,0.433616,0.679703,1.442
211,-1.535804,410.680213,0.347864,1.846031,1.166
212,-2.918385,410.680213,0.811224,0.447081,1.523
213,-1.962205,410.680213,0.687591,1.056405,1.221
214,-3.952798,410.680213,0.628337,1.725824,1.504
215,-2.716206,410.680213,0.851286,0.843517,1.216
216,-3.250579,410.680213,0.766354,1.636648,1.418
217,-4.497832,410.680213,0.578319,1.203581,1.030
218,-1.103291,410.680213,0.591776,0.255308,1.351
219,-0.982334,410.680213,0.595853,0.343027,1.198
220,-2.362629,410.680213,0.476380,1.486964,2.641
221,-3.951325,410.680213,0.661030,1.179139,1.070
222,-4.193326,410.680213,0.633566,2.856489,1.313
223,-3.477188,410.680213,0.438240,1.432802,1.036
224,-3.415562,410.680213,0.651073,2.547467,1.306
225,-2.189503,410.680213,0.360983,2.190540,1.010
226,-5.629191,410.680213,0.681609,2.685541,1.410
227,-3.181214,410.680213,0.964620,1.780680,1.234
228,-2.166857,410.680213,0.798270,0.763048,1.425
229,-1.671551,410.680213,0.790352,0.598496,1.193
230,-2.859535,410.680213,0.923271,1.007808,1.349
231,-4.187620,410.680213,0.665919,1.648568,1.140
232,-3.203491,410.680213,0.757837,1.999806,1.506
233,-5.624953,410.680213,0.468601,1.447561,1.130
234,-1.709546,410.680213,0.511976,1.389820,1.443
235,-2.548155,410.680213,0.462612,1.391071,1.107
236,-4.252669,410.680213,0.755069,4.680289,1.448
237,-3.456542,410.680213,0.363402,2.220402,1.096
238,-3.153828,410.680213,0.477938,1.790775,1.475
239,-3.912625,410.680213,0.373571,1.245703,1.109
240,-3.593264,410.680213,0.438452,2.034437,3.127
241,-1.585423,410.680213,0.393363,0.862350,1.088
242,-2.162062,410.680213,0.576956,0.802668,1.467
243,-2.242775,410.680213,0.820797,0.708938,1.408
244,-2.431686,410.680213,0.820659,1.072602,1.584
245,-3.617296,410.680213,0.598779,1.008937,1.211
246,-2.572606,410.680213,0.498051,1.097524,1.477
247,-2.860077,410.680213,0.703263,0.805482,1.071
248,-3.675760,410.680213,0.558543,1.139232,1.307
