id,campus,size,method,overhead,twt,n_wo,n_missing_building,missing_share,feasible0
c05_replay_150_0100,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,pfifo,0.25,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,pfifo,0.5,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0100,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,pfifo,0.25,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,pfifo,0.5,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0101,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,pfifo,0.25,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,pfifo,0.5,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0102,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0103,5,150,edd,0.0,43.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,edd,0.25,43.95920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,edd,0.5,44.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,wspt,0.0,43.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,wspt,0.25,43.95920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,wspt,0.5,44.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,atc,0.0,43.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,atc,0.25,43.95920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,atc,0.5,44.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,pfifo,0.0,43.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,pfifo,0.25,43.95920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,pfifo,0.5,44.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,mor,0.0,43.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,mor,0.25,43.95920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,mor,0.5,44.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,random,0.0,43.45920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,random,0.25,43.95920000000001,150,0,0.0,1
c05_replay_150_0103,5,150,random,0.5,44.45920000000001,150,0,0.0,1
c05_replay_150_0104,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,pfifo,0.25,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,pfifo,0.5,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0104,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,pfifo,0.25,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,pfifo,0.5,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,mor,0.0,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,mor,0.25,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,mor,0.5,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,random,0.0,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,random,0.25,0.0,150,0,0.0,1
c05_replay_150_0105,5,150,random,0.5,0.0,150,0,0.0,1
c05_replay_150_0106,5,150,edd,0.0,1.0,150,0,0.0,1
c05_replay_150_0106,5,150,edd,0.25,1.5,150,0,0.0,1
c05_replay_150_0106,5,150,edd,0.5,2.0,150,0,0.0,1
c05_replay_150_0106,5,150,wspt,0.0,1.0,150,0,0.0,1
c05_replay_150_0106,5,150,wspt,0.25,1.5,150,0,0.0,1
c05_replay_150_0106,5,150,wspt,0.5,2.0,150,0,0.0,1
c05_replay_150_0106,5,150,atc,0.0,1.0,150,0,0.0,1
c05_replay_150_0106,5,150,atc,0.25,1.5,150,0,0.0,1
c05_replay_150_0106,5,150,atc,0.5,2.0,150,0,0.0,1
c05_replay_150_0106,5,150,pfifo,0.0,1.0,150,0,0.0,1
c05_replay_150_0106,5,150,pfifo,0.25,1.5,150,0,0.0,1
c05_replay_150_0106,5,150,pfifo,0.5,2.0,150,0,0.0,1
c05_replay_150_0106,5,150,mor,0.0,1.0,150,0,0.0,1
c05_replay_150_0106,5,150,mor,0.25,1.5,150,0,0.0,1
c05_replay_150_0106,5,150,mor,0.5,2.0,150,0,0.0,1
c05_replay_150_0106,5,150,random,0.0,1.0,150,0,0.0,1
c05_replay_150_0106,5,150,random,0.25,1.5,150,0,0.0,1
c05_replay_150_0106,5,150,random,0.5,2.0,150,0,0.0,1
c05_replay_150_0107,5,150,edd,0.0,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,edd,0.25,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,edd,0.5,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,wspt,0.0,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,wspt,0.25,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,wspt,0.5,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,atc,0.0,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,atc,0.25,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,atc,0.5,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,pfifo,0.0,0.0,150,0,0.0,1
c05_replay_150_0107,5,150,pfifo,0.25,0.0,150,0,0.0,1
